week_ending,commodity,imports_total_kbd,imports_canada_kbd,imports_latin_america_kbd,imports_europe_kbd,imports_asia_kbd,imports_middle_east_kbd,imports_africa_kbd,imports_other_kbd,exports_total_kbd,exports_canada_kbd,exports_latin_america_kbd,exports_europe_kbd,exports_asia_kbd,exports_middle_east_kbd,exports_africa_kbd,exports_other_kbd,net_imports_kbd,net_exports_kbd
2018-01-12,diesel,147.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,-893.0,893.0
2018-01-19,diesel,251.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,-889.0,889.0
2018-01-26,diesel,584.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,-420.0,420.0
2018-02-02,diesel,313.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,-790.0,790.0
2018-02-09,diesel,236.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,-795.0,795.0
2018-02-16,diesel,243.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,854.0,0.0,0.0,0.0,0.0,0.0,0.0,854.0,-611.0,611.0
2018-02-23,diesel,207.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,892.0,0.0,0.0,0.0,0.0,0.0,0.0,892.0,-685.0,685.0
2018-03-02,diesel,265.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,-750.0,750.0
2018-03-09,diesel,223.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.0,-1269.0,1269.0
2018-03-16,diesel,122.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,997.0,0.0,0.0,0.0,0.0,0.0,0.0,997.0,-875.0,875.0
2018-03-23,diesel,150.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,918.0,0.0,0.0,0.0,0.0,0.0,0.0,918.0,-768.0,768.0
2018-03-30,diesel,99.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1151.0,0.0,0.0,0.0,0.0,0.0,0.0,1151.0,-1052.0,1052.0
2018-04-06,diesel,125.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,1360.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.0,-1235.0,1235.0
2018-04-13,diesel,103.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1285.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.0,-1182.0,1182.0
2018-04-20,diesel,123.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,1724.0,0.0,0.0,0.0,0.0,0.0,0.0,1724.0,-1601.0,1601.0
2018-04-27,diesel,76.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1143.0,0.0,0.0,0.0,0.0,0.0,0.0,1143.0,-1067.0,1067.0
2018-05-04,diesel,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,1356.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.0,-1228.0,1228.0
2018-05-11,diesel,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,899.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,-822.0,822.0
2018-05-18,diesel,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1461.0,0.0,0.0,0.0,0.0,0.0,0.0,1461.0,-1437.0,1437.0
2018-05-25,diesel,237.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,1123.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.0,-886.0,886.0
2018-06-01,diesel,146.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,1659.0,0.0,0.0,0.0,0.0,0.0,0.0,1659.0,-1513.0,1513.0
2018-06-08,diesel,104.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.0,-1007.0,1007.0
2018-06-15,diesel,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1304.0,0.0,0.0,0.0,0.0,0.0,0.0,1304.0,-1255.0,1255.0
2018-06-22,diesel,54.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1836.0,0.0,0.0,0.0,0.0,0.0,0.0,1836.0,-1782.0,1782.0
