period_month,padd1_distillate_product_supplied_kbd,northeast_share,southeast_share,estimated_padd_1ab_kbd,estimated_padd_1c_kbd,share_source
2025-01-01,1475,0.5862,0.4138,864.68,610.32,forward_3yr_same_month_average_adjusted
2025-02-01,1434,0.5708,0.4292,818.59,615.41,forward_3yr_same_month_average_adjusted
2025-03-01,1182,0.5272,0.4728,623.17,558.83,forward_3yr_same_month_average_adjusted
2025-04-01,1176,0.5019,0.4981,590.27,585.73,forward_3yr_same_month_average_adjusted
2025-05-01,1018,0.4797,0.5203,488.32,529.68,forward_3yr_same_month_average_adjusted
2025-06-01,1143,0.4605,0.5395,526.31,616.69,forward_3yr_same_month_average_adjusted
2025-07-01,1024,0.4529,0.5471,463.79,560.21,forward_3yr_same_month_average_adjusted
2025-08-01,1073,0.4545,0.5455,487.64,585.36,forward_3yr_same_month_average_adjusted
2025-09-01,1133,0.477,0.523,540.48,592.52,forward_3yr_same_month_average_adjusted
2025-10-01,1193,0.488,0.512,582.15,610.85,forward_3yr_same_month_average_adjusted
2025-11-01,1195,0.5247,0.4753,626.98,568.02,forward_3yr_same_month_average_adjusted
2025-12-01,1428,0.5704,0.4296,814.59,613.41,forward_3yr_same_month_average_adjusted
2026-01-01,1518,0.5862,0.4138,889.89,628.11,forward_3yr_same_month_average_adjusted
2026-02-01,1715,0.5708,0.4292,979,736,forward_3yr_same_month_average_adjusted
2026-03-01,1257,0.5272,0.4728,662.71,594.29,forward_3yr_same_month_average_adjusted
2026-04-01,1231,0.5019,0.4981,617.88,613.12,forward_3yr_same_month_average_adjusted
2026-05-01,960,0.4797,0.5203,460.49,499.51,forward_3yr_same_month_average_adjusted
2026-06-01,1050,0.4605,0.5395,483.48,566.52,forward_3yr_same_month_average_adjusted
