month,commodity,imports_total_kbd,imports_canada_kbd,imports_latin_america_kbd,imports_europe_kbd,imports_asia_kbd,imports_middle_east_kbd,imports_africa_kbd,imports_other_kbd,exports_total_kbd,exports_canada_kbd,exports_latin_america_kbd,exports_europe_kbd,exports_asia_kbd,exports_middle_east_kbd,exports_africa_kbd,exports_other_kbd,net_imports_kbd,net_exports_kbd
2018-01-01,jet,125.87096774193549,0.0,0.0,0.0,0.0,0.0,0.0,125.87096774193549,1090.9032258064517,0.0,0.0,0.0,0.0,0.0,0.0,1090.9032258064517,-965.0322580645161,965.0322580645161
2018-02-01,jet,117.5,0.0,0.0,0.0,0.0,0.0,0.0,117.5,954.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,954.2857142857143,-836.7857142857143,836.7857142857143
2018-03-01,jet,116.93548387096774,0.0,0.0,0.0,0.0,0.0,0.0,116.93548387096774,1138.5806451612902,0.0,0.0,0.0,0.0,0.0,0.0,1138.5806451612902,-1021.6451612903226,1021.6451612903226
2018-04-01,jet,111.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,111.56666666666666,1376.4,0.0,0.0,0.0,0.0,0.0,0.0,1376.4,-1264.8333333333333,1264.8333333333333
2018-05-01,jet,129.3548387096774,0.0,0.0,0.0,0.0,0.0,0.0,129.3548387096774,1282.5483870967741,0.0,0.0,0.0,0.0,0.0,0.0,1282.5483870967741,-1153.1935483870968,1153.1935483870968
2018-06-01,jet,141.03333333333333,0.0,0.0,0.0,0.0,0.0,0.0,141.03333333333333,1414.6,0.0,0.0,0.0,0.0,0.0,0.0,1414.6,-1273.5666666666666,1273.5666666666666
2018-07-01,jet,132.83870967741936,0.0,0.0,0.0,0.0,0.0,0.0,132.83870967741936,1220.516129032258,0.0,0.0,0.0,0.0,0.0,0.0,1220.516129032258,-1087.6774193548388,1087.6774193548388
2018-08-01,jet,162.29032258064515,0.0,0.0,0.0,0.0,0.0,0.0,162.29032258064515,1114.6451612903227,0.0,0.0,0.0,0.0,0.0,0.0,1114.6451612903227,-952.3548387096774,952.3548387096774
2018-09-01,jet,205.43333333333334,0.0,0.0,0.0,0.0,0.0,0.0,205.43333333333334,1337.5333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1337.5333333333333,-1132.1,1132.1
2018-10-01,jet,112.70967741935483,0.0,0.0,0.0,0.0,0.0,0.0,112.70967741935483,1274.8064516129032,0.0,0.0,0.0,0.0,0.0,0.0,1274.8064516129032,-1162.0967741935483,1162.0967741935483
2018-11-01,jet,106.96666666666667,0.0,0.0,0.0,0.0,0.0,0.0,106.96666666666667,1338.9,0.0,0.0,0.0,0.0,0.0,0.0,1338.9,-1231.9333333333334,1231.9333333333334
2018-12-01,jet,89.54838709677419,0.0,0.0,0.0,0.0,0.0,0.0,89.54838709677419,1329.967741935484,0.0,0.0,0.0,0.0,0.0,0.0,1329.967741935484,-1240.4193548387098,1240.4193548387098
2019-01-01,jet,129.03225806451613,0.0,0.0,0.0,0.0,0.0,0.0,129.03225806451613,1109.741935483871,0.0,0.0,0.0,0.0,0.0,0.0,1109.741935483871,-980.7096774193549,980.7096774193549
2019-02-01,jet,177.64285714285714,0.0,0.0,0.0,0.0,0.0,0.0,177.64285714285714,1228.25,0.0,0.0,0.0,0.0,0.0,0.0,1228.25,-1050.607142857143,1050.607142857143
2019-03-01,jet,195.1290322580645,0.0,0.0,0.0,0.0,0.0,0.0,195.1290322580645,1112.1290322580646,0.0,0.0,0.0,0.0,0.0,0.0,1112.1290322580646,-917.0,917.0
2019-04-01,jet,202.36666666666667,0.0,0.0,0.0,0.0,0.0,0.0,202.36666666666667,1439.8333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1439.8333333333333,-1237.4666666666667,1237.4666666666667
2019-05-01,jet,162.3548387096774,0.0,0.0,0.0,0.0,0.0,0.0,162.3548387096774,1346.4193548387098,0.0,0.0,0.0,0.0,0.0,0.0,1346.4193548387098,-1184.0645161290322,1184.0645161290322
2019-06-01,jet,152.83333333333334,0.0,0.0,0.0,0.0,0.0,0.0,152.83333333333334,1453.6,0.0,0.0,0.0,0.0,0.0,0.0,1453.6,-1300.7666666666667,1300.7666666666667
2019-07-01,jet,188.29032258064515,0.0,0.0,0.0,0.0,0.0,0.0,188.29032258064515,1278.5806451612902,0.0,0.0,0.0,0.0,0.0,0.0,1278.5806451612902,-1090.2903225806451,1090.2903225806451
2019-08-01,jet,182.3548387096774,0.0,0.0,0.0,0.0,0.0,0.0,182.3548387096774,1511.6774193548388,0.0,0.0,0.0,0.0,0.0,0.0,1511.6774193548388,-1329.3225806451612,1329.3225806451612
2019-09-01,jet,150.5,0.0,0.0,0.0,0.0,0.0,0.0,150.5,1364.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1364.6666666666667,-1214.1666666666667,1214.1666666666667
2019-10-01,jet,185.96774193548387,0.0,0.0,0.0,0.0,0.0,0.0,185.96774193548387,1118.1290322580646,0.0,0.0,0.0,0.0,0.0,0.0,1118.1290322580646,-932.1612903225806,932.1612903225806
2019-11-01,jet,162.5,0.0,0.0,0.0,0.0,0.0,0.0,162.5,1136.3666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1136.3666666666666,-973.8666666666667,973.8666666666667
2019-12-01,jet,160.61290322580646,0.0,0.0,0.0,0.0,0.0,0.0,160.61290322580646,1193.1612903225807,0.0,0.0,0.0,0.0,0.0,0.0,1193.1612903225807,-1032.5483870967741,1032.5483870967741
2020-01-01,jet,102.35483870967742,0.0,0.0,0.0,0.0,0.0,0.0,102.35483870967742,1192.032258064516,0.0,0.0,0.0,0.0,0.0,0.0,1192.032258064516,-1089.6774193548388,1089.6774193548388
2020-02-01,jet,118.86206896551724,0.0,0.0,0.0,0.0,0.0,0.0,118.86206896551724,1352.103448275862,0.0,0.0,0.0,0.0,0.0,0.0,1352.103448275862,-1233.2413793103449,1233.2413793103449
2020-03-01,jet,174.67741935483872,0.0,0.0,0.0,0.0,0.0,0.0,174.67741935483872,1391.258064516129,0.0,0.0,0.0,0.0,0.0,0.0,1391.258064516129,-1216.5806451612902,1216.5806451612902
2020-04-01,jet,153.9,0.0,0.0,0.0,0.0,0.0,0.0,153.9,1195.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.0,-1041.1,1041.1
2020-05-01,jet,208.70967741935485,0.0,0.0,0.0,0.0,0.0,0.0,208.70967741935485,866.741935483871,0.0,0.0,0.0,0.0,0.0,0.0,866.741935483871,-658.0322580645161,658.0322580645161
2020-06-01,jet,169.06666666666666,0.0,0.0,0.0,0.0,0.0,0.0,169.06666666666666,1232.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1232.3333333333333,-1063.2666666666667,1063.2666666666667
2020-07-01,jet,172.19354838709677,0.0,0.0,0.0,0.0,0.0,0.0,172.19354838709677,1285.032258064516,0.0,0.0,0.0,0.0,0.0,0.0,1285.032258064516,-1112.8387096774193,1112.8387096774193
2020-08-01,jet,130.41935483870967,0.0,0.0,0.0,0.0,0.0,0.0,130.41935483870967,1297.6129032258063,0.0,0.0,0.0,0.0,0.0,0.0,1297.6129032258063,-1167.1935483870968,1167.1935483870968
2020-09-01,jet,174.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,174.93333333333334,1165.4666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1165.4666666666667,-990.5333333333333,990.5333333333333
2020-10-01,jet,172.19354838709677,0.0,0.0,0.0,0.0,0.0,0.0,172.19354838709677,1111.5806451612902,0.0,0.0,0.0,0.0,0.0,0.0,1111.5806451612902,-939.3870967741935,939.3870967741935
2020-11-01,jet,154.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,154.93333333333334,963.2333333333333,0.0,0.0,0.0,0.0,0.0,0.0,963.2333333333333,-808.3,808.3
2020-12-01,jet,133.6451612903226,0.0,0.0,0.0,0.0,0.0,0.0,133.6451612903226,1130.5483870967741,0.0,0.0,0.0,0.0,0.0,0.0,1130.5483870967741,-996.9032258064516,996.9032258064516
2021-01-01,jet,119.7741935483871,0.0,0.0,0.0,0.0,0.0,0.0,119.7741935483871,906.8709677419355,0.0,0.0,0.0,0.0,0.0,0.0,906.8709677419355,-787.0967741935484,787.0967741935484
2021-02-01,jet,102.53571428571429,0.0,0.0,0.0,0.0,0.0,0.0,102.53571428571429,827.6428571428571,0.0,0.0,0.0,0.0,0.0,0.0,827.6428571428571,-725.1071428571429,725.1071428571429
2021-03-01,jet,112.70967741935483,0.0,0.0,0.0,0.0,0.0,0.0,112.70967741935483,821.7741935483871,0.0,0.0,0.0,0.0,0.0,0.0,821.7741935483871,-709.0645161290323,709.0645161290323
2021-04-01,jet,132.43333333333334,0.0,0.0,0.0,0.0,0.0,0.0,132.43333333333334,995.4,0.0,0.0,0.0,0.0,0.0,0.0,995.4,-862.9666666666667,862.9666666666667
