week_ending,commodity,padd1_imports_total_kbd,padd1_imports_canada_kbd,padd1_imports_non_canada_kbd,padd1_exports_total_kbd,padd1ab_imports_total_kbd,padd1ab_imports_canada_kbd,padd1ab_imports_non_canada_kbd,padd1ab_exports_total_kbd,padd1ab_exports_europe_kbd,padd1ab_exports_other_kbd,padd1c_imports_total_kbd,padd1c_imports_canada_kbd,padd1c_imports_non_canada_kbd,padd1c_imports_intra_us_kbd,padd1c_exports_total_kbd,padd3_to_padd1_kbd,padd3_to_padd1ab_kbd,padd3_to_padd1c_kbd,padd3_to_padd5_kbd,padd3_exports_total_kbd,padd3_exports_africa_kbd,padd3_exports_europe_kbd,padd3_exports_latin_america_kbd,padd3_exports_other_kbd,padd5_imports_total_kbd,padd5_exports_total_kbd,us_imports_total_kbd,us_imports_canada_kbd,us_imports_non_canada_kbd,us_exports_total_kbd,us_exports_europe_kbd,us_exports_latin_america_kbd
2018-01-05,jet,66.43,0.0,66.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.81,0.0,0.0,0.0,132.81,0.0,0.0,87.19,45.620000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-12,jet,84.7,49.34,35.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36,0.0,0.0,0.0,173.09,0.0,48.1,86.93,38.06,128.65,10.11,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,jet,142.82,18.08,124.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.87,0.0,0.0,0.0,231.36,0.0,0.0,187.26,44.10000000000002,146.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-26,jet,110.98,12.24,98.74000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.07,0.0,0.0,94.69,88.38,21.37,87.72,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-02,jet,107.4,39.36,68.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.13,0.0,0.0,87.13,0.0,23.62,14.81,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-09,jet,61.33,0.0,61.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.33,0.0,0.0,0.0,99.79,0.0,0.0,99.79,0.0,25.0,42.94,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-16,jet,19.29,19.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.64,0.0,0.0,0.0,135.14,0.0,88.19,46.95,0.0,43.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-23,jet,71.81,0.0,71.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.88000000000002,0.0,45.3,99.93,21.65000000000002,68.87,17.48,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-02,jet,48.01,19.29,28.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.57,0.0,0.0,0.0,125.03999999999999,3.6,0.0,85.75,35.69,136.37,31.47,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-09,jet,14.29,0.0,14.29,41.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.21,0.0,0.0,0.0,180.39,89.07,46.77,44.55,0.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-16,jet,69.5,6.56,62.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.08,0.0,0.0,135.08,0.0,20.66,20.56,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-23,jet,47.34,15.8,31.540000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.21,0.0,0.0,0.0,252.72,0.0,128.44,124.28,0.0,24.67,23.32,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-30,jet,26.29,0.0,26.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33,0.0,0.0,0.0,284.92,0.0,43.31,196.22,45.390000000000015,88.15,26.31,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-06,jet,87.91,67.62,20.289999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,0.0,0.0,0.0,246.76,0.0,0.0,201.29,45.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-13,jet,40.81,5.52,35.290000000000006,49.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,0.0,0.0,0.0,179.76,0.0,65.1,114.66,0.0,68.92,26.19,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-20,jet,67.02,12.1,54.919999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.33,0.0,0.0,0.0,304.89,0.0,0.0,217.46,87.42999999999998,35.35,26.88,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-27,jet,70.32000000000001,22.28,48.040000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.4,0.0,0.0,0.0,96.67,0.0,0.0,60.02,36.65,189.28,14.88,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-04,jet,52.14,0.0,52.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,0.0,0.0,0.0,216.8,0.0,42.86,111.21,62.730000000000004,33.13,44.54,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-11,jet,59.33,27.14,32.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,0.0,0.0,0.0,357.86,46.79,52.3,168.7,90.07,193.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-18,jet,62.4,62.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.32,0.0,0.0,0.0,152.08,0.0,89.67,62.41,1.4210854715202004e-14,89.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25,jet,42.86,12.86,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,0.0,0.0,0.0,142.87,0.0,0.0,142.87,0.0,49.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,jet,90.75,12.24,78.51,11.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.57,0.0,0.0,0.0,237.0,40.08,79.83,114.55,2.5400000000000205,0.0,14.44,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-08,jet,12.86,12.86,0.0,14.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.56,47.2,45.65,32.71,0.0,87.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-15,jet,84.64,50.43,34.21,47.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99,0.0,0.0,0.0,212.87,0.0,93.45,119.42,0.0,178.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-22,jet,85.03999999999999,25.25,59.78999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,0.0,0.0,0.0,204.24,0.0,0.0,204.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-29,jet,49.26,19.29,29.97,39.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99,0.0,0.0,0.0,146.28,0.0,0.0,106.26,40.019999999999996,108.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-06,jet,74.51,0.0,74.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,297.14,0.0,92.28,157.6,47.25999999999999,19.29,58.93,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-13,jet,17.14,17.14,0.0,18.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,0.0,0.0,0.0,259.44,0.0,22.11,150.23,87.1,92.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-20,jet,63.51,0.0,63.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,0.0,0.0,0.0,250.98,47.78,0.0,203.2,0.0,195.27,68.03,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-27,jet,129.8,19.29,110.51000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61,0.0,0.0,5.01,109.77000000000001,0.0,56.38,53.39,7.105427357601002e-15,111.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-03,jet,36.489999999999995,21.08,15.409999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,0.0,0.0,0.0,282.66,0.0,0.0,240.08,42.58000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-10,jet,100.72999999999999,54.3,46.42999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,0.0,0.0,0.0,170.86,0.0,46.08,64.83,59.95000000000002,54.02,4.96,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-17,jet,89.69999999999999,19.29,70.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.49,0.0,45.93,218.43,46.129999999999995,127.05,40.78,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-24,jet,58.97,35.4,23.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21,0.0,0.0,0.0,163.64999999999998,0.0,47.16,116.49,0.0,123.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
