week_ending,commodity,imports_total_kbd,imports_canada_kbd,imports_latin_america_kbd,imports_europe_kbd,imports_asia_kbd,imports_middle_east_kbd,imports_africa_kbd,imports_other_kbd,exports_total_kbd,exports_canada_kbd,exports_latin_america_kbd,exports_europe_kbd,exports_asia_kbd,exports_middle_east_kbd,exports_africa_kbd,exports_other_kbd,net_imports_kbd,net_exports_kbd
2018-01-12,jet,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-118.356,118.356
2018-01-19,jet,97.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-98.356,98.356
2018-01-26,jet,197.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,1.6440000000000055,-1.6440000000000055
2018-02-02,jet,127.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,189.59085714285715,0.0,0.0,0.0,0.0,0.0,0.0,189.59085714285715,-62.59085714285714,62.59085714285714
2018-02-09,jet,102.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,175.17800000000003,0.0,0.0,0.0,0.0,0.0,0.0,175.17800000000003,-73.178,73.178
2018-02-16,jet,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,175.17800000000003,0.0,0.0,0.0,0.0,0.0,0.0,175.17800000000003,-98.178,98.178
2018-02-23,jet,59.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,175.17800000000003,0.0,0.0,0.0,0.0,0.0,0.0,175.17800000000003,-116.178,116.178
2018-03-02,jet,274.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,195.47714285714284,0.0,0.0,0.0,0.0,0.0,0.0,195.47714285714284,78.52285714285715,-78.52285714285715
2018-03-09,jet,99.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,246.225,0.0,0.0,0.0,0.0,0.0,0.0,246.225,-147.225,147.225
2018-03-16,jet,51.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,246.225,0.0,0.0,0.0,0.0,0.0,0.0,246.225,-195.225,195.225
2018-03-23,jet,147.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,246.225,0.0,0.0,0.0,0.0,0.0,0.0,246.225,-99.225,99.225
2018-03-30,jet,138.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,246.225,0.0,0.0,0.0,0.0,0.0,0.0,246.225,-108.225,108.225
2018-04-06,jet,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,227.71757142857146,0.0,0.0,0.0,0.0,0.0,0.0,227.71757142857146,-195.71757142857146,195.71757142857146
2018-04-13,jet,154.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,224.633,0.0,0.0,0.0,0.0,0.0,0.0,224.633,-70.63300000000001,70.63300000000001
2018-04-20,jet,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,224.633,0.0,0.0,0.0,0.0,0.0,0.0,224.633,-164.633,164.633
2018-04-27,jet,205.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,224.633,0.0,0.0,0.0,0.0,0.0,0.0,224.633,-19.63300000000001,19.63300000000001
2018-05-04,jet,74.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,235.34957142857144,0.0,0.0,0.0,0.0,0.0,0.0,235.34957142857144,-161.34957142857144,161.34957142857144
2018-05-11,jet,137.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,243.387,0.0,0.0,0.0,0.0,0.0,0.0,243.387,-106.38700000000001,106.38700000000001
2018-05-18,jet,150.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,243.387,0.0,0.0,0.0,0.0,0.0,0.0,243.387,-93.38700000000001,93.38700000000001
2018-05-25,jet,115.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,243.387,0.0,0.0,0.0,0.0,0.0,0.0,243.387,-128.387,128.387
2018-06-01,jet,150.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,239.05557142857145,0.0,0.0,0.0,0.0,0.0,0.0,239.05557142857145,-89.05557142857143,89.05557142857143
2018-06-08,jet,159.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,213.067,0.0,0.0,0.0,0.0,0.0,0.0,213.067,-54.06700000000001,54.06700000000001
2018-06-15,jet,230.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,213.067,0.0,0.0,0.0,0.0,0.0,0.0,213.067,16.932999999999993,-16.932999999999993
2018-06-22,jet,51.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,213.067,0.0,0.0,0.0,0.0,0.0,0.0,213.067,-162.067,162.067
2018-06-29,jet,126.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,213.067,0.0,0.0,0.0,0.0,0.0,0.0,213.067,-87.06700000000001,87.06700000000001
2018-07-06,jet,119.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,259.18385714285716,0.0,0.0,0.0,0.0,0.0,0.0,259.18385714285716,-140.18385714285714,140.18385714285714
2018-07-13,jet,171.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,266.87,0.0,0.0,0.0,0.0,0.0,0.0,266.87,-95.87,95.87
2018-07-20,jet,130.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,266.87,0.0,0.0,0.0,0.0,0.0,0.0,266.87,-136.87,136.87
2018-07-27,jet,123.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,266.87,0.0,0.0,0.0,0.0,0.0,0.0,266.87,-143.87,143.87
2018-08-03,jet,109.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,247.142,0.0,0.0,0.0,0.0,0.0,0.0,247.142,-138.142,138.142
2018-08-10,jet,158.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,220.838,0.0,0.0,0.0,0.0,0.0,0.0,220.838,-62.838,62.838
2018-08-17,jet,188.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,220.838,0.0,0.0,0.0,0.0,0.0,0.0,220.838,-32.837999999999994,32.837999999999994
2018-08-24,jet,197.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,220.838,0.0,0.0,0.0,0.0,0.0,0.0,220.838,-23.837999999999994,23.837999999999994
2018-08-31,jet,129.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,220.838,0.0,0.0,0.0,0.0,0.0,0.0,220.838,-91.838,91.838
2018-09-07,jet,194.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,165.267,0.0,0.0,0.0,0.0,0.0,0.0,165.267,28.733000000000004,-28.733000000000004
2018-09-14,jet,275.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,165.267,0.0,0.0,0.0,0.0,0.0,0.0,165.267,109.73300000000002,-109.73300000000002
2018-09-21,jet,199.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,165.267,0.0,0.0,0.0,0.0,0.0,0.0,165.267,33.733000000000004,-33.733000000000004
2018-09-28,jet,165.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,165.267,0.0,0.0,0.0,0.0,0.0,0.0,165.267,-0.2669999999999959,0.2669999999999959
2018-10-05,jet,166.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,243.902,0.0,0.0,0.0,0.0,0.0,0.0,243.902,-77.902,77.902
2018-10-12,jet,83.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,275.356,0.0,0.0,0.0,0.0,0.0,0.0,275.356,-192.356,192.356
2018-10-19,jet,89.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,275.356,0.0,0.0,0.0,0.0,0.0,0.0,275.356,-186.356,186.356
2018-10-26,jet,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,275.356,0.0,0.0,0.0,0.0,0.0,0.0,275.356,-175.356,175.356
2018-11-02,jet,152.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,257.68285714285713,0.0,0.0,0.0,0.0,0.0,0.0,257.68285714285713,-105.68285714285715,105.68285714285715
2018-11-09,jet,66.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,213.5,0.0,0.0,0.0,0.0,0.0,0.0,213.5,-147.5,147.5
