date,commodity,imports_total_kbd,imports_canada_kbd,imports_latin_america_kbd,imports_europe_kbd,imports_asia_kbd,imports_middle_east_kbd,imports_africa_kbd,imports_other_kbd,exports_total_kbd,exports_canada_kbd,exports_latin_america_kbd,exports_europe_kbd,exports_asia_kbd,exports_middle_east_kbd,exports_africa_kbd,exports_other_kbd,net_imports_kbd,net_exports_kbd
2018-01-01,diesel,175.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,1203.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,-1028.0,1028.0
2018-01-02,diesel,175.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,1203.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,-1028.0,1028.0
2018-01-03,diesel,175.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,1203.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,-1028.0,1028.0
2018-01-04,diesel,175.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,1203.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,-1028.0,1028.0
2018-01-05,diesel,175.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,1203.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,-1028.0,1028.0
2018-01-06,diesel,147.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,-893.0,893.0
2018-01-07,diesel,147.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,-893.0,893.0
2018-01-08,diesel,147.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,-893.0,893.0
2018-01-09,diesel,147.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,-893.0,893.0
2018-01-10,diesel,147.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,-893.0,893.0
2018-01-11,diesel,147.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,-893.0,893.0
2018-01-12,diesel,147.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,-893.0,893.0
2018-01-13,diesel,251.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,-889.0,889.0
2018-01-14,diesel,251.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,-889.0,889.0
2018-01-15,diesel,251.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,-889.0,889.0
2018-01-16,diesel,251.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,-889.0,889.0
2018-01-17,diesel,251.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,-889.0,889.0
2018-01-18,diesel,251.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,-889.0,889.0
2018-01-19,diesel,251.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,-889.0,889.0
2018-01-20,diesel,584.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,-420.0,420.0
2018-01-21,diesel,584.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,-420.0,420.0
2018-01-22,diesel,584.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,-420.0,420.0
2018-01-23,diesel,584.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,-420.0,420.0
2018-01-24,diesel,584.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,-420.0,420.0
2018-01-25,diesel,584.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,-420.0,420.0
2018-01-26,diesel,584.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,-420.0,420.0
2018-01-27,diesel,313.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,-790.0,790.0
2018-01-28,diesel,313.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,-790.0,790.0
2018-01-29,diesel,313.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,-790.0,790.0
2018-01-30,diesel,313.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,-790.0,790.0
2018-01-31,diesel,313.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,-790.0,790.0
2018-02-01,diesel,313.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,-790.0,790.0
2018-02-02,diesel,313.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,-790.0,790.0
2018-02-03,diesel,236.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,-795.0,795.0
2018-02-04,diesel,236.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,-795.0,795.0
2018-02-05,diesel,236.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,-795.0,795.0
2018-02-06,diesel,236.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,-795.0,795.0
2018-02-07,diesel,236.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,-795.0,795.0
2018-02-08,diesel,236.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,-795.0,795.0
2018-02-09,diesel,236.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,-795.0,795.0
2018-02-10,diesel,243.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,854.0,0.0,0.0,0.0,0.0,0.0,0.0,854.0,-611.0,611.0
2018-02-11,diesel,243.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,854.0,0.0,0.0,0.0,0.0,0.0,0.0,854.0,-611.0,611.0
2018-02-12,diesel,243.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,854.0,0.0,0.0,0.0,0.0,0.0,0.0,854.0,-611.0,611.0
2018-02-13,diesel,243.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,854.0,0.0,0.0,0.0,0.0,0.0,0.0,854.0,-611.0,611.0
