date,commodity,imports_total_kbd,imports_canada_kbd,imports_latin_america_kbd,imports_europe_kbd,imports_asia_kbd,imports_middle_east_kbd,imports_africa_kbd,imports_other_kbd,exports_total_kbd,exports_canada_kbd,exports_latin_america_kbd,exports_europe_kbd,exports_asia_kbd,exports_middle_east_kbd,exports_africa_kbd,exports_other_kbd,net_imports_kbd,net_exports_kbd
2018-01-01,jet,134.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-61.355999999999995,61.355999999999995
2018-01-02,jet,134.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-61.355999999999995,61.355999999999995
2018-01-03,jet,134.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-61.355999999999995,61.355999999999995
2018-01-04,jet,134.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-61.355999999999995,61.355999999999995
2018-01-05,jet,134.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-61.355999999999995,61.355999999999995
2018-01-06,jet,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-118.356,118.356
2018-01-07,jet,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-118.356,118.356
2018-01-08,jet,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-118.356,118.356
2018-01-09,jet,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-118.356,118.356
2018-01-10,jet,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-118.356,118.356
2018-01-11,jet,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-118.356,118.356
2018-01-12,jet,77.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-118.356,118.356
2018-01-13,jet,97.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-98.356,98.356
2018-01-14,jet,97.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-98.356,98.356
2018-01-15,jet,97.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-98.356,98.356
2018-01-16,jet,97.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-98.356,98.356
2018-01-17,jet,97.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-98.356,98.356
2018-01-18,jet,97.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-98.356,98.356
2018-01-19,jet,97.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-98.356,98.356
2018-01-20,jet,197.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,1.6440000000000055,-1.6440000000000055
2018-01-21,jet,197.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,1.6440000000000055,-1.6440000000000055
2018-01-22,jet,197.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,1.6440000000000055,-1.6440000000000055
2018-01-23,jet,197.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,1.6440000000000055,-1.6440000000000055
2018-01-24,jet,197.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,1.6440000000000055,-1.6440000000000055
2018-01-25,jet,197.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,1.6440000000000055,-1.6440000000000055
2018-01-26,jet,197.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,1.6440000000000055,-1.6440000000000055
2018-01-27,jet,127.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-68.356,68.356
2018-01-28,jet,127.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-68.356,68.356
2018-01-29,jet,127.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-68.356,68.356
2018-01-30,jet,127.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-68.356,68.356
2018-01-31,jet,127.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,195.356,0.0,0.0,0.0,0.0,0.0,0.0,195.356,-68.356,68.356
