month,commodity,padd1_imports_total_kbd,padd1_imports_canada_kbd,padd1_imports_non_canada_kbd,padd1_exports_total_kbd,padd1ab_imports_total_kbd,padd1ab_imports_canada_kbd,padd1ab_imports_non_canada_kbd,padd1ab_exports_total_kbd,padd1ab_exports_europe_kbd,padd1ab_exports_other_kbd,padd1c_imports_total_kbd,padd1c_imports_canada_kbd,padd1c_imports_non_canada_kbd,padd1c_imports_intra_us_kbd,padd1c_exports_total_kbd,padd3_to_padd1_kbd,padd3_to_padd1ab_kbd,padd3_to_padd1c_kbd,padd3_to_padd5_kbd,padd3_exports_total_kbd,padd3_exports_africa_kbd,padd3_exports_europe_kbd,padd3_exports_latin_america_kbd,padd3_exports_other_kbd,padd5_imports_total_kbd,padd5_exports_total_kbd,us_imports_total_kbd,us_imports_canada_kbd,us_imports_non_canada_kbd,us_exports_total_kbd,us_exports_europe_kbd,us_exports_latin_america_kbd
2018-01,diesel,0.0,0.0,0.0,0.0,197.18,77.16,120.02000000000001,9.040000000000001,0.0,9.040000000000001,119.85,,119.85,117.75,,137.36,16.18,121.18,0.0,787.05,8.03,0.0,622.94,156.07999999999993,0.62,116.19,215.78,84.98,130.8,912.28,0.0,739.13
2018-02,diesel,0.0,0.0,0.0,0.0,222.42999999999998,61.14,161.28999999999996,12.34,0.0,12.34,145.94000000000003,,145.94000000000003,140.58,5.07,133.51000000000002,2.3,131.21,0.0,704.57,,0.0,620.65,83.92000000000007,0.69,60.46,234.43,61.83,172.60000000000002,782.4399999999999,0.0,675.54
2018-03,diesel,0.0,0.0,0.0,0.0,101.94,84.42,17.519999999999996,42.37,0.0,42.37,128.36,21.02,107.34000000000002,107.34,2.49,124.44,,124.44,0.0,880.3900000000001,6.74,0.0,767.32,106.33000000000004,1.77,41.74,155.42,107.22,48.19999999999999,966.9999999999999,0.0,821.4
2018-04,diesel,0.0,0.0,0.0,0.0,55.03,43.5,11.530000000000001,128.38,0.0,128.38,160.37,27.54,132.83,125.58,9.02,112.91,,112.91,0.0,1133.8400000000001,,0.0,900.2,233.6400000000001,21.86,31.55,114.73,74.17,40.56,1302.7899999999997,0.0,951.72
2018-05,diesel,0.0,0.0,0.0,0.0,58.86000000000001,42.02,16.840000000000003,59.08,0.0,59.08,197.11,35.84,161.27,161.27,,165.14,,165.14,0.0,1082.52,,0.0,885.13,197.39,18.83,32.6,119.50999999999999,79.49,40.019999999999996,1174.2,0.0,910.36
2018-06,diesel,0.0,0.0,0.0,0.0,48.01,48.01,0.0,38.1,0.0,38.1,184.02999999999997,8.67,175.35999999999999,165.89,,166.61,,166.61,0.0,1145.92,,0.0,716.78,429.1400000000001,5.28,47.91,72.39,57.64,14.75,1231.94,0.0,753.24
2018-07,diesel,0.0,0.0,0.0,0.0,91.56,66.33,25.230000000000004,,0.0,0.0,166.4,17.46,148.94,148.94,,157.66,,157.66,0.0,1004.6299999999999,,0.0,733.1,271.52999999999986,34.45,86.62,143.48000000000002,93.47,50.01000000000002,1091.25,0.0,801.56
2018-08,diesel,0.0,0.0,0.0,0.0,155.13,59.32,95.81,18.91,0.0,18.91,193.23999999999998,,193.23999999999998,186.6,,171.4,2.77,168.63,0.0,1051.07,,0.0,800.57,250.4999999999999,12.17,57.29,173.93999999999997,64.63,109.30999999999997,1127.26,0.0,857.85
2018-09,diesel,0.0,0.0,0.0,0.0,98.55999999999999,50.75,47.80999999999999,27.3,0.0,27.3,132.65,9.91,122.74000000000001,114.39,,119.33,5.72,113.61,0.0,1016.9999999999999,4.76,0.0,807.56,204.67999999999995,9.29,51.59,141.87,67.04,74.83,1095.8800000000003,0.0,854.97
2018-10,diesel,0.0,0.0,0.0,0.0,104.56,30.03,74.53,9.44,0.0,9.44,113.56,18.05,95.51,88.37,,84.98,,84.98,0.0,1046.05,,0.0,924.44,121.6099999999999,13.56,35.86,162.12000000000003,55.02,107.10000000000002,1091.35,0.0,962.36
2018-11,diesel,0.0,0.0,0.0,0.0,122.73,39.58,83.15,32.97,0.0,32.97,128.72,17.03,111.69,102.2,2.5,119.45,,119.45,0.0,1096.09,,0.0,771.46,324.6299999999999,11.51,84.43,177.08,68.12,108.96000000000001,1215.9999999999998,0.0,845.67
2018-12,diesel,0.0,0.0,0.0,0.0,102.3,48.29,54.01,2.82,0.0,2.82,180.67000000000002,,180.67000000000002,150.58,,154.32,2.45,151.87,0.0,1054.62,,0.0,749.67,304.94999999999993,4.69,116.36,143.79000000000002,48.29,95.50000000000003,1173.8000000000002,0.0,860.12
2019-01,diesel,0.0,0.0,0.0,0.0,234.64000000000001,66.28,168.36,4.13,0.0,4.13,183.08999999999997,,183.08999999999997,158.67,,150.84,,150.84,0.0,993.7600000000001,,0.0,842.61,151.1500000000001,11.01,122.64,274.29,69.81,204.48000000000002,1120.5300000000002,0.0,958.01
2019-02,diesel,0.0,0.0,0.0,0.0,294.8299999999999,74.41,220.41999999999993,31.229999999999997,0.0,31.229999999999997,182.68000000000004,7.02,175.66000000000003,141.3,,146.45000000000002,1.36,145.09,0.0,715.12,,0.0,579.27,135.85000000000002,15.99,100.26,352.1899999999999,83.54,268.64999999999986,846.5999999999999,0.0,676.87
2019-03,diesel,0.0,0.0,0.0,0.0,107.27000000000001,84.97,22.30000000000001,30.46,0.0,30.46,162.94,16.23,146.71,128.78,8.3,125.77,2.07,123.7,0.0,836.5600000000001,,0.0,685.36,151.20000000000005,2.88,143.61,144.31,104.08,40.230000000000004,1018.9300000000001,0.0,833.95
2019-04,diesel,0.0,0.0,0.0,0.0,80.39999999999999,65.09,15.309999999999988,17.29,0.0,17.29,166.07,8.7,157.37,134.98,,148.58,0.4,148.18,0.0,953.91,,0.0,829.46,124.44999999999993,6.29,96.99,135.10999999999999,76.36,58.749999999999986,1068.1999999999998,0.0,914.55
2019-05,diesel,0.0,0.0,0.0,0.0,70.68999999999998,52.41,18.279999999999987,60.78999999999999,0.0,60.78999999999999,145.54000000000002,,145.54000000000002,128.68,,123.93,,123.93,0.0,952.93,,0.0,661.6,291.3299999999999,16.84,42.63,118.22,62.76,55.46,1056.36,0.0,715.68
2019-06,diesel,0.0,0.0,0.0,0.0,55.03,51.0,4.030000000000001,33.660000000000004,0.0,33.660000000000004,153.56,,153.56,127.0,,120.09,2.41,117.68,0.0,1110.4499999999998,,0.0,782.5,327.9499999999998,17.35,93.07,98.94,56.84,42.099999999999994,1237.1799999999998,0.0,890.6
2019-07,diesel,0.0,0.0,0.0,0.0,74.18,39.46,34.720000000000006,10.26,0.0,10.26,200.87,4.03,196.84,166.03,1.08,191.16,,191.16,0.0,961.54,,0.0,710.01,251.52999999999997,28.96,76.16,148.45000000000002,54.62,93.83000000000001,1049.04,0.0,776.11
2019-08,diesel,0.0,0.0,0.0,0.0,93.96,72.49,21.47,25.03,0.0,25.03,191.14,13.39,177.75,154.87,7.05,141.48,,141.48,0.0,1214.2000000000003,,0.0,854.34,359.86000000000024,,139.72,134.01,85.88,48.129999999999995,1386.0000000000002,0.0,1015.04
2019-09,diesel,0.0,0.0,0.0,0.0,71.74,55.88,15.859999999999992,,0.0,0.0,195.36,6.33,189.03,176.48,,181.88,1.48,180.4,0.0,1068.9399999999998,,0.0,959.53,109.40999999999985,1.83,64.99,94.96,64.72,30.239999999999995,1133.9299999999998,0.0,1018.56
2019-10,diesel,0.0,0.0,0.0,0.0,120.71,103.32,17.39,11.14,0.0,11.14,209.07,9.89,199.18,173.74,,168.07,,168.07,0.0,846.9300000000001,,0.0,787.06,59.87000000000012,17.13,51.32,173.18,129.06,44.120000000000005,909.3900000000001,0.0,827.51
2019-11,diesel,0.0,0.0,0.0,0.0,226.26000000000002,135.94,90.32000000000002,0.25,0.0,0.25,143.81,,143.81,139.31,0.11,149.6,,149.6,0.0,901.4800000000001,,0.0,802.09,99.3900000000001,9.01,68.73,239.77000000000004,144.95,94.82000000000005,970.57,0.0,871.18
2019-12,diesel,0.0,0.0,0.0,0.0,225.29999999999998,96.6,128.7,,0.0,0.0,195.67,13.34,182.32999999999998,172.95,,155.82,1.26,154.56,0.0,851.7400000000001,,0.0,723.03,128.71000000000015,1.76,85.49,261.84000000000003,109.94,151.90000000000003,937.2400000000001,0.0,795.96
2020-01,diesel,0.0,0.0,0.0,0.0,160.14,107.64,52.499999999999986,5.36,0.0,5.36,113.18999999999998,9.35,103.83999999999999,88.99,2.93,87.78,,87.78,0.0,873.5799999999999,,0.0,736.32,137.25999999999988,1.62,89.25,188.54999999999998,118.62,69.92999999999998,971.12,0.0,824.16
