month,commodity,imports_total_kbd,imports_canada_kbd,imports_latin_america_kbd,imports_europe_kbd,imports_asia_kbd,imports_middle_east_kbd,imports_africa_kbd,imports_other_kbd,exports_total_kbd,exports_canada_kbd,exports_latin_america_kbd,exports_europe_kbd,exports_asia_kbd,exports_middle_east_kbd,exports_africa_kbd,exports_other_kbd,net_imports_kbd,net_exports_kbd
2018-01-01,diesel,300.4516129032258,0.0,0.0,0.0,0.0,0.0,0.0,300.4516129032258,1090.9032258064517,0.0,0.0,0.0,0.0,0.0,0.0,1090.9032258064517,-790.4516129032259,790.4516129032259
2018-02-01,diesel,241.17857142857142,0.0,0.0,0.0,0.0,0.0,0.0,241.17857142857142,954.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,954.2857142857143,-713.1071428571429,713.1071428571429
2018-03-01,diesel,155.25806451612902,0.0,0.0,0.0,0.0,0.0,0.0,155.25806451612902,1138.5806451612902,0.0,0.0,0.0,0.0,0.0,0.0,1138.5806451612902,-983.3225806451613,983.3225806451613
2018-04-01,diesel,108.26666666666667,0.0,0.0,0.0,0.0,0.0,0.0,108.26666666666667,1376.4,0.0,0.0,0.0,0.0,0.0,0.0,1376.4,-1268.1333333333334,1268.1333333333334
2018-05-01,diesel,121.09677419354838,0.0,0.0,0.0,0.0,0.0,0.0,121.09677419354838,1282.5483870967741,0.0,0.0,0.0,0.0,0.0,0.0,1282.5483870967741,-1161.4516129032259,1161.4516129032259
2018-06-01,diesel,78.1,0.0,0.0,0.0,0.0,0.0,0.0,78.1,1414.6,0.0,0.0,0.0,0.0,0.0,0.0,1414.6,-1336.5,1336.5
2018-07-01,diesel,155.74193548387098,0.0,0.0,0.0,0.0,0.0,0.0,155.74193548387098,1220.516129032258,0.0,0.0,0.0,0.0,0.0,0.0,1220.516129032258,-1064.774193548387,1064.774193548387
2018-08-01,diesel,214.83870967741936,0.0,0.0,0.0,0.0,0.0,0.0,214.83870967741936,1114.6451612903227,0.0,0.0,0.0,0.0,0.0,0.0,1114.6451612903227,-899.8064516129032,899.8064516129032
2018-09-01,diesel,123.76666666666667,0.0,0.0,0.0,0.0,0.0,0.0,123.76666666666667,1337.5333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1337.5333333333333,-1213.7666666666667,1213.7666666666667
2018-10-01,diesel,162.83870967741936,0.0,0.0,0.0,0.0,0.0,0.0,162.83870967741936,1274.8064516129032,0.0,0.0,0.0,0.0,0.0,0.0,1274.8064516129032,-1111.967741935484,1111.967741935484
2018-11-01,diesel,251.63333333333333,0.0,0.0,0.0,0.0,0.0,0.0,251.63333333333333,1338.9,0.0,0.0,0.0,0.0,0.0,0.0,1338.9,-1087.2666666666667,1087.2666666666667
2018-12-01,diesel,179.25806451612902,0.0,0.0,0.0,0.0,0.0,0.0,179.25806451612902,1329.967741935484,0.0,0.0,0.0,0.0,0.0,0.0,1329.967741935484,-1150.7096774193549,1150.7096774193549
