month,commodity,padd1_imports_total_kbd,padd1_imports_canada_kbd,padd1_imports_non_canada_kbd,padd1_exports_total_kbd,padd1ab_imports_total_kbd,padd1ab_imports_canada_kbd,padd1ab_imports_non_canada_kbd,padd1ab_exports_total_kbd,padd1ab_exports_europe_kbd,padd1ab_exports_other_kbd,padd1c_imports_total_kbd,padd1c_imports_canada_kbd,padd1c_imports_non_canada_kbd,padd1c_imports_intra_us_kbd,padd1c_exports_total_kbd,padd3_to_padd1_kbd,padd3_to_padd1ab_kbd,padd3_to_padd1c_kbd,padd3_to_padd5_kbd,padd3_exports_total_kbd,padd3_exports_africa_kbd,padd3_exports_europe_kbd,padd3_exports_latin_america_kbd,padd3_exports_other_kbd,padd5_imports_total_kbd,padd5_exports_total_kbd,us_imports_total_kbd,us_imports_canada_kbd,us_imports_non_canada_kbd,us_exports_total_kbd,us_exports_europe_kbd,us_exports_latin_america_kbd
2018-01,jet,103.14999999999999,22.37,80.77999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.63,0.0,0.0,0.0,167.09000000000003,0.0,10.86,117.72,38.51000000000002,72.23,25.43,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,jet,50.26,9.8,40.459999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.13,0.0,0.0,0.0,137.17999999999998,0.9,33.37,88.57,14.339999999999975,58.38,22.97,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,jet,44.47,9.4,35.07,9.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.11,0.0,0.0,0.0,208.41000000000003,20.11,49.34,128.71,10.25,44.28,15.85,0.0,0.0,0.0,0.0,0.0,0.0
2018-04,jet,57.35,25.09,32.260000000000005,11.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.72,0.0,0.0,0.0,199.34,0.0,20.19,139.59,39.56,68.49,15.86,0.0,0.0,0.0,0.0,0.0,0.0
2018-05,jet,69.44,25.89,43.55,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.76,0.0,0.0,0.0,228.17,19.62,54.92,118.55,35.08,82.54,13.32,0.0,0.0,0.0,0.0,0.0,0.0
2018-06,jet,66.95,25.16,41.790000000000006,23.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,0.0,160.76,11.01,32.46,107.95,9.33999999999999,87.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07,jet,56.650000000000006,12.99,43.660000000000004,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.0,1.13,235.07000000000002,10.79,38.56,145.77,39.95000000000002,94.37,28.67,0.0,0.0,0.0,0.0,0.0,0.0
2018-08,jet,81.05,33.32,47.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,0.0,0.0,0.0,230.94000000000003,0.0,31.42,171.74,27.78000000000003,86.94,10.33,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,jet,99.39000000000001,14.45,84.94000000000001,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,0.0,0.0,0.0,183.23,0.0,10.95,129.65,42.629999999999995,115.78,24.81,0.0,0.0,0.0,0.0,0.0,0.0
2018-10,jet,68.21,19.48,48.72999999999999,9.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.41,0.0,0.0,0.0,225.11999999999998,21.04,64.42,107.84,31.819999999999965,78.19,25.05,0.0,0.0,0.0,0.0,0.0,0.0
2018-11,jet,47.68,5.5,42.18,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92,0.0,0.0,0.0,191.52,0.0,7.7,138.13,45.690000000000026,72.56,12.45,0.0,0.0,0.0,0.0,0.0,0.0
2018-12,jet,41.23,20.02,21.209999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0,0.0,170.62,10.4,0.0,121.03,39.19,73.33,15.93,0.0,0.0,0.0,0.0,0.0,0.0
2019-01,jet,70.23,11.96,58.27,13.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.14,0.0,0.0,0.0,225.79,0.0,21.04,167.14,37.610000000000014,64.91,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02,jet,98.82,19.29,79.53,22.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.87,0.0,0.0,0.0,149.0,0.0,23.69,125.31,0.0,95.29,41.38,0.0,0.0,0.0,0.0,0.0,0.0
2019-03,jet,90.23,25.2,65.03,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61,0.0,0.0,0.0,127.92999999999999,0.0,0.0,122.08,5.849999999999994,86.51,12.6,0.0,0.0,0.0,0.0,0.0,0.0
2019-04,jet,75.96000000000001,28.59,47.370000000000005,20.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.28,0.0,0.0,0.0,173.7,0.0,0.0,165.09,8.609999999999985,128.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05,jet,51.410000000000004,25.62,25.790000000000003,18.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.33,0.0,0.0,0.0,198.54,0.23,20.990000000000002,127.28,50.03999999999999,136.91,5.91,0.0,0.0,0.0,0.0,0.0,0.0
2019-06,jet,85.36,41.85,43.51,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.45,0.0,0.0,0.0,161.48,0.0,20.94,111.68,28.859999999999985,115.7,4.61,0.0,0.0,0.0,0.0,0.0,0.0
2019-07,jet,80.29,30.7,49.59,8.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.78,0.0,0.0,0.0,218.51999999999998,2.01,50.69,124.99,40.83,147.78,14.88,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,jet,37.56000000000001,20.42,17.140000000000008,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,0.0,0.0,0.0,175.77999999999997,0.0,21.58,123.3,30.89999999999999,89.91,5.75,0.0,0.0,0.0,0.0,0.0,0.0
2019-09,jet,54.71,21.33,33.38,20.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.93,0.0,0.0,0.0,190.85,10.6,58.34,95.27,26.64,130.71,13.04,0.0,0.0,0.0,0.0,0.0,0.0
2019-10,jet,53.38,20.64,32.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.61,0.0,0.0,0.0,180.71,0.0,14.400000000000002,129.25,37.06,105.64,16.58,0.0,0.0,0.0,0.0,0.0,0.0
2019-11,jet,43.08,13.99,29.089999999999996,9.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.94,0.0,0.0,0.0,215.64000000000001,1.86,35.19,128.35,50.24000000000001,98.83,15.92,0.0,0.0,0.0,0.0,0.0,0.0
2019-12,jet,57.58,15.09,42.489999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.34,0.0,0.0,0.0,191.95000000000002,0.0,15.25,136.33,40.370000000000005,106.19,21.77,0.0,0.0,0.0,0.0,0.0,0.0
2020-01,jet,45.82,10.57,35.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4,0.0,0.0,0.0,212.15999999999997,0.0,19.69,143.42,49.04999999999998,75.14,29.04,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,jet,42.15,15.68,26.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,0.0,181.55,0.0,44.84,127.49,9.220000000000013,94.74,16.73,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,jet,25.16,17.19,7.969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.29,0.0,0.0,0.0,180.41,0.0,29.59,128.88,21.939999999999998,104.31,8.41,0.0,0.0,0.0,0.0,0.0,0.0
2020-04,jet,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35,0.0,0.0,0.0,62.589999999999996,0.0,32.449999999999996,20.72,9.420000000000002,88.13,5.87,0.0,0.0,0.0,0.0,0.0,0.0
2020-05,jet,65.54,12.89,52.650000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85,0.0,0.0,0.0,16.700000000000003,0.0,0.0,7.24,9.460000000000003,56.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06,jet,73.38,4.17,69.21,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,43.49,0.0,22.07,13.06,8.360000000000001,83.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07,jet,55.92,8.27,47.650000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,0.0,0.0,0.0,66.03,0.0,0.0,35.92,30.11,129.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08,jet,66.82,5.81,61.00999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,0.0,0.0,0.0,58.650000000000006,0.0,0.0,49.77,8.880000000000003,142.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0
2020-09,jet,81.08,4.5,76.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.63,0.0,0.0,0.0,50.48,0.0,11.05,32.51,6.919999999999995,88.25,4.45,0.0,0.0,0.0,0.0,0.0,0.0
2020-10,jet,86.42000000000002,7.81,78.61000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.39,0.0,0.0,0.0,50.59,0.0,5.72,39.92,4.950000000000003,104.97,5.55,0.0,0.0,0.0,0.0,0.0,0.0
2020-11,jet,52.43000000000001,9.01,43.42000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.15,0.0,0.0,0.0,96.52000000000001,0.0,10.79,85.73,1.4210854715202004e-14,92.93,8.57,0.0,0.0,0.0,0.0,0.0,0.0
2020-12,jet,41.06,7.04,34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62,0.0,0.0,0.0,88.27000000000001,0.0,0.0,77.15,11.120000000000005,115.41,6.03,0.0,0.0,0.0,0.0,0.0,0.0
2021-01,jet,43.25,11.39,31.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.99,0.0,0.0,0.0,96.94999999999999,0.0,10.72,72.16,14.069999999999993,83.99,7.16,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,jet,29.55,9.64,19.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,0.0,0.0,35.51,0.0,0.0,32.3,3.210000000000001,79.51,5.06,0.0,0.0,0.0,0.0,0.0,0.0
2021-03,jet,49.0,7.02,41.980000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.52,0.0,0.0,0.0,36.5,0.0,0.0,36.5,0.0,66.53,3.93,0.0,0.0,0.0,0.0,0.0,0.0
2021-04,jet,67.77,12.84,54.92999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,3.79,55.18,0.0,4.0,49.71,1.4699999999999989,107.21,16.27,0.0,0.0,0.0,0.0,0.0,0.0
2021-05,jet,109.10000000000002,2.58,106.52000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.09,0.0,0.0,2.87,79.00999999999999,0.0,10.74,65.2,3.069999999999993,126.65,4.87,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,jet,129.78000000000003,11.54,118.24000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.62,0.0,0.0,0.0,47.58,0.0,0.0,43.02,4.559999999999995,87.1,14.45,0.0,0.0,0.0,0.0,0.0,0.0
2021-07,jet,76.88,11.13,65.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.43,0.0,0.0,0.0,104.92999999999999,0.0,0.0,103.08,1.8499999999999943,98.72,12.22,0.0,0.0,0.0,0.0,0.0,0.0
2021-08,jet,96.03,7.31,88.72,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,163.63999999999996,0.0,6.18,145.38,12.079999999999956,164.25,10.18,0.0,0.0,0.0,0.0,0.0,0.0
