week_ending,commodity,flow_direction,padd1ab_kbd,padd1c_kbd,padd1_other_kbd,padd1_total_kbd,padd1ab_share,padd1c_share
2026-08-28,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-28,diesel,import,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-28,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-28,jet,import,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-21,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-21,diesel,import,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-21,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-21,jet,import,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-14,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-14,diesel,import,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-14,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-14,jet,import,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-07,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-07,diesel,import,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-07,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-08-07,jet,import,0.0,0.0,0.0,0.0,1.0,0.0
2026-07-31,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-07-31,diesel,import,0.0,0.0,0.0,0.0,1.0,0.0
2026-07-31,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-07-31,jet,import,0.0,0.0,0.0,0.0,1.0,0.0
2026-07-24,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-07-24,diesel,import,476.65999999999997,0.0,0.0,476.65999999999997,1.0,0.0
2026-07-24,jet,export,330.91,0.0,0.0,330.91,1.0,0.0
2026-07-24,jet,import,0.0,11.1,0.0,11.1,0.0,1.0
2026-07-17,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-07-17,diesel,import,567.8100000000001,0.0,0.0,567.8100000000001,1.0,0.0
2026-07-17,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-07-17,jet,import,224.98,0.0,0.0,224.98,1.0,0.0
2026-07-10,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-07-10,diesel,import,667.44,0.0,0.0,667.44,1.0,0.0
2026-07-10,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-07-10,jet,import,135.0,0.0,0.0,135.0,1.0,0.0
2026-07-03,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-07-03,diesel,import,726.27,0.0,0.0,726.27,1.0,0.0
2026-07-03,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-07-03,jet,import,134.9,0.0,0.0,134.9,1.0,0.0
2026-06-26,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-06-26,diesel,import,520.34,0.0,0.0,520.34,1.0,0.0
2026-06-26,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-06-26,jet,import,90.0,0.0,0.0,90.0,1.0,0.0
2026-06-19,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-06-19,diesel,import,597.66,0.0,0.0,597.66,1.0,0.0
2026-06-19,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-06-19,jet,import,85.0,0.0,0.0,85.0,1.0,0.0
2026-06-12,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-06-12,diesel,import,665.35,0.0,0.0,665.35,1.0,0.0
2026-06-12,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-06-12,jet,import,90.01,0.0,0.0,90.01,1.0,0.0
2026-06-05,diesel,export,310.88,0.0,0.0,310.88,1.0,0.0
2026-06-05,diesel,import,757.97,0.0,0.0,757.97,1.0,0.0
2026-06-05,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-06-05,jet,import,267.65999999999997,0.0,0.0,267.65999999999997,1.0,0.0
2026-05-29,diesel,export,0.0,70.02,0.0,70.02,0.0,1.0
2026-05-29,diesel,import,450.7,0.0,0.0,450.7,1.0,0.0
2026-05-29,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-05-29,jet,import,0.0,0.0,0.0,0.0,1.0,0.0
2026-05-22,diesel,export,561.28,0.0,0.0,561.28,1.0,0.0
2026-05-22,diesel,import,618.96,0.0,0.0,618.96,1.0,0.0
2026-05-22,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-05-22,jet,import,135.0,0.0,0.0,135.0,1.0,0.0
2026-05-15,diesel,export,958.53,0.0,0.0,958.53,1.0,0.0
2026-05-15,diesel,import,922.84,0.0,0.0,922.84,1.0,0.0
2026-05-15,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-05-15,jet,import,45.0,0.0,0.0,45.0,1.0,0.0
2026-05-08,diesel,export,1699.99,0.0,0.0,1699.99,1.0,0.0
2026-05-08,diesel,import,1400.99,0.0,0.0,1400.99,1.0,0.0
2026-05-08,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-05-08,jet,import,45.36,0.0,0.0,45.36,1.0,0.0
2026-05-01,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-05-01,diesel,import,387.26,220.5,0.0,607.76,0.6371923127550349,0.36280768724496515
2026-05-01,jet,export,321.13,0.0,0.0,321.13,1.0,0.0
2026-05-01,jet,import,90.71000000000001,84.8,0.0,175.51,0.5168366474844739,0.48316335251552617
2026-04-24,diesel,export,1171.63,0.0,0.0,1171.63,1.0,0.0
2026-04-24,diesel,import,533.71,96.31,0.0,630.02,0.8471318370845371,0.152868162915463
2026-04-24,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-04-24,jet,import,90.71,0.0,0.0,90.71,1.0,0.0
2026-04-17,diesel,export,938.49,0.0,0.0,938.49,1.0,0.0
2026-04-17,diesel,import,893.24,254.59,0.0,1147.83,0.7781988622008487,0.22180113779915145
2026-04-17,jet,export,383.86,0.0,0.0,383.86,1.0,0.0
2026-04-17,jet,import,198.18,0.0,0.0,198.18,1.0,0.0
2026-04-10,diesel,export,1305.28,0.0,0.0,1305.28,1.0,0.0
2026-04-10,diesel,import,866.49,106.17,0.0,972.66,0.8908457220405898,0.10915427795941028
2026-04-10,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-04-10,jet,import,45.36,0.0,0.0,45.36,1.0,0.0
2026-04-03,diesel,export,1565.3700000000001,0.0,0.0,1565.3700000000001,1.0,0.0
2026-04-03,diesel,import,585.08,0.0,0.0,585.08,1.0,0.0
2026-04-03,jet,export,300.0,0.0,0.0,300.0,1.0,0.0
2026-04-03,jet,import,287.34,0.0,0.0,287.34,1.0,0.0
2026-03-27,diesel,export,644.09,0.0,0.0,644.09,1.0,0.0
2026-03-27,diesel,import,809.23,10.62,0.0,819.85,0.9870464109288284,0.012953589071171554
2026-03-27,jet,export,422.31,0.0,0.0,422.31,1.0,0.0
2026-03-27,jet,import,136.07,106.68,0.0,242.75,0.5605355303810504,0.4394644696189496
2026-03-20,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-03-20,diesel,import,1010.95,98.61,0.0,1109.56,0.9111269331987455,0.08887306680125455
2026-03-20,jet,export,156.66,0.0,0.0,156.66,1.0,0.0
2026-03-20,jet,import,179.28,0.0,0.0,179.28,1.0,0.0
2026-03-13,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-03-13,diesel,import,867.83,0.0,0.0,867.83,1.0,0.0
2026-03-13,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-03-13,jet,import,204.57999999999998,0.0,0.0,204.57999999999998,1.0,0.0
2026-03-06,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-03-06,diesel,import,1465.45,0.0,0.0,1465.45,1.0,0.0
2026-03-06,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-03-06,jet,import,156.70999999999998,0.0,0.0,156.70999999999998,1.0,0.0
2026-02-27,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-02-27,diesel,import,1178.59,0.0,0.0,1178.59,1.0,0.0
2026-02-27,jet,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-02-27,jet,import,85.67,282.24,0.0,367.91,0.23285586148786386,0.7671441385121361
2026-02-20,diesel,export,0.0,0.0,0.0,0.0,1.0,0.0
2026-02-20,diesel,import,2014.67,130.82,0.0,2145.4900000000002,0.9390255838992491,0.06097441610075087
