week_ending,commodity,padd1_imports_total_kbd,padd1_imports_canada_kbd,padd1_imports_non_canada_kbd,padd1_exports_total_kbd,padd1ab_imports_total_kbd,padd1ab_imports_canada_kbd,padd1ab_imports_non_canada_kbd,padd1ab_exports_total_kbd,padd1ab_exports_europe_kbd,padd1ab_exports_other_kbd,padd1c_imports_total_kbd,padd1c_imports_canada_kbd,padd1c_imports_non_canada_kbd,padd1c_imports_intra_us_kbd,padd1c_exports_total_kbd,padd3_to_padd1_kbd,padd3_to_padd1ab_kbd,padd3_to_padd1c_kbd,padd3_to_padd5_kbd,padd3_exports_total_kbd,padd3_exports_africa_kbd,padd3_exports_europe_kbd,padd3_exports_latin_america_kbd,padd3_exports_other_kbd,padd5_imports_total_kbd,padd5_exports_total_kbd,us_imports_total_kbd,us_imports_canada_kbd,us_imports_non_canada_kbd,us_exports_total_kbd,us_exports_europe_kbd,us_exports_latin_america_kbd
2018-01-05,diesel,0.0,0.0,0.0,0.0,92.01,75.25,16.760000000000005,0.0,0.0,0.0,12.56,0.0,12.56,0.0,0.0,163.7,16.33,147.37,0.0,898.46,45.48,160.58,690.62,1.7799999999999727,0.0,147.01,104.57000000000001,75.25,29.320000000000007,1045.47,160.58,837.63
2018-01-12,diesel,0.0,0.0,0.0,0.0,129.74,43.42,86.32000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.60000000000002,71.65,123.95,0.0,898.44,0.0,170.94,727.5,0.0,0.0,119.4,172.85000000000002,75.29,97.56000000000002,1017.8399999999999,170.94,846.9
2018-01-19,diesel,0.0,0.0,0.0,0.0,127.19,104.24,22.950000000000003,14.17,14.17,0.0,0.0,0.0,0.0,0.0,0.0,149.27,0.0,149.27,0.0,662.64,88.25999999999999,71.72,479.92,22.739999999999952,0.0,44.01,134.39999999999998,104.24,30.159999999999982,720.81,85.88999999999999,523.92
2018-01-26,diesel,0.0,0.0,0.0,0.0,369.15,43.27,325.88,0.0,0.0,0.0,9.28,0.0,9.28,0.0,0.0,107.8,0.0,107.8,0.0,784.2199999999999,0.0,148.95,585.6,49.66999999999996,0.0,61.35,398.38999999999993,43.27,355.11999999999995,845.5699999999999,148.95,646.95
2018-02-02,diesel,0.0,0.0,0.0,0.0,243.0,100.18,142.82,25.89,19.01,6.879999999999999,0.0,0.0,0.0,0.0,0.0,118.23,0.0,118.23,0.0,646.55,0.0,35.17,611.38,0.0,5.52,142.8,248.52,105.7,142.82,815.2399999999999,54.18000000000001,754.18
2018-02-09,diesel,0.0,0.0,0.0,0.0,313.53,53.0,260.53,0.0,0.0,0.0,21.43,0.0,21.43,0.0,0.0,136.27,0.0,136.27,0.0,811.64,0.0,57.94,744.07,9.629999999999995,0.0,35.21,334.96,53.0,281.96,846.8499999999999,57.94,764.1
2018-02-16,diesel,0.0,0.0,0.0,0.0,270.73,80.61,190.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.28,176.57,0.0,176.57,0.0,760.24,0.0,49.35,688.35,22.539999999999964,0.0,33.56,294.53999999999996,80.61,213.92999999999995,814.0699999999999,69.62,721.91
2018-02-23,diesel,0.0,0.0,0.0,0.0,125.5,84.73,40.769999999999996,49.35,49.35,0.0,0.0,0.0,0.0,0.0,0.0,108.29,0.0,108.29,0.0,651.9,0.0,65.19,552.49,34.22000000000003,0.0,91.11,125.5,84.73,40.769999999999996,792.36,114.53999999999999,643.6
2018-03-02,diesel,0.0,0.0,0.0,0.0,133.51999999999998,26.19,107.32999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.36,9.22,92.14,0.0,751.21,0.0,214.7,536.51,0.0,0.0,81.95,160.35999999999999,26.19,134.17,833.16,214.7,611.35
2018-03-09,diesel,0.0,0.0,0.0,0.0,190.76000000000002,113.17,77.59000000000002,39.87,39.87,0.0,0.0,0.0,0.0,0.0,0.0,115.19,0.0,115.19,0.0,789.1500000000001,0.0,12.71,747.73,28.710000000000036,0.0,83.79,233.34,113.17,120.17,912.8100000000001,52.58,831.52
2018-03-16,diesel,0.0,0.0,0.0,0.0,98.79,98.79,0.0,42.36,0.0,42.36,0.0,0.0,0.0,0.0,11.02,135.34,0.0,135.34,0.0,902.3700000000001,29.85,114.27,754.31,3.9400000000001683,0.0,15.82,121.07000000000001,98.79,22.28,971.5700000000002,114.27,823.51
2018-03-23,diesel,0.0,0.0,0.0,0.0,98.85,98.85,0.0,68.09,45.53,22.560000000000002,47.34,47.34,0.0,0.0,0.0,100.26,0.0,100.26,0.0,730.1700000000001,0.0,40.45,676.46,13.259999999999991,0.0,30.51,190.36,146.19,44.170000000000016,828.7700000000001,85.97,708.22
2018-03-30,diesel,0.0,0.0,0.0,0.0,42.31,42.31,0.0,37.33,0.0,37.33,45.75,45.75,0.0,0.0,0.0,118.76,0.0,118.76,0.0,997.5599999999998,62.56,54.19,857.9,22.90999999999974,7.86,54.75,95.92,95.92,0.0,1089.6399999999999,54.19,912.65
2018-04-06,diesel,0.0,0.0,0.0,0.0,101.85,52.43,49.419999999999995,13.3,10.66,2.6400000000000006,68.63,37.57,31.059999999999995,0.0,0.0,84.18,0.0,84.18,0.0,1093.2300000000002,23.16,0.0,1035.41,34.66000000000008,0.0,24.56,170.47,89.99,80.48,1131.0900000000001,10.66,1038.05
2018-04-13,diesel,0.0,0.0,0.0,0.0,63.55,63.55,0.0,239.52,33.75,205.77,23.44,23.44,0.0,0.0,0.0,104.2,0.0,104.2,0.0,1196.88,132.8,164.04000000000002,883.1,16.94000000000017,13.45,2.37,100.44,100.44,0.0,1438.77,197.79000000000002,1032.22
2018-04-20,diesel,0.0,0.0,0.0,0.0,68.34,68.34,0.0,129.73000000000002,82.36,47.37000000000002,23.44,23.44,0.0,0.0,0.0,122.29,0.0,122.29,0.0,1205.29,34.58,153.92,991.34,25.450000000000045,80.22,13.94,172.0,91.78,80.22,1348.98,236.29000000000002,1012.47
2018-04-27,diesel,0.0,0.0,0.0,0.0,0.48,0.48,0.0,118.37,118.37,0.0,33.57,33.57,0.0,0.0,38.68,145.98,0.0,145.98,0.0,994.69,43.9,139.3,755.0,56.49000000000001,0.0,47.88,47.169999999999995,34.05,13.119999999999997,1199.63,296.35,802.89
2018-05-04,diesel,0.0,0.0,0.0,0.0,51.09,51.09,0.0,73.97,0.0,73.97,0.0,0.0,0.0,0.0,0.0,197.44,0.0,197.44,0.0,1185.88,44.95,212.26999999999998,877.98,50.680000000000064,33.13,88.88,84.23,51.09,33.14,1348.7300000000002,212.26999999999998,920.4
2018-05-11,diesel,0.0,0.0,0.0,0.0,28.29,28.29,0.0,15.06,0.0,15.06,37.52,37.52,0.0,0.0,0.0,157.16,0.0,157.16,0.0,919.46,0.0,0.0,911.57,7.889999999999986,7.21,0.0,97.83,73.02,24.810000000000002,934.52,0.0,911.57
2018-05-18,diesel,0.0,0.0,0.0,0.0,21.57,21.57,0.0,83.04,40.2,42.84,0.0,0.0,0.0,0.0,0.0,44.33,0.0,44.33,0.0,1050.53,0.0,162.73,822.53,65.26999999999998,0.0,0.0,23.27,21.57,1.6999999999999993,1133.57,202.93,822.53
2018-05-25,diesel,0.0,0.0,0.0,0.0,52.44,48.82,3.6199999999999974,30.08,0.0,30.08,75.65,75.65,0.0,0.0,0.0,247.63,0.0,247.63,0.0,1235.8000000000002,0.0,285.71,905.69,44.40000000000009,12.47,78.07,140.56,124.47,16.090000000000003,1343.9600000000003,285.71,951.14
2018-06-01,diesel,0.0,0.0,0.0,0.0,129.64000000000001,58.71,70.93,108.72999999999999,73.47999999999999,35.25,45.56,45.56,0.0,0.0,0.0,144.38,0.0,144.38,0.0,1038.6599999999999,0.0,132.04,862.36,44.25999999999988,30.56,23.88,205.76,104.27,101.49,1171.28,205.51999999999998,886.24
2018-06-08,diesel,0.0,0.0,0.0,0.0,72.65,72.65,0.0,69.28999999999999,54.19,15.099999999999994,0.0,0.0,0.0,0.0,0.0,164.5,0.0,164.5,0.0,1127.55,0.0,428.17,699.38,0.0,0.0,14.76,76.79,76.79,0.0,1211.6,482.36,714.14
2018-06-15,diesel,0.0,0.0,0.0,0.0,47.29,47.29,0.0,0.0,0.0,0.0,30.37,0.0,30.37,0.0,0.0,91.86,0.0,91.86,0.0,986.6600000000001,42.36,350.94000000000005,593.36,0.0,15.55,50.14,93.21000000000001,47.29,45.92000000000001,1036.8,350.94000000000005,643.5
2018-06-22,diesel,0.0,0.0,0.0,0.0,28.52,28.52,0.0,24.54,24.54,0.0,33.769999999999996,23.57,10.199999999999996,0.0,0.0,251.55,0.0,251.55,0.0,1267.8799999999999,0.0,378.68,818.86,70.3399999999998,0.0,45.48,62.3,52.1,10.199999999999996,1337.8999999999999,403.22,864.34
2018-06-29,diesel,0.0,0.0,0.0,0.0,33.86,33.86,0.0,24.54,24.54,0.0,13.57,13.57,0.0,0.0,0.0,156.94,0.0,156.94,0.0,1369.6799999999998,46.05,401.58000000000004,885.19,36.859999999999786,7.1,94.97,54.53,47.43,7.100000000000001,1489.1799999999998,475.23,931.04
2018-07-06,diesel,0.0,0.0,0.0,0.0,80.26,80.26,0.0,44.92,44.92,0.0,0.0,0.0,0.0,0.0,0.0,195.25,0.0,195.25,0.0,898.35,6.11,362.82,500.79,28.630000000000052,24.29,113.62,104.55000000000001,80.26,24.290000000000006,1056.9,407.75,565.07
2018-07-13,diesel,0.0,0.0,0.0,0.0,70.84,70.84,0.0,0.0,0.0,0.0,40.18,40.18,0.0,0.0,0.0,125.45,0.0,125.45,0.0,1366.8899999999999,43.23,318.5,965.44,39.7199999999998,0.0,65.21,111.03,111.03,0.0,1432.1,318.5,1030.65
2018-07-20,diesel,0.0,0.0,0.0,0.0,182.56,72.28,110.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.58,0.0,202.58,0.0,747.88,0.0,35.65,704.38,7.850000000000023,119.18,63.37,301.75,115.14,186.61,811.25,35.65,749.86
2018-07-27,diesel,0.0,0.0,0.0,0.0,17.86,17.86,0.0,0.0,0.0,0.0,27.86,27.86,0.0,0.0,0.0,116.58,0.0,116.58,0.0,902.75,73.21,173.28,656.26,0.0,0.0,115.99,45.72,45.72,0.0,1018.74,173.28,759.07
