Date;North West Europe Zone;Latin America;East Coast Canada;MED Zone (MED Sea+Black Sea);Other North Africa;Western Africa;Unknown;Southern Africa;Other Southern Europe;South-East Asia;Mideast Gulf;Period End Date
2018-01;4.29;0;0;3.20;0;0;1.55;0;0;0;0;2018-01-31
2018-02;12.34;0;0;0;0;0;0;0;0;0;0;2018-02-28
2018-03;10.28;14.66;8.43;9.00;0;0;0;0;0;0;0;2018-03-31
2018-04;29.80;36.54;34.64;19.53;0;0;0;0;7.87;0;0;2018-04-30
2018-05;22.62;0;33.41;3.05;0;0;0;0;0;0;0;2018-05-31
2018-06;24.10;0;3.52;10.48;0;0;0;0;0;0;0;2018-06-30
2018-07;0;0;0;0;0;0;0;0;0;0;0;2018-07-31
2018-08;10.69;0;0;0;0;8.22;0;0;0;0;0;2018-08-31
2018-09;20.80;6.50;0;0;0;0;0;0;0;0;0;2018-09-30
2018-10;0;2.06;7.38;0;0;0;0;0;0;0;0;2018-10-31
2018-11;16.32;1.24;8.74;0;0;0;6.67;0;0;0;0;2018-11-30
2018-12;0;0;2.82;0;0;0;0;0;0;0;0;2018-12-31
2019-01;0;0;0;0;0;0;4.13;0;0;0;0;2019-01-31
2019-02;0;0;0;26.72;0;0;4.51;0;0;0;0;2019-02-28
2019-03;16.41;14.05;0;0;0;0;0;0;0;0;0;2019-03-31
2019-04;9.82;0;4.16;0;0;0;3.31;0;0;0;0;2019-04-30
2019-05;30.47;11.44;0;7.47;11.41;0;0;0;0;0;0;2019-05-31
2019-06;10.30;16.87;0;0;0;0;6.49;0;0;0;0;2019-06-30
2019-07;0;0;0;10.26;0;0;0;0;0;0;0;2019-07-31
2019-08;0;25.03;0;0;0;0;0;0;0;0;0;2019-08-31
2019-09;0;0;0;0;0;0;0;0;0;0;0;2019-09-30
2019-10;11.14;0;0;0;0;0;0;0;0;0;0;2019-10-31
2019-11;0;0.25;0;0;0;0;0;0;0;0;0;2019-11-30
2019-12;0;0;0;0;0;0;0;0;0;0;0;2019-12-31
2020-01;5.36;0;0;0;0;0;0;0;0;0;0;2020-01-31
2020-02;0;11.91;0;0;0;0;0;0;0;0;0;2020-02-29
2020-03;0;11.14;0;0;0;0;0;0;0;0;0;2020-03-31
2020-04;11.51;0;0;0;0;0;0;0;0;0;0;2020-04-30
2020-05;0;10.90;0;0;0;0;0;0;0;0;0;2020-05-31
2020-06;10.59;22.47;8.39;54.22;34.05;0;0;0;0;0;0;2020-06-30
2020-07;10.60;0;0;0;0;0;0;0;0;0;0;2020-07-31
2020-08;11.14;0;0;0;0;0;0;0;0;0;0;2020-08-31
2020-09;11.51;6.02;8.12;0;0;0;2.98;0;0;0;0;2020-09-30
2020-10;0;0;0;0;0;0;3.56;0;0;0;0;2020-10-31
2020-11;0;0;6.68;0;0;0;0;0;0;1.08;0;2020-11-30
2020-12;0;9.63;0;0;0;0;0;0;0;0;0;2020-12-31
2021-01;0;0;5.14;0;0;0;3.51;0;0;0;0;2021-01-31
2021-02;0;10.63;0;0;0;0;0;0;0;0;0;2021-02-28
2021-03;0;20.19;0;0;0;0;0;0;0;0;0;2021-03-31
2021-04;0;0;0;0;0;0;9.95;0;0;0;0;2021-04-30
2021-05;0;11.13;0;0;0;0;0;0;0;0;0;2021-05-31
2021-06;0;3.61;0;0;0;0;0;0;0;0;0;2021-06-30
2021-07;7.63;0;4.27;0;0;0;0;0;0;0;0;2021-07-31
2021-08;0;9.37;4.27;0;0;0;0;0;0;0;0;2021-08-31
2021-09;0;0;4.41;0;0;0;0;0;0;0;0;2021-09-30
2021-10;0;0;0;0;0;0;0;0;0;0;0;2021-10-31
2021-11;0;7.57;0;0;0;0;0;0;0;0;0;2021-11-30
2021-12;0;19.48;0;0;0;0;0;0;0;0;0;2021-12-31
2022-01;0;0;8.61;0;0;0;0;0;0;0;0;2022-01-31
2022-02;0;9.99;0;0;0;0;0;0;0;0;0;2022-02-28
2022-03;29.11;9.06;0;0;0;0;0;0;0;0;0;2022-03-31
2022-04;5.51;9.91;2.59;0;0;0;0;0;0;0;0;2022-04-30
2022-05;0;8.46;0;0;0;0;0;0;0;0;0;2022-05-31
2022-06;0;0;0;0;0;10.23;0;0;0;0;0;2022-06-30
2022-07;4.38;11.25;3.66;0;0;8.36;0;8.02;0;0;0;2022-07-31
2022-08;0;11.14;0;0;0;0;0;0;0;0;0;2022-08-31
2022-09;9.15;0;0;0;0;10.20;0;0;0;0;0;2022-09-30
2022-10;0;0;0;0;0;0;0;0;0;0;0;2022-10-31
2022-11;0;3.15;5.41;0;0;0;0;0;0;0;0;2022-11-30
2022-12;0;0;0;0;0;0;0;0;0;0;0;2022-12-31
2023-01;0;7.61;0;0;0;0;0;0;0;0;0;2023-01-31
2023-02;0;12.34;0;0;0;0;0;0;0;0;0;2023-02-28
2023-03;22.06;7.49;0;10.24;0;0;0;0;0;0;0;2023-03-31
2023-04;4.48;2.83;0;0;0;0;0;0;0;0;0;2023-04-30
2023-05;0;0;0;9.15;0;0;0;0;0;0;0;2023-05-31
2023-06;9.93;0;0;8.64;0;0;0;0;0;0;0;2023-06-30
2023-07;21.22;0;0;0;0;0;0;0;0;0;0;2023-07-31
2023-08;20.08;0;0;0;0;0;0;0;0;0;0;2023-08-31
2023-09;23.34;11.51;0;0;0;0;0;0;0;0;0;2023-09-30
2023-10;0;0;5.29;0;0;0;4.33;0;0;0;0;2023-10-31
2023-11;0;0;0;0;0;0;0;0;0;0;0;2023-11-30
2023-12;0;0;0;0;0;0;0;0;0;0;0;2023-12-31
2024-01;0;0;2.99;0;0;0;0;0;0;0;0;2024-01-31
2024-02;42.33;0;0;0;0;0;0;0;0;0;0;2024-02-29
2024-03;44.01;0;4.61;0;0;0;0;0;0;0;0;2024-03-31
2024-04;22.61;0;0;0;11.58;0;0;0;0;0;0;2024-04-30
2024-05;0;0;4.61;0;0;0;0;0;0;0;0;2024-05-31
2024-06;37.31;0;7.14;11.51;0;0;0;0;0;0;0;2024-06-30
2024-07;37.39;0;3.18;0;0;0;0.57;0;0;0;0;2024-07-31
2024-08;69.19;0;12.22;0;0;0;0;0;0;0;0;2024-08-31
2024-09;64.82;0;8.42;19.15;0;0;0;0;0;0;0;2024-09-30
2024-10;0;3.25;0;0;0;0;0;0;0;0;0;2024-10-31
2024-11;0;0;0;0;0;0;0;0;0;0;0;2024-11-30
2024-12;0;1.74;8.96;0;0;0;0;0;0;0;0;2024-12-31
2025-01;0;0;3.30;0;0;0;0;0;0;0;0;2025-01-31
2025-02;0;0;10.71;0;0;0;0;0;0;0;0;2025-02-28
2025-03;24.25;0;4.06;0;0;0;0;0;0;0;0;2025-03-31
2025-04;0;0;0;0;0;0;0;0;0;0;0;2025-04-30
2025-05;0;0;0;0;0;0;0;0;0;0;0;2025-05-31
2025-06;20.33;0;0;0;0;0;0;0;0;0;0;2025-06-30
2025-07;9.68;0;3.82;0;0;0;0;0;0;0;0;2025-07-31
2025-08;0;0;0;0;0;0;0;0;0;0;0;2025-08-31
2025-09;30.10;0;8.33;0;11.45;0;0;0;0;0;0;2025-09-30
2025-10;9.61;0;3.23;10.50;0;0;1.71;1.01;0;0;1.01;2025-10-31
2025-11;9.91;0;3.33;0;0;0;0;0;0;0;0;2025-11-30
2025-12;0;0;0;0;0;0;0;0;0;0;0;2025-12-31
2026-01;0;0;2.26;0;0;0;0;0;0;0;0;2026-01-31
2026-02;0;0;0;0;0;0;0;0;0;0;0;2026-02-28
2026-03;30.45;0;9.04;0;0;4.84;0;0;0;0;0;2026-03-31
2026-04;86.29;9.22;0;11.02;19.85;5.00;0;9.36;0;0;0;2026-04-30
2026-05;73.66;1.50;3.87;0;0;17.21;6.71;7.53;0;0;0;2026-05-31
2026-06;0;4.68;0;0;0;0;0;0;0;0;0;2026-06-30
2026-07;0;0;0;0;0;0;0;0;0;0;0;2026-07-31
