period;originCountries;quantity
2018-01;Belgium;13.21
2018-01;Brazil;27.81
2018-01;Canada;77.16
2018-01;Netherlands;16.32
2018-01;Qatar;24.33
2018-01;Russian Federation;8.40
2018-01;Saudi Arabia;8.07
2018-01;United Arab Emirates;21.88
2018-02;Brazil;5.11
2018-02;Canada;61.14
2018-02;Colombia;16.34
2018-02;India;58.41
2018-02;Oman;5.26
2018-02;Qatar;21.57
2018-02;Russian Federation;11.55
2018-02;Saudi Arabia;43.05
2018-03;Canada;84.42
2018-03;India;15.61
2018-03;Portugal;1.91
2018-04;Brazil;11.53
2018-04;Canada;43.50
2018-05;Canada;42.02
2018-05;Italy;0.82
2018-05;Russian Federation;16.02
2018-06;Canada;48.01
2018-07;Canada;66.33
2018-07;Oman;12.45
2018-07;Qatar;12.45
2018-07;Russian Federation;0.33
2018-08;Canada;59.32
2018-08;Colombia;9.57
2018-08;Latvia;9.21
2018-08;Russian Federation;42.15
2018-08;Saudi Arabia;23.97
2018-08;Spain;10.91
2018-09;Canada;50.75
2018-09;Colombia;10.85
2018-09;Russian Federation;17.80
2018-09;Saudi Arabia;19.16
2018-10;Bahamas;16.23
2018-10;Canada;30.03
2018-10;Saudi Arabia;46.84
2018-10;United Arab Emirates;11.46
2018-11;Bahamas;21.45
2018-11;Canada;39.58
2018-11;China;17.00
2018-11;Colombia;22.01
2018-11;Japan;5.40
2018-11;Qatar;2.37
2018-11;South Korea;14.92
2018-12;Canada;48.29
2018-12;Colombia;15.77
2018-12;India;4.97
2018-12;Japan;9.56
2018-12;Saudi Arabia;23.71
2019-01;Bahamas;16.52
2019-01;Canada;66.28
2019-01;Colombia;11.40
2019-01;India;86.50
2019-01;Netherlands;0.96
2019-01;Nigeria;4.26
2019-01;Qatar;6.51
2019-01;Saudi Arabia;24.95
2019-01;Togo;10.24
2019-01;Ukraine;7.02
2019-02;Canada;74.41
2019-02;China;9.96
2019-02;Colombia;6.63
2019-02;Guatemala;5.71
2019-02;India;146.70
2019-02;Qatar;7.34
2019-02;Russian Federation;11.52
2019-02;Saudi Arabia;21.49
2019-02;United Arab Emirates;11.07
2019-03;Bahamas;9.43
2019-03;Canada;84.97
2019-03;South Korea;12.87
2019-04;Belgium;11.60
2019-04;Canada;65.09
2019-04;Netherlands;3.71
2019-05;Brazil;6.14
2019-05;Canada;52.41
2019-05;Colombia;0.80
2019-05;Egypt;1.33
2019-05;Netherlands;10.01
2019-06;Canada;51.00
2019-06;Israel;0.71
2019-06;Netherlands;3.32
2019-07;Belgium;4.37
2019-07;Canada;39.46
2019-07;Indonesia;20.71
2019-07;Russian Federation;4.03
2019-07;Spain;5.61
2019-08;Canada;72.49
2019-08;Colombia;11.14
2019-08;Japan;10.33
2019-09;Brazil;10.67
2019-09;Canada;55.88
2019-09;Ghana;5.19
2019-10;Canada;103.32
2019-10;Colombia;9.23
2019-10;United Kingdom;8.16
2019-11;Canada;135.94
2019-11;Colombia;24.23
2019-11;India;24.77
2019-11;Japan;9.71
2019-11;Latvia;11.00
2019-11;Netherlands;8.86
2019-11;Russian Federation;8.58
2019-11;Spain;1.55
2019-11;Trinidad and Tobago;1.62
2019-12;Canada;96.60
2019-12;Colombia;9.15
2019-12;India;48.50
2019-12;Netherlands;46.10
2019-12;Russian Federation;24.95
2020-01;Canada;107.64
2020-01;Colombia;17.98
2020-01;India;26.04
2020-01;Netherlands;8.48
2020-02;Canada;88.34
2020-02;United Kingdom;5.57
2020-03;Canada;97.73
2020-04;Canada;110.53
2020-04;India;25.28
2020-04;Qatar;11.02
2020-04;Russian Federation;16.54
2020-04;Spain;21.39
2020-05;Canada;104.58
2020-05;Egypt;2.55
2020-05;India;8.28
2020-05;Italy;9.78
2020-05;Russian Federation;9.19
2020-06;Canada;64.37
2020-06;Colombia;9.48
2020-06;India;2.08
2020-06;Qatar;8.32
2020-07;Canada;64.49
2020-07;Colombia;3.89
2020-07;Italy;8.00
2020-08;Bahamas;8.34
2020-08;Canada;50.44
2020-08;Colombia;13.81
2020-08;India;3.90
2020-08;Qatar;4.13
2020-08;South Korea;27.71
2020-09;Bahamas;26.88
2020-09;Canada;71.26
2020-09;Colombia;13.50
2020-09;Netherlands;6.76
2020-09;Nigeria;10.82
2020-09;Spain;8.95
2020-10;Belgium;9.11
2020-10;Canada;91.77
2020-10;Colombia;36.69
2020-10;India;19.52
2020-10;Malaysia;23.97
2020-10;Netherlands;28.80
2020-10;Russian Federation;10.72
2020-10;Sweden;1.74
2020-10;Turkey;4.50
2020-10;United Arab Emirates;3.75
2020-11;Bahamas;1.80
2020-11;Belgium;24.22
2020-11;Canada;82.18
2020-11;Colombia;17.27
2020-11;Latvia;2.06
2020-11;Netherlands;61.03
2020-11;Nigeria;8.39
2020-11;Russian Federation;20.10
2020-11;South Korea;29.70
2020-11;United Kingdom;17.45
2020-12;Belgium;63.84
2020-12;Canada;120.42
2020-12;India;42.53
2020-12;Netherlands;40.20
2020-12;Nigeria;21.44
2020-12;Qatar;21.03
2020-12;Russian Federation;8.21
2020-12;Sudan;10.41
2020-12;Togo;20.54
2020-12;United Kingdom;48.26
2021-01;Bahamas;10.91
2021-01;Belgium;40.03
2021-01;Canada;104.03
2021-01;Colombia;6.04
2021-01;Malaysia;8.06
2021-01;Netherlands;34.22
2021-01;Nigeria;10.28
2021-01;Oman;25.02
2021-01;Russian Federation;20.20
2021-01;United Kingdom;30.19
2021-02;Canada;107.16
2021-02;China;17.03
2021-02;Colombia;27.24
2021-02;Finland;13.57
2021-02;India;20.41
2021-02;Latvia;11.07
2021-02;Malaysia;2.04
