Date;Total;Period End Date
2018-01;0.00;2018-01-31
2018-02;5.07;2018-02-28
2018-03;2.49;2018-03-31
2018-04;9.02;2018-04-30
2018-05;0.00;2018-05-31
2018-06;0.00;2018-06-30
2018-07;0.00;2018-07-31
2018-08;0.00;2018-08-31
2018-09;0.00;2018-09-30
2018-10;0.00;2018-10-31
2018-11;2.50;2018-11-30
2018-12;0.00;2018-12-31
2019-01;0.00;2019-01-31
2019-02;0.00;2019-02-28
2019-03;8.30;2019-03-31
2019-04;0.00;2019-04-30
2019-05;0.00;2019-05-31
2019-06;0.00;2019-06-30
2019-07;1.08;2019-07-31
2019-08;7.05;2019-08-31
2019-09;0.00;2019-09-30
2019-10;0.00;2019-10-31
2019-11;0.11;2019-11-30
2019-12;0.00;2019-12-31
2020-01;2.93;2020-01-31
2020-02;0.00;2020-02-29
2020-03;5.89;2020-03-31
2020-04;0.00;2020-04-30
2020-05;0.00;2020-05-31
2020-06;0.00;2020-06-30
2020-07;0.00;2020-07-31
2020-08;3.97;2020-08-31
2020-09;0.00;2020-09-30
2020-10;0.00;2020-10-31
2020-11;0.00;2020-11-30
2020-12;5.86;2020-12-31
2021-01;0.00;2021-01-31
2021-02;0.00;2021-02-28
2021-03;0.00;2021-03-31
2021-04;0.00;2021-04-30
2021-05;0.00;2021-05-31
2021-06;0.00;2021-06-30
2021-07;0.00;2021-07-31
2021-08;1.48;2021-08-31
2021-09;1.88;2021-09-30
2021-10;0.00;2021-10-31
2021-11;3.55;2021-11-30
2021-12;6.44;2021-12-31
2022-01;6.67;2022-01-31
2022-02;4.27;2022-02-28
2022-03;0.00;2022-03-31
2022-04;0.00;2022-04-30
2022-05;0.00;2022-05-31
2022-06;0.00;2022-06-30
2022-07;0.00;2022-07-31
2022-08;0.47;2022-08-31
2022-09;0.00;2022-09-30
2022-10;0.00;2022-10-31
2022-11;0.00;2022-11-30
2022-12;1.80;2022-12-31
2023-01;0.00;2023-01-31
2023-02;0.00;2023-02-28
2023-03;0.00;2023-03-31
2023-04;0.00;2023-04-30
2023-05;0.00;2023-05-31
2023-06;0.00;2023-06-30
2023-07;0.00;2023-07-31
2023-08;0.00;2023-08-31
2023-09;0.00;2023-09-30
2023-10;0.00;2023-10-31
2023-11;0.00;2023-11-30
2023-12;0.00;2023-12-31
2024-01;0.00;2024-01-31
2024-02;0.00;2024-02-29
2024-03;0.00;2024-03-31
2024-04;0.00;2024-04-30
2024-05;0.00;2024-05-31
2024-06;0.00;2024-06-30
2024-07;0.00;2024-07-31
2024-08;0.00;2024-08-31
2024-09;0.00;2024-09-30
2024-10;0.00;2024-10-31
2024-11;0.00;2024-11-30
2024-12;0.00;2024-12-31
2025-01;0.00;2025-01-31
2025-02;0.00;2025-02-28
2025-03;0.00;2025-03-31
2025-04;0.00;2025-04-30
2025-05;0.00;2025-05-31
2025-06;0.00;2025-06-30
2025-07;0.00;2025-07-31
2025-08;0.00;2025-08-31
2025-09;0.00;2025-09-30
2025-10;0.00;2025-10-31
2025-11;0.00;2025-11-30
2025-12;0.00;2025-12-31
2026-01;0.00;2026-01-31
2026-02;0.00;2026-02-28
2026-03;0.00;2026-03-31
2026-04;0.00;2026-04-30
2026-05;2.26;2026-05-31
2026-06;0.00;2026-06-30
2026-07;0.00;2026-07-31
2026-08;0.00;2026-08-31
