period;originCountries;quantity
2018-01;Togo;2.10
2018-02;Colombia;5.36
2018-03;Canada;21.02
2018-04;Canada;27.54
2018-04;Russian Federation;7.25
2018-05;Canada;35.84
2018-06;Belgium;2.38
2018-06;Canada;8.67
2018-06;Indonesia;7.09
2018-07;Canada;17.46
2018-08;Russian Federation;6.64
2018-09;Canada;9.91
2018-09;India;8.35
2018-10;Canada;18.05
2018-10;Colombia;7.14
2018-11;Canada;17.03
2018-11;Colombia;9.49
2018-12;Colombia;30.09
2019-01;Colombia;9.26
2019-01;Qatar;15.16
2019-02;Canada;7.02
2019-02;Colombia;24.84
2019-02;Nigeria;7.62
2019-02;Spain;1.90
2019-03;Canada;16.23
2019-03;Colombia;11.46
2019-03;South Korea;6.47
2019-04;Canada;8.70
2019-04;Colombia;22.39
2019-05;Colombia;16.86
2019-06;Colombia;26.56
2019-07;Canada;4.03
2019-07;Colombia;23.87
2019-07;Israel;0.37
2019-07;Kuwait;6.57
2019-08;Canada;13.39
2019-08;Colombia;16.22
2019-08;Panama;2.94
2019-08;South Korea;3.72
2019-09;Canada;6.33
2019-09;Colombia;12.55
2019-10;Canada;9.89
2019-10;Colombia;25.44
2019-11;Colombia;4.50
2019-12;Canada;13.34
2019-12;Colombia;9.38
2020-01;Canada;9.35
2020-01;Colombia;14.85
2020-02;Canada;9.64
2020-02;Colombia;16.26
2020-03;Canada;11.64
2020-03;Colombia;7.10
2020-03;Saudi Arabia;3.27
2020-03;United Kingdom;0.94
2020-04;Canada;16.15
2020-05;Colombia;8.32
2020-06;Bahamas;8.27
2020-06;Colombia;19.01
2020-07;Colombia;5.81
2020-07;India;8.89
2020-09;Bahamas;10.36
2020-09;Colombia;7.52
2020-10;Canada;4.84
2020-10;Colombia;6.49
2020-11;Bahamas;11.51
2020-11;Netherlands;6.33
2020-12;Canada;10.48
2020-12;Colombia;14.49
2020-12;India;9.04
2020-12;Netherlands;5.32
2021-01;Bahamas;9.68
2021-01;Belgium;9.81
2021-01;Colombia;15.73
2021-02;Bahamas;12.49
2021-02;Canada;8.73
2021-02;Colombia;12.89
2021-03;Belgium;21.41
2021-03;Netherlands;20.76
2021-03;Russian Federation;9.52
2021-03;Saudi Arabia;11.25
2021-03;United States Virgin Islands;2.44
2021-04;Bahamas;9.41
2021-04;Canada;3.33
2021-04;India;6.86
2021-04;United States Virgin Islands;1.30
2021-05;Colombia;9.93
2021-05;Netherlands;6.60
2021-05;Portugal;8.36
2021-05;Saudi Arabia;2.94
2021-06;Canada;9.23
2021-06;Colombia;14.47
2021-07;Colombia;9.67
2021-07;Netherlands;10.29
2021-08;Canada;8.06
2021-08;Colombia;15.63
2021-08;Netherlands;9.32
2021-09;Belgium;9.96
2021-09;Canada;8.61
2021-09;Colombia;4.69
2021-09;Netherlands;7.67
2021-09;Nigeria;10.32
2021-10;Colombia;6.72
2021-10;Latvia;11.22
2021-10;Qatar;10.05
2021-10;Saudi Arabia;6.90
2021-10;United States Virgin Islands;1.60
2021-11;Canada;8.17
2021-11;Colombia;14.75
2021-11;Malaysia;5.31
2021-11;Netherlands;8.93
2021-11;Nigeria;10.95
2021-11;Oman;0.67
2021-11;Qatar;13.97
2021-11;Singapore Republic;5.26
2021-11;Spain;4.22
2021-12;Canada;25.74
2021-12;Colombia;9.20
2021-12;Qatar;5.90
2021-12;Saudi Arabia;12.10
2021-12;South Korea;9.42
2022-01;Bahamas;0.23
2022-01;Canada;8.61
2022-02;Belgium;3.95
2022-02;Qatar;11.68
2022-03;Canada;4.19
2022-04;Canada;14.75
2022-05;Portugal;8.26
2022-05;Saudi Arabia;6.45
2022-06;Canada;8.00
2022-07;Canada;2.24
2022-07;Colombia;9.23
2022-08;Canada;18.70
2022-08;Colombia;10.01
2022-09;Canada;7.80
2022-11;Russian Federation;1.93
2022-12;India;9.65
2022-12;Netherlands;1.77
2023-01;Canada;2.85
2023-01;Netherlands;10.02
2023-02;Colombia;11.42
2023-03;Canada;8.06
2023-04;Canada;13.04
2023-05;Canada;18.07
2023-06;Canada;4.95
2023-08;Colombia;1.61
2023-09;Colombia;21.84
2023-11;Canada;14.50
2024-01;Colombia;12.93
2024-01;Mexico;5.56
2024-02;Mexico;2.29
2024-05;Canada;8.27
2024-08;Canada;8.06
2025-03;Canada;10.17
2025-04;Mexico;4.47
2025-05;Canada;2.66
2025-05;Mexico;6.77
2025-06;Colombia;6.57
2025-11;Mexico;1.66
2025-12;Mexico;26.95
2026-01;Canada;9.57
2026-01;Colombia;9.16
2026-02;Canada;10.24
2026-03;Canada;0.34
2026-03;Mexico;3.18
2026-04;Canada;10.56
2026-04;Mexico;3.54
2026-04;United States Virgin Islands;8.49
