Date;Total;Period End Date
2018-01;16.18;2018-01-31
2018-02;2.30;2018-02-28
2018-03;0.00;2018-03-31
2018-04;0.00;2018-04-30
2018-05;0.00;2018-05-31
2018-06;0.00;2018-06-30
2018-07;0.00;2018-07-31
2018-08;2.77;2018-08-31
2018-09;5.72;2018-09-30
2018-10;0.00;2018-10-31
2018-11;0.00;2018-11-30
2018-12;2.45;2018-12-31
2019-01;0.00;2019-01-31
2019-02;1.36;2019-02-28
2019-03;2.07;2019-03-31
2019-04;0.40;2019-04-30
2019-05;0.00;2019-05-31
2019-06;2.41;2019-06-30
2019-07;0.00;2019-07-31
2019-08;0.00;2019-08-31
2019-09;1.48;2019-09-30
2019-10;0.00;2019-10-31
2019-11;0.00;2019-11-30
2019-12;1.26;2019-12-31
2020-01;0.00;2020-01-31
2020-02;4.61;2020-02-29
2020-03;4.35;2020-03-31
2020-04;10.48;2020-04-30
2020-05;17.74;2020-05-31
2020-06;0.00;2020-06-30
2020-07;0.00;2020-07-31
2020-08;4.48;2020-08-31
2020-09;7.40;2020-09-30
2020-10;2.39;2020-10-31
2020-11;3.62;2020-11-30
2020-12;2.75;2020-12-31
2021-01;5.52;2021-01-31
2021-02;0.00;2021-02-28
2021-03;0.00;2021-03-31
2021-04;3.95;2021-04-30
2021-05;11.22;2021-05-31
2021-06;0.00;2021-06-30
2021-07;0.00;2021-07-31
2021-08;3.82;2021-08-31
2021-09;5.72;2021-09-30
2021-10;5.53;2021-10-31
2021-11;3.15;2021-11-30
2021-12;0.00;2021-12-31
2022-01;4.67;2022-01-31
2022-02;2.82;2022-02-28
2022-03;0.00;2022-03-31
2022-04;0.00;2022-04-30
2022-05;0.00;2022-05-31
2022-06;0.00;2022-06-30
2022-07;5.53;2022-07-31
2022-08;0.00;2022-08-31
2022-09;11.43;2022-09-30
2022-10;1.34;2022-10-31
2022-11;7.52;2022-11-30
2022-12;0.00;2022-12-31
2023-01;5.53;2023-01-31
2023-02;0.00;2023-02-28
2023-03;0.00;2023-03-31
2023-04;5.72;2023-04-30
2023-05;8.71;2023-05-31
2023-06;5.72;2023-06-30
2023-07;0.00;2023-07-31
2023-08;3.30;2023-08-31
2023-09;3.14;2023-09-30
2023-10;0.00;2023-10-31
2023-11;0.00;2023-11-30
2023-12;4.67;2023-12-31
2024-01;2.23;2024-01-31
2024-02;0.00;2024-02-29
2024-03;3.69;2024-03-31
2024-04;4.55;2024-04-30
2024-05;3.69;2024-05-31
2024-06;0.00;2024-06-30
2024-07;5.53;2024-07-31
2024-08;5.53;2024-08-31
2024-09;11.43;2024-09-30
2024-10;0.00;2024-10-31
2024-11;0.00;2024-11-30
2024-12;2.55;2024-12-31
2025-01;0.00;2025-01-31
2025-02;0.00;2025-02-28
2025-03;2.55;2025-03-31
2025-04;2.85;2025-04-30
2025-05;5.11;2025-05-31
2025-06;7.04;2025-06-30
2025-07;1.96;2025-07-31
2025-08;2.27;2025-08-31
2025-09;0.00;2025-09-30
2025-10;3.40;2025-10-31
2025-11;5.10;2025-11-30
2025-12;0.00;2025-12-31
2026-01;10.43;2026-01-31
2026-02;0.00;2026-02-28
2026-03;0.00;2026-03-31
2026-04;2.64;2026-04-30
2026-05;7.39;2026-05-31
2026-06;23.72;2026-06-30
2026-07;0.00;2026-07-31
2026-08;0.00;2026-08-31
