Date;Total;Period End Date
2018-01;121.18;2018-01-31
2018-02;131.21;2018-02-28
2018-03;124.44;2018-03-31
2018-04;112.91;2018-04-30
2018-05;165.14;2018-05-31
2018-06;166.61;2018-06-30
2018-07;157.66;2018-07-31
2018-08;168.63;2018-08-31
2018-09;113.61;2018-09-30
2018-10;84.98;2018-10-31
2018-11;119.45;2018-11-30
2018-12;151.87;2018-12-31
2019-01;150.84;2019-01-31
2019-02;145.09;2019-02-28
2019-03;123.70;2019-03-31
2019-04;148.18;2019-04-30
2019-05;123.93;2019-05-31
2019-06;117.68;2019-06-30
2019-07;191.16;2019-07-31
2019-08;141.48;2019-08-31
2019-09;180.40;2019-09-30
2019-10;168.07;2019-10-31
2019-11;149.60;2019-11-30
2019-12;154.56;2019-12-31
2020-01;87.78;2020-01-31
2020-02;81.12;2020-02-29
2020-03;90.32;2020-03-31
2020-04;134.88;2020-04-30
2020-05;88.42;2020-05-31
2020-06;152.66;2020-06-30
2020-07;178.15;2020-07-31
2020-08;86.18;2020-08-31
2020-09;93.09;2020-09-30
2020-10;70.21;2020-10-31
2020-11;101.15;2020-11-30
2020-12;94.89;2020-12-31
2021-01;94.81;2021-01-31
2021-02;116.49;2021-02-28
2021-03;156.22;2021-03-31
2021-04;155.23;2021-04-30
2021-05;157.34;2021-05-31
2021-06;142.87;2021-06-30
2021-07;164.82;2021-07-31
2021-08;178.96;2021-08-31
2021-09;99.33;2021-09-30
2021-10;107.26;2021-10-31
2021-11;86.61;2021-11-30
2021-12;73.56;2021-12-31
2022-01;100.41;2022-01-31
2022-02;146.57;2022-02-28
2022-03;142.15;2022-03-31
2022-04;178.03;2022-04-30
2022-05;148.07;2022-05-31
2022-06;126.58;2022-06-30
2022-07;147.53;2022-07-31
2022-08;137.86;2022-08-31
2022-09;133.85;2022-09-30
2022-10;114.99;2022-10-31
2022-11;81.33;2022-11-30
2022-12;68.62;2022-12-31
2023-01;61.98;2023-01-31
2023-02;83.26;2023-02-28
2023-03;34.19;2023-03-31
2023-04;88.06;2023-04-30
2023-05;54.53;2023-05-31
2023-06;76.11;2023-06-30
2023-07;61.48;2023-07-31
2023-08;83.34;2023-08-31
2023-09;42.91;2023-09-30
2023-10;67.80;2023-10-31
2023-11;65.36;2023-11-30
2023-12;49.65;2023-12-31
2024-01;50.98;2024-01-31
2024-02;50.90;2024-02-29
2024-03;92.64;2024-03-31
2024-04;51.26;2024-04-30
2024-05;71.49;2024-05-31
2024-06;64.56;2024-06-30
2024-07;40.37;2024-07-31
2024-08;81.02;2024-08-31
2024-09;54.05;2024-09-30
2024-10;69.13;2024-10-31
2024-11;97.34;2024-11-30
2024-12;96.30;2024-12-31
2025-01;61.33;2025-01-31
2025-02;96.23;2025-02-28
2025-03;65.38;2025-03-31
2025-04;43.74;2025-04-30
2025-05;95.53;2025-05-31
2025-06;105.39;2025-06-30
2025-07;65.73;2025-07-31
2025-08;100.17;2025-08-31
2025-09;122.69;2025-09-30
2025-10;121.87;2025-10-31
2025-11;161.75;2025-11-30
2025-12;150.56;2025-12-31
2026-01;123.74;2026-01-31
2026-02;84.69;2026-02-28
2026-03;114.34;2026-03-31
2026-04;165.19;2026-04-30
2026-05;144.29;2026-05-31
2026-06;166.93;2026-06-30
2026-07;28.06;2026-07-31
2026-08;0.00;2026-08-31
