Date;Total;Period End Date
2018-01;116.19;2018-01-31
2018-02;60.46;2018-02-28
2018-03;41.74;2018-03-31
2018-04;31.55;2018-04-30
2018-05;32.60;2018-05-31
2018-06;47.91;2018-06-30
2018-07;86.62;2018-07-31
2018-08;57.29;2018-08-31
2018-09;51.59;2018-09-30
2018-10;35.86;2018-10-31
2018-11;84.43;2018-11-30
2018-12;116.36;2018-12-31
2019-01;122.64;2019-01-31
2019-02;100.26;2019-02-28
2019-03;143.61;2019-03-31
2019-04;96.99;2019-04-30
2019-05;42.63;2019-05-31
2019-06;93.07;2019-06-30
2019-07;76.16;2019-07-31
2019-08;139.72;2019-08-31
2019-09;64.99;2019-09-30
2019-10;51.32;2019-10-31
2019-11;68.73;2019-11-30
2019-12;85.49;2019-12-31
2020-01;89.25;2020-01-31
2020-02;49.30;2020-02-29
2020-03;91.89;2020-03-31
2020-04;126.22;2020-04-30
2020-05;76.44;2020-05-31
2020-06;21.18;2020-06-30
2020-07;29.75;2020-07-31
2020-08;79.99;2020-08-31
2020-09;58.20;2020-09-30
2020-10;39.80;2020-10-31
2020-11;39.09;2020-11-30
2020-12;45.60;2020-12-31
2021-01;61.96;2021-01-31
2021-02;74.16;2021-02-28
2021-03;77.38;2021-03-31
2021-04;25.58;2021-04-30
2021-05;41.09;2021-05-31
2021-06;48.38;2021-06-30
2021-07;43.84;2021-07-31
2021-08;25.61;2021-08-31
2021-09;27.19;2021-09-30
2021-10;38.51;2021-10-31
2021-11;41.20;2021-11-30
2021-12;50.38;2021-12-31
2022-01;39.16;2022-01-31
2022-02;28.32;2022-02-28
2022-03;51.57;2022-03-31
2022-04;41.80;2022-04-30
2022-05;56.23;2022-05-31
2022-06;33.38;2022-06-30
2022-07;45.48;2022-07-31
2022-08;36.92;2022-08-31
2022-09;51.07;2022-09-30
2022-10;23.80;2022-10-31
2022-11;105.61;2022-11-30
2022-12;143.45;2022-12-31
2023-01;113.40;2023-01-31
2023-02;56.69;2023-02-28
2023-03;53.35;2023-03-31
2023-04;78.15;2023-04-30
2023-05;81.12;2023-05-31
2023-06;97.65;2023-06-30
2023-07;83.04;2023-07-31
2023-08;81.45;2023-08-31
2023-09;79.89;2023-09-30
2023-10;116.38;2023-10-31
2023-11;77.47;2023-11-30
2023-12;131.83;2023-12-31
2024-01;106.78;2024-01-31
2024-02;117.81;2024-02-29
2024-03;89.96;2024-03-31
2024-04;87.54;2024-04-30
2024-05;113.37;2024-05-31
2024-06;97.47;2024-06-30
2024-07;111.05;2024-07-31
2024-08;123.81;2024-08-31
2024-09;76.96;2024-09-30
2024-10;104.50;2024-10-31
2024-11;131.73;2024-11-30
2024-12;137.91;2024-12-31
2025-01;132.22;2025-01-31
2025-02;103.97;2025-02-28
2025-03;131.98;2025-03-31
2025-04;33.07;2025-04-30
2025-05;42.99;2025-05-31
2025-06;49.52;2025-06-30
2025-07;76.89;2025-07-31
2025-08;46.36;2025-08-31
2025-09;39.27;2025-09-30
2025-10;80.38;2025-10-31
2025-11;84.17;2025-11-30
2025-12;147.53;2025-12-31
2026-01;127.45;2026-01-31
2026-02;150.57;2026-02-28
2026-03;114.46;2026-03-31
2026-04;81.51;2026-04-30
2026-05;69.60;2026-05-31
2026-06;72.99;2026-06-30
2026-07;41.91;2026-07-31
2026-08;0.00;2026-08-31
