period;quantity
2018-01;0.62
2018-02;0.69
2018-03;1.77
2018-04;21.86
2018-05;18.83
2018-06;5.28
2018-07;34.45
2018-08;12.17
2018-09;9.29
2018-10;13.56
2018-11;11.51
2018-12;4.69
2019-01;11.01
2019-02;7.73
2019-03;10.33
2019-04;6.29
2019-05;16.84
2019-06;17.35
2019-07;28.96
2019-08;0.00
2019-09;1.83
2019-10;17.13
2019-11;9.01
2019-12;1.76
2020-01;1.62
2020-02;7.43
2020-03;17.60
2020-04;2.96
2020-05;12.47
2020-06;13.97
2020-07;20.20
2020-08;6.79
2020-09;0.00
2020-10;22.13
2020-11;2.88
2020-12;11.97
2021-01;8.48
2021-02;25.86
2021-03;7.11
2021-04;11.46
2021-05;11.29
2021-06;12.96
2021-07;0.54
2021-08;25.45
2021-09;4.14
2021-10;18.47
2021-11;0.97
2021-12;1.38
2022-01;15.25
2022-02;1.57
2022-03;18.11
2022-04;2.04
2022-05;15.59
2022-06;2.98
2022-07;17.86
2022-08;23.79
2022-09;8.77
2022-10;13.87
2022-11;10.44
2022-12;1.23
2023-01;1.68
2023-02;11.03
2023-03;9.96
2023-04;1.24
2023-05;10.15
2023-06;15.83
2023-07;21.77
2023-08;2.50
2023-09;26.54
2023-10;1.11
2023-11;9.31
2023-12;1.26
2024-01;1.61
2024-02;6.50
2024-03;0.37
2024-04;1.24
2024-05;4.55
2024-06;8.60
2024-07;10.84
2024-08;12.26
2024-09;31.78
2024-10;3.15
2024-11;2.68
2024-12;2.81
2025-01;11.61
2025-02;6.29
2025-03;10.62
2025-04;11.77
2025-05;13.00
2025-06;1.87
2025-07;17.31
2025-08;2.49
2025-09;16.47
2025-10;9.61
2025-11;1.41
2025-12;1.27
2026-01;7.56
2026-02;3.05
2026-03;10.91
2026-04;1.40
2026-05;0.00
2026-06;8.38
2026-07;19.09
2026-08;0.00
