period;destinationTradingRegions;quantity
2018-01;East Coast Canada;10.51
2018-01;Eastern Asia;0.71
2018-01;Latin America;739.13
2018-01;MED Zone (MED Sea+Black Sea);63.85
2018-01;North West Europe Zone;60.80
2018-01;Other North Africa;22.16
2018-01;Southern Africa;8.03
2018-01;Unknown;7.09
2018-02;Eastern Asia;3.79
2018-02;Latin America;675.54
2018-02;MED Zone (MED Sea+Black Sea);30.74
2018-02;North West Europe Zone;53.99
2018-02;Unknown;16.60
2018-02;West Coast Canada;1.78
2018-03;East Coast Canada;8.43
2018-03;Eastern Asia;2.76
2018-03;Latin America;821.40
2018-03;MED Zone (MED Sea+Black Sea);35.60
2018-03;North West Europe Zone;60.35
2018-03;Other Middle East;1.56
2018-03;Other North Africa;14.13
2018-03;Southern Africa;6.74
2018-03;Unknown;11.22
2018-03;West Coast Canada;4.81
2018-04;East Coast Canada;63.61
2018-04;Eastern Asia;10.84
2018-04;Latin America;951.72
2018-04;MED Zone (MED Sea+Black Sea);93.27
2018-04;North West Europe Zone;101.03
2018-04;Other North Africa;8.07
2018-04;Other Southern Europe;7.87
2018-04;Unknown;14.02
2018-04;West Coast Canada;5.73
2018-04;Western Africa;46.63
2018-05;East Coast Canada;51.17
2018-05;Eastern Asia;7.37
2018-05;Latin America;910.36
2018-05;MED Zone (MED Sea+Black Sea);132.97
2018-05;North West Europe Zone;43.40
2018-05;Unknown;18.78
2018-05;Western Africa;10.15
2018-06;East Coast Canada;4.59
2018-06;Latin America;753.24
2018-06;MED Zone (MED Sea+Black Sea);155.59
2018-06;North West Europe Zone;268.12
2018-06;Oceania;16.41
2018-06;Other North Africa;20.63
2018-06;Unknown;13.36
2018-07;East Coast Canada;7.42
2018-07;Eastern Asia;18.16
2018-07;Latin America;801.56
2018-07;MED Zone (MED Sea+Black Sea);124.16
2018-07;North West Europe Zone;89.08
2018-07;Other North Africa;37.41
2018-07;Unknown;4.15
2018-07;Western Africa;9.31
2018-08;East Coast Canada;7.06
2018-08;Latin America;857.85
2018-08;MED Zone (MED Sea+Black Sea);112.18
2018-08;North West Europe Zone;86.42
2018-08;Other North Africa;45.62
2018-08;Unknown;9.91
2018-08;Western Africa;8.22
2018-09;Eastern Asia;10.67
2018-09;Latin America;854.97
2018-09;MED Zone (MED Sea+Black Sea);90.04
2018-09;North West Europe Zone;76.45
2018-09;Other North Africa;48.01
2018-09;Other Southern Europe;9.90
2018-09;Southern Africa;4.76
2018-09;Unknown;1.08
2018-10;East Coast Canada;9.15
2018-10;Latin America;962.36
2018-10;MED Zone (MED Sea+Black Sea);67.37
2018-10;North West Europe Zone;36.18
2018-10;Other North Africa;9.85
2018-10;Unknown;6.44
2018-11;East Coast Canada;25.26
2018-11;Latin America;845.67
2018-11;MED Zone (MED Sea+Black Sea);122.06
2018-11;North West Europe Zone;133.45
2018-11;Other North Africa;20.96
2018-11;Unknown;25.57
2018-11;Western Africa;43.03
2018-12;East Coast Canada;27.14
2018-12;Eastern Asia;4.93
2018-12;Latin America;860.12
2018-12;MED Zone (MED Sea+Black Sea);48.38
2018-12;North West Europe Zone;181.00
2018-12;Other North Africa;10.16
2018-12;Unknown;20.06
2018-12;West Coast Canada;0.98
2018-12;Western Africa;21.03
2019-01;East Coast Canada;7.19
2019-01;Eastern Asia;0.30
2019-01;Latin America;958.01
2019-01;MED Zone (MED Sea+Black Sea);62.48
2019-01;North West Europe Zone;67.96
2019-01;Unknown;8.80
2019-01;West Coast Canada;6.64
2019-01;Western Africa;9.15
2019-02;East Coast Canada;18.64
2019-02;Latin America;676.87
2019-02;MED Zone (MED Sea+Black Sea);80.53
2019-02;North West Europe Zone;59.66
2019-02;Unknown;8.47
2019-02;West Coast Canada;2.43
2019-03;Latin America;833.95
2019-03;MED Zone (MED Sea+Black Sea);39.74
2019-03;North West Europe Zone;117.11
2019-03;Other North Africa;10.50
2019-03;Unknown;17.63
2019-04;East Coast Canada;13.06
2019-04;Eastern Asia;0.30
2019-04;Latin America;914.55
2019-04;MED Zone (MED Sea+Black Sea);8.87
2019-04;North West Europe Zone;95.18
2019-04;Other North Africa;11.02
2019-04;Unknown;25.22
2019-05;East Coast Canada;8.85
2019-05;Latin America;715.68
2019-05;MED Zone (MED Sea+Black Sea);52.26
2019-05;North West Europe Zone;173.89
2019-05;Other North Africa;48.52
2019-05;Unknown;25.40
2019-05;Western Africa;31.76
2019-06;Latin America;890.60
2019-06;MED Zone (MED Sea+Black Sea);60.28
2019-06;North West Europe Zone;185.36
2019-06;Oceania;1.84
2019-06;Other North Africa;52.60
2019-06;Unknown;36.55
2019-06;Western Africa;9.95
2019-07;East Coast Canada;16.74
2019-07;Latin America;776.11
2019-07;MED Zone (MED Sea+Black Sea);110.92
2019-07;North West Europe Zone;95.04
2019-07;Other North Africa;19.28
2019-07;Unknown;20.73
2019-07;Western Africa;10.22
2019-08;Latin America;1015.04
2019-08;MED Zone (MED Sea+Black Sea);139.44
2019-08;North West Europe Zone;152.43
2019-08;Other North Africa;67.42
2019-08;Unknown;11.67
2019-09;East Coast Canada;10.61
2019-09;Latin America;1018.56
2019-09;MED Zone (MED Sea+Black Sea);9.95
2019-09;North West Europe Zone;55.52
2019-09;Other North Africa;21.37
2019-09;Unknown;17.92
2019-10;East Coast Canada;18.61
2019-10;Latin America;827.51
2019-10;MED Zone (MED Sea+Black Sea);16.97
2019-10;North West Europe Zone;22.21
2019-10;Other North Africa;0.02
2019-10;South-East Asia;10.87
2019-10;Unknown;13.20
2019-11;East Coast Canada;4.75
2019-11;Latin America;871.18
2019-11;MED Zone (MED Sea+Black Sea);32.57
2019-11;North West Europe Zone;43.62
2019-11;Other North Africa;10.94
2019-11;Unknown;7.51
2019-12;East Coast Canada;1.97
2019-12;Latin America;795.96
2019-12;MED Zone (MED Sea+Black Sea);66.72
2019-12;North West Europe Zone;52.47
2019-12;Other North Africa;10.37
2019-12;Unknown;9.75
2020-01;Latin America;824.16
2020-01;MED Zone (MED Sea+Black Sea);14.44
2020-01;North West Europe Zone;69.33
2020-01;Other North Africa;25.98
2020-01;South-East Asia;2.06
2020-01;Unknown;20.84
2020-01;Western Africa;14.31
2020-02;Latin America;777.87
2020-02;MED Zone (MED Sea+Black Sea);90.86
2020-02;North West Europe Zone;86.36
2020-02;Other North Africa;49.67
2020-02;Unknown;14.30
2020-02;Western Africa;37.38
2020-03;Eastern Asia;0.10
2020-03;Latin America;991.53
2020-03;North West Europe Zone;19.00
2020-03;Unknown;10.87
2020-04;East Coast Canada;0.03
2020-04;Eastern Asia;8.47
2020-04;Latin America;545.44
2020-04;MED Zone (MED Sea+Black Sea);29.89
2020-04;North West Europe Zone;68.28
2020-04;Oceania;6.15
2020-04;Unknown;32.02
2020-04;Western Africa;21.01
2020-05;East Coast Canada;1.56
2020-05;Eastern Asia;2.32
2020-05;Latin America;483.21
2020-05;MED Zone (MED Sea+Black Sea);53.63
2020-05;North West Europe Zone;44.95
2020-05;Oceania;15.62
2020-05;Unknown;5.16
2020-05;Western Africa;10.11
2020-06;East Coast Canada;10.65
2020-06;Eastern Asia;10.63
2020-06;Latin America;641.49
2020-06;MED Zone (MED Sea+Black Sea);138.79
2020-06;North West Europe Zone;48.80
2020-06;Oceania;21.18
2020-06;Other North Africa;50.82
2020-06;South-East Asia;3.37
2020-06;Unknown;12.75
