period;originCountries;quantity
2018-01;Belgium;14.84
2018-01;Brazil;27.81
2018-01;Canada;84.98
2018-01;Colombia;1.05
2018-01;Netherlands;17.81
2018-01;Qatar;28.84
2018-01;Russian Federation;8.40
2018-01;Saudi Arabia;8.07
2018-01;Togo;2.10
2018-01;United Arab Emirates;21.88
2018-02;Brazil;5.11
2018-02;Canada;61.83
2018-02;Colombia;21.70
2018-02;India;58.41
2018-02;Oman;5.26
2018-02;Qatar;21.57
2018-02;Russian Federation;11.55
2018-02;Saudi Arabia;43.05
2018-02;Sweden;5.95
2018-03;Canada;107.22
2018-03;Colombia;6.20
2018-03;India;15.61
2018-03;Nicaragua;4.89
2018-03;Portugal;1.91
2018-03;Qatar;19.59
2018-04;Brazil;11.53
2018-04;Canada;74.17
2018-04;Japan;10.64
2018-04;Malaysia;8.08
2018-04;Qatar;3.06
2018-04;Russian Federation;7.25
2018-05;Canada;79.49
2018-05;China;2.82
2018-05;Italy;0.82
2018-05;Malaysia;0.94
2018-05;Russian Federation;22.00
2018-05;Singapore Republic;6.54
2018-05;South Korea;6.90
2018-06;Belgium;2.38
2018-06;Canada;57.64
2018-06;Indonesia;7.09
2018-06;Japan;1.66
2018-06;South Korea;2.60
2018-06;Taiwan;1.02
2018-07;Canada;93.47
2018-07;China;6.27
2018-07;Oman;12.45
2018-07;Panama;1.07
2018-07;Qatar;12.45
2018-07;Russian Federation;0.33
2018-07;South Korea;6.47
2018-07;Spain;10.97
2018-08;Canada;64.63
2018-08;China;5.25
2018-08;Colombia;9.57
2018-08;Japan;1.60
2018-08;Latvia;9.21
2018-08;Russian Federation;48.80
2018-08;Saudi Arabia;23.97
2018-08;Spain;10.91
2018-09;Belgium;14.77
2018-09;Canada;67.04
2018-09;Colombia;10.85
2018-09;India;8.35
2018-09;Netherlands;1.00
2018-09;Russian Federation;17.80
2018-09;Saudi Arabia;19.16
2018-09;South Korea;2.90
2018-10;Bahamas;16.23
2018-10;Canada;55.02
2018-10;Colombia;7.14
2018-10;Peru;6.61
2018-10;Saudi Arabia;46.84
2018-10;Spain;8.10
2018-10;United Arab Emirates;11.46
2018-10;United States Virgin Islands;10.72
2018-11;Bahamas;21.45
2018-11;Brazil;12.18
2018-11;Canada;68.12
2018-11;China;17.00
2018-11;Colombia;31.50
2018-11;Guatemala;2.66
2018-11;Japan;5.40
2018-11;Qatar;2.37
2018-11;South Korea;14.92
2018-11;United Arab Emirates;1.48
2018-12;Canada;48.29
2018-12;Colombia;45.86
2018-12;India;4.97
2018-12;Japan;14.25
2018-12;Malaysia;2.58
2018-12;Saudi Arabia;23.71
2018-12;United Arab Emirates;4.13
2019-01;Bahamas;16.52
2019-01;Canada;69.81
2019-01;Colombia;20.66
2019-01;Guatemala;4.22
2019-01;India;86.50
2019-01;Japan;2.83
2019-01;Netherlands;0.96
2019-01;Nigeria;4.26
2019-01;Qatar;21.67
2019-01;Saudi Arabia;24.95
2019-01;South Korea;4.65
2019-01;Togo;10.24
2019-01;Ukraine;7.02
2019-02;Canada;83.54
2019-02;China;9.96
2019-02;Colombia;31.47
2019-02;Guatemala;5.71
