period;destinationTradingRegions;quantity
2018-01-19;MED Zone (MED Sea+Black Sea);14.17
2018-02-02;North West Europe Zone;19.01
2018-02-02;Unknown;6.88
2018-02-23;North West Europe Zone;49.35
2018-03-09;MED Zone (MED Sea+Black Sea);39.87
2018-03-16;Latin America;42.36
2018-03-23;Latin America;22.56
2018-03-23;North West Europe Zone;45.53
2018-03-30;East Coast Canada;37.33
2018-04-06;Latin America;2.64
2018-04-06;MED Zone (MED Sea+Black Sea);10.66
2018-04-13;East Coast Canada;59.02
2018-04-13;Latin America;146.75
2018-04-13;Other Southern Europe;33.75
2018-04-20;East Coast Canada;40.18
2018-04-20;Latin America;7.19
2018-04-20;MED Zone (MED Sea+Black Sea);37.39
2018-04-20;North West Europe Zone;44.97
2018-04-27;MED Zone (MED Sea+Black Sea);35.63
2018-04-27;North West Europe Zone;82.74
2018-05-04;East Coast Canada;73.97
2018-05-11;East Coast Canada;15.06
2018-05-18;East Coast Canada;42.84
2018-05-18;North West Europe Zone;40.20
2018-05-25;East Coast Canada;30.08
2018-06-01;East Coast Canada;35.25
2018-06-01;MED Zone (MED Sea+Black Sea);13.50
2018-06-01;North West Europe Zone;59.98
2018-06-08;East Coast Canada;15.10
2018-06-08;North West Europe Zone;54.19
2018-06-22;North West Europe Zone;24.54
2018-06-29;North West Europe Zone;24.54
2018-07-06;MED Zone (MED Sea+Black Sea);44.92
2018-08-10;North West Europe Zone;47.35
2018-08-31;Western Africa;36.38
2018-09-14;North West Europe Zone;17.06
2018-09-21;Latin America;27.86
2018-09-21;North West Europe Zone;24.66
2018-09-28;North West Europe Zone;47.41
2018-10-19;Latin America;9.13
2018-10-26;East Coast Canada;21.91
2018-11-02;East Coast Canada;10.79
2018-11-16;East Coast Canada;37.47
2018-11-16;Latin America;5.33
2018-11-16;North West Europe Zone;69.92
2018-11-23;Unknown;28.60
2018-12-14;East Coast Canada;12.49
2019-02-01;Unknown;18.31
2019-02-08;Unknown;5.17
