period;originCountries;quantity
2018-01-05;Belgium;16.76
2018-01-05;Canada;75.25
2018-01-12;Brazil;49.11
2018-01-12;Canada;43.42
2018-01-12;Russian Federation;37.21
2018-01-19;Brazil;22.95
2018-01-19;Canada;104.24
2018-01-26;Belgium;24.67
2018-01-26;Brazil;24.30
2018-01-26;Canada;43.27
2018-01-26;Netherlands;72.27
2018-01-26;Qatar;107.75
2018-01-26;United Arab Emirates;96.89
2018-02-02;Belgium;33.82
2018-02-02;Brazil;26.80
2018-02-02;Canada;100.18
2018-02-02;Colombia;46.45
2018-02-02;Saudi Arabia;35.75
2018-02-09;Brazil;20.44
2018-02-09;Canada;53.00
2018-02-09;India;96.08
2018-02-09;Saudi Arabia;144.01
2018-02-16;Canada;80.61
2018-02-16;Colombia;18.91
2018-02-16;India;96.81
2018-02-16;Russian Federation;46.20
2018-02-16;Saudi Arabia;28.20
2018-02-23;Canada;84.73
2018-02-23;India;40.77
2018-03-02;Canada;26.19
2018-03-02;Oman;21.03
2018-03-02;Qatar;86.30
2018-03-09;Canada;113.17
2018-03-09;India;69.13
2018-03-09;Portugal;8.46
2018-03-16;Canada;98.79
2018-03-23;Canada;98.85
2018-03-30;Canada;42.31
2018-04-06;Brazil;49.42
2018-04-06;Canada;52.43
2018-04-13;Canada;63.55
2018-04-20;Canada;68.34
2018-04-27;Canada;0.48
2018-05-04;Canada;51.09
2018-05-11;Canada;28.29
2018-05-18;Canada;21.57
2018-05-25;Canada;48.82
2018-05-25;Italy;3.62
2018-06-01;Canada;58.71
2018-06-01;Russian Federation;70.93
2018-06-08;Canada;72.65
2018-06-15;Canada;47.29
2018-06-22;Canada;28.52
2018-06-29;Canada;33.86
2018-07-06;Canada;8.29
2018-07-06;Canada;80.26
2018-07-13;Canada;70.84
2018-07-20;Canada;72.28
2018-07-20;Oman;55.14
2018-07-20;Qatar;55.14
2018-07-27;Canada;17.86
2018-08-03;Canada;82.35
2018-08-03;Colombia;42.40
2018-08-03;Russian Federation;31.36
2018-08-10;Canada;76.43
2018-08-10;Russian Federation;9.96
2018-08-17;Canada;37.65
2018-08-17;Latvia;8.57
2018-08-24;Canada;99.26
2018-08-24;Latvia;32.22
2018-08-24;Saudi Arabia;106.17
2018-08-24;Spain;48.30
2018-08-31;Canada;42.93
2018-08-31;Russian Federation;146.83
2018-09-07;Canada;22.43
2018-09-07;Russian Federation;4.69
2018-09-14;Canada;68.76
2018-09-14;Russian Federation;35.67
2018-09-21;Canada;37.96
2018-09-21;Russian Federation;35.93
2018-09-28;Canada;71.32
2018-09-28;Colombia;46.50
2018-10-05;Canada;17.48
2018-10-05;Saudi Arabia;82.10
2018-10-05;United Arab Emirates;50.76
2018-10-12;Canada;44.83
2018-10-19;Canada;42.00
2018-10-19;Saudi Arabia;106.17
2018-10-26;Bahamas;71.89
2018-10-26;Canada;45.70
2018-11-02;Canada;3.71
2018-11-02;Saudi Arabia;101.28
2018-11-09;Bahamas;83.16
2018-11-09;Canada;37.86
2018-11-09;Colombia;49.35
2018-11-16;Bahamas;8.75
2018-11-16;Canada;58.44
2018-11-23;Canada;25.71
2018-11-23;South Korea;63.96
2018-11-30;Canada;32.48
2018-11-30;China;72.87
2018-11-30;Colombia;44.97
2018-11-30;Japan;23.14
2018-11-30;Qatar;10.16
2018-12-07;Canada;52.87
2018-12-14;Canada;41.29
2018-12-14;India;22.00
2018-12-14;Japan;18.24
2018-12-21;Canada;6.93
2018-12-21;Japan;24.11
2018-12-21;Saudi Arabia;104.99
2018-12-28;Canada;115.61
2018-12-28;Colombia;24.78
2019-01-04;Canada;57.09
2019-01-04;Colombia;45.04
2019-01-11;Bahamas;73.15
2019-01-11;Canada;73.42
2019-01-11;Colombia;50.49
2019-01-11;India;109.95
2019-01-11;Togo;45.35
2019-01-18;Canada;62.59
2019-01-18;India;113.85
2019-01-18;Qatar;28.81
2019-01-18;Ukraine;31.09
2019-01-25;Canada;66.12
2019-01-25;India;52.03
2019-01-25;Netherlands;4.24
2019-01-25;Saudi Arabia;110.48
2019-02-01;Canada;42.86
2019-02-01;India;107.23
2019-02-01;Nigeria;18.87
2019-02-08;Canada;59.66
2019-02-08;India;285.71
2019-02-08;Russian Federation;46.08
2019-02-08;United Arab Emirates;44.29
2019-02-15;Canada;110.94
2019-02-15;India;215.39
2019-02-22;Canada;67.89
2019-02-22;Qatar;29.36
2019-02-22;Saudi Arabia;85.97
2019-03-01;Canada;59.14
2019-03-01;China;39.84
2019-03-01;Colombia;26.51
2019-03-01;Guatemala;22.83
2019-03-01;India;85.71
2019-03-08;Bahamas;41.76
2019-03-08;Canada;100.35
2019-03-15;Canada;42.98
2019-03-22;Canada;143.90
2019-03-22;South Korea;44.96
2019-03-29;Canada;83.07
2019-03-29;South Korea;12.04
2019-04-05;Canada;51.94
2019-04-12;Belgium;10.96
2019-04-12;Canada;43.72
2019-04-12;Netherlands;15.88
2019-04-19;Belgium;33.14
2019-04-19;Canada;71.87
2019-04-26;Belgium;5.61
2019-04-26;Canada;109.26
2019-05-03;Canada;60.61
2019-05-03;Colombia;3.55
2019-05-10;Canada;17.86
2019-05-10;Egypt;5.89
2019-05-17;Canada;76.45
2019-05-24;Brazil;9.42
2019-05-24;Canada;67.80
2019-05-24;Netherlands;44.32
2019-05-31;Brazil;17.77
2019-05-31;Canada;17.57
2019-06-07;Canada;55.25
2019-06-14;Canada;65.96
2019-06-21;Canada;25.57
2019-06-28;Canada;71.81
2019-06-28;Netherlands;14.24
2019-07-05;Canada;4.76
2019-07-05;Israel;3.05
2019-07-12;Canada;64.68
2019-07-12;Spain;24.84
