period;originCountries;quantity
2018-01-05;Netherlands;12.56
2018-01-26;Togo;9.28
2018-02-09;Colombia;21.43
2018-03-23;Canada;47.34
2018-03-30;Canada;45.75
2018-04-06;Canada;37.57
2018-04-06;Russian Federation;31.06
2018-04-13;Canada;23.44
2018-04-20;Canada;23.44
2018-04-27;Canada;33.57
2018-05-11;Canada;37.52
2018-05-25;Canada;75.65
2018-06-01;Canada;45.56
2018-06-15;Indonesia;30.37
2018-06-22;Belgium;10.20
2018-06-22;Canada;23.57
2018-06-29;Canada;13.57
2018-07-13;Canada;40.18
2018-07-27;Canada;27.86
2018-08-03;Canada;9.29
2018-08-17;Russian Federation;29.43
2018-09-21;Canada;13.14
2018-09-28;Canada;29.31
2018-09-28;India;35.78
2018-10-05;Colombia;23.71
2018-10-12;Canada;49.34
2018-10-12;Colombia;7.90
2018-10-19;Canada;17.86
2018-10-26;Canada;12.73
2018-11-09;Canada;38.66
2018-11-23;Canada;34.32
2018-11-23;Colombia;40.67
2018-12-07;Colombia;40.03
2018-12-21;Colombia;46.71
2018-12-28;Colombia;46.53
2019-01-11;Qatar;49.86
2019-01-25;Qatar;17.29
2019-02-01;Colombia;41.00
2019-02-08;Colombia;40.68
2019-02-08;Nigeria;30.49
2019-02-08;Spain;7.58
2019-02-15;Colombia;18.37
2019-02-22;Colombia;40.31
2019-03-01;Canada;34.51
2019-03-08;Canada;14.29
2019-03-15;Canada;18.57
2019-03-15;South Korea;28.67
2019-03-22;Canada;16.91
2019-03-29;Canada;15.68
2019-04-05;Colombia;50.76
2019-04-19;Canada;37.28
2019-04-19;Colombia;81.63
2019-05-03;Colombia;14.32
2019-05-24;Colombia;46.81
2019-05-31;Colombia;27.85
2019-06-07;Colombia;46.63
2019-06-14;Colombia;39.73
2019-06-28;Colombia;27.47
2019-07-05;Colombia;18.61
2019-07-05;Israel;1.65
2019-07-12;Kuwait;29.08
2019-07-19;Colombia;37.75
2019-07-26;Colombia;49.35
2019-08-02;Canada;17.86
2019-08-02;Colombia;17.91
2019-08-16;Canada;37.88
2019-08-16;Colombia;32.60
2019-08-16;Panama;13.04
2019-08-30;Canada;21.43
2019-08-30;Colombia;21.31
2019-08-30;South Korea;16.47
2019-09-13;Colombia;53.80
2019-10-04;Canada;40.00
2019-10-11;Canada;23.86
2019-10-11;Colombia;41.44
2019-10-25;Canada;7.09
2019-11-01;Colombia;78.29
2019-11-08;Colombia;12.24
2019-12-06;Canada;21.43
2019-12-06;Colombia;41.52
2019-12-27;Canada;37.66
2020-01-10;Colombia;42.67
2020-01-17;Canada;27.14
2020-01-31;Canada;14.29
2020-01-31;Colombia;23.07
2020-02-07;Colombia;14.51
2020-02-14;Colombia;7.13
2020-02-21;Canada;39.94
2020-02-21;Colombia;45.74
2020-03-06;Colombia;31.46
2020-03-13;Canada;14.29
2020-03-27;Canada;28.50
2020-03-27;Saudi Arabia;14.47
2020-04-03;Canada;8.78
2020-04-03;United Kingdom;4.16
2020-04-10;Canada;69.20
2020-05-08;Colombia;36.86
2020-06-05;Colombia;28.31
2020-06-12;Colombia;11.71
2020-06-26;Colombia;41.43
2020-07-03;Bahamas;35.43
2020-07-10;Colombia;25.71
2020-07-24;India;39.36
2020-09-18;Colombia;32.21
2020-10-02;Bahamas;44.40
2020-10-09;Canada;9.03
2020-10-16;Canada;12.40
2020-10-16;Colombia;28.73
2020-11-27;Bahamas;49.35
2020-11-27;Netherlands;20.68
2020-12-04;Canada;20.00
2020-12-04;Colombia;18.03
2020-12-04;Netherlands;6.46
2020-12-11;Canada;26.43
2020-12-11;Colombia;11.11
2020-12-18;Colombia;35.03
2020-12-25;India;40.01
2020-12-25;Netherlands;13.57
2021-01-01;Netherlands;10.00
2021-01-08;Bahamas;42.86
2021-01-08;Colombia;22.86
2021-01-15;Colombia;14.52
2021-01-22;Belgium;43.45
2021-01-29;Colombia;32.29
2021-02-05;Colombia;8.86
2021-02-12;Bahamas;49.97
2021-02-26;Canada;15.00
2021-02-26;Colombia;22.86
2021-03-05;Canada;19.91
2021-03-05;Colombia;19.84
2021-03-12;Saudi Arabia;49.84
2021-03-19;Belgium;67.35
2021-03-19;Netherlands;42.74
2021-03-19;Russian Federation;42.14
2021-03-19;United States Virgin Islands;10.81
2021-03-26;Belgium;27.49
2021-03-26;Netherlands;49.19
2021-04-09;India;29.39
2021-04-16;Canada;14.29
2021-04-16;United States Virgin Islands;5.59
2021-05-07;Bahamas;40.31
2021-05-07;Colombia;43.97
2021-05-14;Portugal;37.03
2021-05-28;Netherlands;29.21
2021-06-04;Colombia;35.68
2021-06-04;Saudi Arabia;13.03
2021-06-11;Colombia;7.10
2021-06-25;Colombia;19.23
2021-07-02;Canada;39.57
2021-07-23;Netherlands;45.57
2021-07-30;Colombia;42.83
2021-08-06;Colombia;41.52
2021-08-13;Canada;35.68
2021-08-20;Colombia;27.68
2021-08-20;Netherlands;26.43
2021-08-27;Netherlands;14.85
2021-09-10;Nigeria;44.24
2021-09-17;Canada;25.00
2021-09-24;Belgium;42.67
2021-09-24;Canada;11.92
2021-09-24;Netherlands;18.57
2021-10-01;Colombia;20.09
2021-10-01;Netherlands;14.29
2021-10-08;Colombia;29.78
2021-10-08;Saudi Arabia;30.57
2021-10-15;United States Virgin Islands;7.08
2021-10-22;Latvia;49.68
2021-10-29;Qatar;44.52
2021-11-12;Colombia;22.15
2021-11-12;Netherlands;20.43
2021-11-12;Spain;18.09
2021-11-19;Canada;35.03
2021-11-19;Oman;2.86
2021-11-19;Qatar;41.29
2021-11-26;Colombia;41.08
2021-11-26;Malaysia;22.77
2021-11-26;Netherlands;17.86
2021-11-26;Nigeria;18.22
2021-11-26;Singapore Republic;22.56
2021-12-03;Nigeria;28.72
2021-12-03;Qatar;18.57
2021-12-10;Canada;21.43
2021-12-10;Colombia;40.72
2021-12-10;Qatar;26.14
2021-12-10;South Korea;41.70
2021-12-17;Canada;17.31
2021-12-17;Saudi Arabia;53.57
2021-12-24;Canada;37.14
2021-12-31;Canada;38.13
2022-01-14;Canada;27.86
2022-01-21;Bahamas;1.02
2022-01-21;Canada;10.29
2022-02-18;Belgium;15.78
2022-02-25;Qatar;33.86
2022-03-04;Qatar;12.86
2022-03-18;Canada;18.57
2022-04-15;Canada;30.27
2022-04-22;Canada;32.96
2022-05-27;Portugal;15.14
2022-06-03;Portugal;21.44
2022-06-03;Saudi Arabia;28.58
2022-06-24;Canada;34.29
2022-07-08;Canada;9.90
2022-07-22;Colombia;40.86
2022-08-12;Colombia;17.16
2022-08-19;Canada;11.01
2022-08-19;Colombia;27.18
2022-08-26;Canada;71.81
2022-09-23;Canada;21.43
2022-09-30;Canada;11.98
2022-11-25;Russian Federation;8.27
2022-12-02;Netherlands;7.86
2022-12-09;India;42.71
2023-01-06;Canada;12.61
2023-02-03;Netherlands;44.38
2023-02-17;Colombia;45.70
2023-03-10;Canada;24.29
2023-03-17;Canada;11.43
2023-04-07;Canada;8.43
2023-04-14;Canada;23.55
2023-04-21;Canada;23.90
2023-05-12;Canada;41.40
2023-05-26;Canada;38.63
2023-06-23;Canada;21.23
2023-09-01;Colombia;14.29
2023-09-08;Colombia;58.44
2023-09-22;Colombia;28.01
2023-11-10;Canada;24.29
2023-11-17;Canada;19.29
2023-11-24;Canada;18.58
2024-01-05;Colombia;35.14
2024-01-12;Colombia;22.13
2024-02-02;Mexico;34.14
2024-05-31;Canada;20.29
2024-06-07;Canada;16.35
2024-08-09;Canada;20.00
2024-08-16;Canada;15.71
2025-03-21;Canada;45.03
2025-04-11;Mexico;6.29
2025-05-02;Mexico;22.14
2025-05-09;Mexico;20.71
2025-05-16;Canada;11.80
2025-06-13;Colombia;28.14
2025-12-05;Mexico;41.14
2025-12-12;Mexico;42.86
2025-12-26;Mexico;18.40
2026-01-02;Mexico;24.04
2026-01-16;Canada;36.54
2026-01-16;Colombia;40.56
2026-01-23;Canada;5.82
2026-02-13;Canada;22.29
2026-02-20;Canada;18.69
2026-03-20;Mexico;14.09
2026-03-27;Canada;1.52
2026-04-10;Mexico;15.17
2026-04-17;United States Virgin Islands;36.37
2026-05-01;Canada;45.26
