period;quantity
2018-01-05;16.33
2018-01-12;71.65
2018-01-19;0.00
2018-01-26;0.00
2018-02-02;0.00
2018-02-09;0.00
2018-02-16;0.00
2018-02-23;0.00
2018-03-02;9.22
2018-03-09;0.00
2018-03-16;0.00
2018-03-23;0.00
2018-03-30;0.00
2018-04-06;0.00
2018-04-13;0.00
2018-04-20;0.00
2018-04-27;0.00
2018-05-04;0.00
2018-05-11;0.00
2018-05-18;0.00
2018-05-25;0.00
2018-06-01;0.00
2018-06-08;0.00
2018-06-15;0.00
2018-06-22;0.00
2018-06-29;0.00
2018-07-06;0.00
2018-07-13;0.00
2018-07-20;0.00
2018-07-27;0.00
2018-08-03;0.00
2018-08-10;0.00
2018-08-17;9.16
2018-08-24;0.00
2018-08-31;3.10
2018-09-07;24.50
2018-09-14;0.00
2018-09-21;0.00
2018-09-28;0.00
2018-10-05;0.00
2018-10-12;0.00
2018-10-19;0.00
2018-10-26;0.00
2018-11-02;0.00
2018-11-09;0.00
2018-11-16;0.00
2018-11-23;0.00
2018-11-30;0.00
2018-12-07;0.00
2018-12-14;0.00
2018-12-21;10.84
2018-12-28;0.00
2019-01-04;0.00
2019-01-11;0.00
2019-01-18;0.00
2019-01-25;0.00
2019-02-01;0.00
2019-02-08;0.00
2019-02-15;5.42
2019-02-22;0.00
2019-03-01;0.00
2019-03-08;0.00
2019-03-15;9.16
2019-03-22;0.00
2019-03-29;0.00
2019-04-05;0.00
2019-04-12;0.00
2019-04-19;0.00
2019-04-26;0.00
2019-05-03;1.71
2019-05-10;0.00
2019-05-17;0.00
2019-05-24;0.00
2019-05-31;0.00
2019-06-07;0.00
2019-06-14;0.00
2019-06-21;10.34
2019-06-28;0.00
2019-07-05;0.00
2019-07-12;0.00
2019-07-19;0.00
2019-07-26;0.00
2019-08-02;0.00
2019-08-09;0.00
2019-08-16;0.00
2019-08-23;0.00
2019-08-30;0.00
2019-09-06;0.00
2019-09-13;0.00
2019-09-20;0.00
2019-09-27;6.34
2019-10-04;0.00
2019-10-11;0.00
2019-10-18;0.00
2019-10-25;0.00
2019-11-01;0.00
2019-11-08;0.00
2019-11-15;0.00
2019-11-22;0.00
2019-11-29;0.00
2019-12-06;0.00
2019-12-13;0.00
2019-12-20;0.00
2019-12-27;5.58
2020-01-03;0.00
2020-01-10;0.00
2020-01-17;0.00
2020-01-24;0.00
2020-01-31;0.00
2020-02-07;0.00
2020-02-14;0.00
2020-02-21;0.00
2020-02-28;19.10
2020-03-06;0.00
2020-03-13;0.00
2020-03-20;0.00
2020-03-27;19.27
2020-04-03;0.00
2020-04-10;0.00
2020-04-17;0.00
2020-04-24;12.95
2020-05-01;31.98
2020-05-08;0.00
2020-05-15;13.01
2020-05-22;16.38
2020-05-29;49.18
2020-06-05;0.00
2020-06-12;0.00
2020-06-19;0.00
2020-06-26;0.00
2020-07-03;0.00
2020-07-10;0.00
2020-07-17;0.00
2020-07-24;0.00
2020-07-31;0.00
2020-08-07;19.83
2020-08-14;0.00
2020-08-21;0.00
2020-08-28;0.00
2020-09-04;0.00
2020-09-11;16.91
2020-09-18;0.00
2020-09-25;0.00
2020-10-02;14.80
2020-10-09;0.00
2020-10-16;10.57
2020-10-23;0.00
2020-10-30;0.00
2020-11-06;0.00
2020-11-13;0.00
2020-11-20;15.50
2020-11-27;0.00
2020-12-04;0.00
2020-12-11;12.18
2020-12-18;0.00
2020-12-25;0.00
2021-01-01;0.00
2021-01-08;16.91
2021-01-15;0.00
2021-01-22;0.00
2021-01-29;7.52
2021-02-05;0.00
2021-02-12;0.00
2021-02-19;0.00
2021-02-26;0.00
2021-03-05;0.00
2021-03-12;0.00
2021-03-19;0.00
2021-03-26;0.00
2021-04-02;0.00
2021-04-09;0.00
2021-04-16;0.00
2021-04-23;0.00
2021-04-30;16.91
2021-05-07;0.00
2021-05-14;45.53
2021-05-21;4.16
2021-05-28;0.00
2021-06-04;0.00
2021-06-11;0.00
2021-06-18;0.00
2021-06-25;0.00
2021-07-02;0.00
2021-07-09;0.00
2021-07-16;0.00
2021-07-23;0.00
2021-07-30;0.00
2021-08-06;0.00
2021-08-13;0.00
2021-08-20;0.00
2021-08-27;16.91
2021-09-03;0.00
2021-09-10;0.00
2021-09-17;0.00
2021-09-24;24.50
2021-10-01;0.00
2021-10-08;0.00
2021-10-15;0.00
2021-10-22;24.50
2021-10-29;0.00
2021-11-05;0.00
2021-11-12;0.00
2021-11-19;13.52
2021-11-26;0.00
2021-12-03;0.00
2021-12-10;0.00
2021-12-17;0.00
2021-12-24;0.00
2021-12-31;0.00
2022-01-07;0.00
2022-01-14;20.66
2022-01-21;0.00
2022-01-28;0.00
2022-02-04;0.00
2022-02-11;0.00
2022-02-18;11.27
2022-02-25;0.00
2022-03-04;0.00
2022-03-11;0.00
2022-03-18;0.00
2022-03-25;0.00
2022-04-01;0.00
2022-04-08;0.00
2022-04-15;0.00
2022-04-22;0.00
2022-04-29;0.00
2022-05-06;0.00
2022-05-13;0.00
2022-05-20;0.00
2022-05-27;0.00
2022-06-03;0.00
2022-06-10;0.00
2022-06-17;0.00
2022-06-24;0.00
2022-07-01;0.00
2022-07-08;0.00
2022-07-15;0.00
2022-07-22;24.50
2022-07-29;0.00
2022-08-05;0.00
2022-08-12;0.00
2022-08-19;0.00
2022-08-26;0.00
2022-09-02;0.00
2022-09-09;0.00
2022-09-16;49.00
2022-09-23;0.00
2022-09-30;0.00
2022-10-07;0.00
2022-10-14;5.94
2022-10-21;0.00
2022-10-28;0.00
2022-11-04;0.00
2022-11-11;0.00
2022-11-18;32.22
2022-11-25;0.00
2022-12-02;0.00
2022-12-09;0.00
2022-12-16;0.00
2022-12-23;0.00
2022-12-30;0.00
2023-01-06;0.00
2023-01-13;24.50
2023-01-20;0.00
2023-01-27;0.00
2023-02-03;0.00
2023-02-10;0.00
2023-02-17;0.00
2023-02-24;0.00
2023-03-03;0.00
2023-03-10;0.00
2023-03-17;0.00
2023-03-24;0.00
2023-03-31;0.00
2023-04-07;24.50
2023-04-14;0.00
2023-04-21;0.00
2023-04-28;0.00
2023-05-05;24.50
2023-05-12;0.00
2023-05-19;0.00
2023-05-26;14.09
2023-06-02;0.00
2023-06-09;0.00
2023-06-16;0.00
2023-06-23;24.50
2023-06-30;0.00
2023-07-07;0.00
2023-07-14;0.00
2023-07-21;0.00
2023-07-28;0.00
2023-08-04;0.00
2023-08-11;0.00
2023-08-18;0.00
2023-08-25;14.63
2023-09-01;0.00
2023-09-08;0.00
2023-09-15;0.00
2023-09-22;13.44
2023-09-29;0.00
2023-10-06;0.00
2023-10-13;0.00
2023-10-20;0.00
2023-10-27;0.00
2023-11-03;0.00
2023-11-10;0.00
2023-11-17;0.00
2023-11-24;0.00
2023-12-01;0.00
2023-12-08;0.00
2023-12-15;0.00
2023-12-22;20.66
2023-12-29;0.00
2024-01-05;0.00
2024-01-12;0.00
2024-01-19;9.87
2024-01-26;0.00
2024-02-02;0.00
2024-02-09;0.00
2024-02-16;0.00
2024-02-23;0.00
2024-03-01;0.00
2024-03-08;0.00
2024-03-15;16.33
2024-03-22;0.00
2024-03-29;0.00
2024-04-05;0.00
2024-04-12;12.25
2024-04-19;0.00
2024-04-26;0.00
2024-05-03;7.25
2024-05-10;16.33
2024-05-17;0.00
2024-05-24;0.00
2024-05-31;0.00
2024-06-07;0.00
2024-06-14;0.00
2024-06-21;0.00
2024-06-28;0.00
2024-07-05;0.00
2024-07-12;24.50
2024-07-19;0.00
2024-07-26;0.00
2024-08-02;24.50
2024-08-09;0.00
2024-08-16;0.00
2024-08-23;0.00
2024-08-30;0.00
2024-09-06;0.00
2024-09-13;0.00
2024-09-20;0.00
2024-09-27;49.00
2024-10-04;0.00
2024-10-11;0.00
2024-10-18;0.00
2024-10-25;0.00
2024-11-01;0.00
2024-11-08;0.00
2024-11-15;0.00
2024-11-22;0.00
2024-11-29;0.00
2024-12-06;0.00
2024-12-13;0.00
2024-12-20;0.00
2024-12-27;0.00
2025-01-03;11.31
2025-01-10;0.00
2025-01-17;0.00
2025-01-24;0.00
2025-01-31;0.00
2025-02-07;0.00
2025-02-14;0.00
2025-02-21;0.00
2025-02-28;0.00
2025-03-07;0.00
2025-03-14;0.00
2025-03-21;0.00
2025-03-28;11.31
2025-04-04;0.00
2025-04-11;0.00
2025-04-18;12.21
2025-04-25;0.00
2025-05-02;0.00
2025-05-09;0.00
2025-05-16;22.62
2025-05-23;0.00
2025-05-30;0.00
2025-06-06;15.08
2025-06-13;0.00
2025-06-20;0.00
2025-06-27;0.00
2025-07-04;15.08
2025-07-11;0.00
2025-07-18;0.00
2025-07-25;8.67
2025-08-01;0.00
2025-08-08;0.00
2025-08-15;10.05
2025-08-22;0.00
2025-08-29;0.00
2025-09-05;0.00
2025-09-12;0.00
2025-09-19;0.00
2025-09-26;0.00
2025-10-03;0.00
2025-10-10;15.08
2025-10-17;0.00
2025-10-24;0.00
2025-10-31;0.00
2025-11-07;6.77
2025-11-14;0.00
2025-11-21;0.00
2025-11-28;15.08
2025-12-05;0.00
2025-12-12;0.00
2025-12-19;0.00
2025-12-26;0.00
2026-01-02;0.00
2026-01-09;0.00
2026-01-16;0.00
2026-01-23;0.00
2026-01-30;0.00
2026-02-06;46.19
2026-02-13;0.00
2026-02-20;0.00
2026-02-27;0.00
2026-03-06;0.00
2026-03-13;0.00
2026-03-20;0.00
2026-03-27;0.00
2026-04-03;0.00
2026-04-10;0.00
2026-04-17;0.00
2026-04-24;11.31
2026-05-01;0.00
2026-05-08;0.00
2026-05-15;0.00
2026-05-22;11.31
2026-05-29;21.43
2026-06-05;0.00
2026-06-12;43.14
2026-06-19;13.27
2026-06-26;0.00
2026-07-03;86.28
2026-07-10;0.00
2026-07-17;0.00
2026-07-24;0.00
2026-07-31;0.00
2026-08-07;0.00
2026-08-14;0.00
2026-08-21;0.00
2026-08-28;0.00
