Date;Total;Period End Date
2018-01-05;147.37;2018-01-05
2018-01-12;123.95;2018-01-12
2018-01-19;149.27;2018-01-19
2018-01-26;107.80;2018-01-26
2018-02-02;118.23;2018-02-02
2018-02-09;136.27;2018-02-09
2018-02-16;176.57;2018-02-16
2018-02-23;108.29;2018-02-23
2018-03-02;92.14;2018-03-02
2018-03-09;115.19;2018-03-09
2018-03-16;135.34;2018-03-16
2018-03-23;100.26;2018-03-23
2018-03-30;118.76;2018-03-30
2018-04-06;84.18;2018-04-06
2018-04-13;104.20;2018-04-13
2018-04-20;122.29;2018-04-20
2018-04-27;145.98;2018-04-27
2018-05-04;197.44;2018-05-04
2018-05-11;157.16;2018-05-11
2018-05-18;44.33;2018-05-18
2018-05-25;247.63;2018-05-25
2018-06-01;144.38;2018-06-01
2018-06-08;164.50;2018-06-08
2018-06-15;91.86;2018-06-15
2018-06-22;251.55;2018-06-22
2018-06-29;156.94;2018-06-29
2018-07-06;195.25;2018-07-06
2018-07-13;125.45;2018-07-13
2018-07-20;202.58;2018-07-20
2018-07-27;116.58;2018-07-27
2018-08-03;167.28;2018-08-03
2018-08-10;197.16;2018-08-10
2018-08-17;153.75;2018-08-17
2018-08-24;187.03;2018-08-24
2018-08-31;133.46;2018-08-31
2018-09-07;106.37;2018-09-07
2018-09-14;154.27;2018-09-14
2018-09-21;162.04;2018-09-21
2018-09-28;55.59;2018-09-28
2018-10-05;112.25;2018-10-05
2018-10-12;40.31;2018-10-12
2018-10-19;97.43;2018-10-19
2018-10-26;108.24;2018-10-26
2018-11-02;72.78;2018-11-02
2018-11-09;47.70;2018-11-09
2018-11-16;93.21;2018-11-16
2018-11-23;146.20;2018-11-23
2018-11-30;169.83;2018-11-30
2018-12-07;184.54;2018-12-07
2018-12-14;93.17;2018-12-14
2018-12-21;183.06;2018-12-21
2018-12-28;78.92;2018-12-28
2019-01-04;266.10;2019-01-04
2019-01-11;91.80;2019-01-11
2019-01-18;169.89;2019-01-18
2019-01-25;197.74;2019-01-25
2019-02-01;99.95;2019-02-01
2019-02-08;238.30;2019-02-08
2019-02-15;155.87;2019-02-15
2019-02-22;70.54;2019-02-22
2019-03-01;115.63;2019-03-01
2019-03-08;96.88;2019-03-08
2019-03-15;162.92;2019-03-15
2019-03-22;79.74;2019-03-22
2019-03-29;192.67;2019-03-29
2019-04-05;65.74;2019-04-05
2019-04-12;225.05;2019-04-12
2019-04-19;112.91;2019-04-19
2019-04-26;143.54;2019-04-26
2019-05-03;162.62;2019-05-03
2019-05-10;90.59;2019-05-10
2019-05-17;174.42;2019-05-17
2019-05-24;108.51;2019-05-24
2019-05-31;116.11;2019-05-31
2019-06-07;134.74;2019-06-07
2019-06-14;141.54;2019-06-14
2019-06-21;74.39;2019-06-21
2019-06-28;105.52;2019-06-28
2019-07-05;248.96;2019-07-05
2019-07-12;73.94;2019-07-12
2019-07-19;161.69;2019-07-19
2019-07-26;238.31;2019-07-26
2019-08-02;171.84;2019-08-02
2019-08-09;192.01;2019-08-09
2019-08-16;111.86;2019-08-16
2019-08-23;109.32;2019-08-23
2019-08-30;183.86;2019-08-30
2019-09-06;137.13;2019-09-06
2019-09-13;164.90;2019-09-13
2019-09-20;144.02;2019-09-20
2019-09-27;288.83;2019-09-27
2019-10-04;167.37;2019-10-04
2019-10-11;179.43;2019-10-11
2019-10-18;99.58;2019-10-18
2019-10-25;234.76;2019-10-25
2019-11-01;130.92;2019-11-01
2019-11-08;206.17;2019-11-08
2019-11-15;92.58;2019-11-15
2019-11-22;159.73;2019-11-22
2019-11-29;182.66;2019-11-29
2019-12-06;71.90;2019-12-06
2019-12-13;192.83;2019-12-13
2019-12-20;102.06;2019-12-20
2019-12-27;214.00;2019-12-27
2020-01-03;137.12;2020-01-03
2020-01-10;187.81;2020-01-10
2020-01-17;11.21;2020-01-17
2020-01-24;94.84;2020-01-24
2020-01-31;61.47;2020-01-31
2020-02-07;53.15;2020-02-07
2020-02-14;67.75;2020-02-14
2020-02-21;86.34;2020-02-21
2020-02-28;128.85;2020-02-28
2020-03-06;72.63;2020-03-06
2020-03-13;64.22;2020-03-13
2020-03-20;67.75;2020-03-20
2020-03-27;176.84;2020-03-27
2020-04-03;34.01;2020-04-03
2020-04-10;284.69;2020-04-10
2020-04-17;100.42;2020-04-17
2020-04-24;94.12;2020-04-24
2020-05-01;83.37;2020-05-01
2020-05-08;81.56;2020-05-08
2020-05-15;68.84;2020-05-15
2020-05-22;98.52;2020-05-22
2020-05-29;123.22;2020-05-29
2020-06-05;68.76;2020-06-05
2020-06-12;242.73;2020-06-12
2020-06-19;165.97;2020-06-19
2020-06-26;123.38;2020-06-26
2020-07-03;122.02;2020-07-03
2020-07-10;162.80;2020-07-10
2020-07-17;210.76;2020-07-17
2020-07-24;117.16;2020-07-24
2020-07-31;249.03;2020-07-31
2020-08-07;49.18;2020-08-07
2020-08-14;102.87;2020-08-14
2020-08-21;82.98;2020-08-21
2020-08-28;80.70;2020-08-28
2020-09-04;115.12;2020-09-04
2020-09-11;48.56;2020-09-11
2020-09-18;110.79;2020-09-18
2020-09-25;73.15;2020-09-25
2020-10-02;117.25;2020-10-02
2020-10-09;117.87;2020-10-09
2020-10-16;46.33;2020-10-16
2020-10-23;85.03;2020-10-23
2020-10-30;61.69;2020-10-30
2020-11-06;62.65;2020-11-06
2020-11-13;105.63;2020-11-13
2020-11-20;114.40;2020-11-20
2020-11-27;85.99;2020-11-27
2020-12-04;123.87;2020-12-04
2020-12-11;86.45;2020-12-11
2020-12-18;151.80;2020-12-18
2020-12-25;77.09;2020-12-25
2021-01-01;45.86;2021-01-01
2021-01-08;81.82;2021-01-08
2021-01-15;104.62;2021-01-15
2021-01-22;164.59;2021-01-22
2021-01-29;19.50;2021-01-29
2021-02-05;140.19;2021-02-05
2021-02-12;103.42;2021-02-12
2021-02-19;86.94;2021-02-19
2021-02-26;184.74;2021-02-26
2021-03-05;64.13;2021-03-05
2021-03-12;108.30;2021-03-12
2021-03-19;244.57;2021-03-19
2021-03-26;109.65;2021-03-26
2021-04-02;214.36;2021-04-02
2021-04-09;122.50;2021-04-09
2021-04-16;144.52;2021-04-16
2021-04-23;143.47;2021-04-23
2021-04-30;205.57;2021-04-30
2021-05-07;195.24;2021-05-07
2021-05-14;191.04;2021-05-14
2021-05-21;98.52;2021-05-21
2021-05-28;144.19;2021-05-28
2021-06-04;147.25;2021-06-04
2021-06-11;88.75;2021-06-11
2021-06-18;170.70;2021-06-18
2021-06-25;113.36;2021-06-25
2021-07-02;209.39;2021-07-02
2021-07-09;145.25;2021-07-09
2021-07-16;141.94;2021-07-16
2021-07-23;173.46;2021-07-23
2021-07-30;219.93;2021-07-30
2021-08-06;260.35;2021-08-06
2021-08-13;116.84;2021-08-13
2021-08-20;142.45;2021-08-20
2021-08-27;207.83;2021-08-27
2021-09-03;83.56;2021-09-03
2021-09-10;44.73;2021-09-10
2021-09-17;162.10;2021-09-17
2021-09-24;159.12;2021-09-24
2021-10-01;41.30;2021-10-01
2021-10-08;116.16;2021-10-08
2021-10-15;93.25;2021-10-15
2021-10-22;168.85;2021-10-22
2021-10-29;64.13;2021-10-29
2021-11-05;85.93;2021-11-05
2021-11-12;93.95;2021-11-12
2021-11-19;74.47;2021-11-19
2021-11-26;64.13;2021-11-26
2021-12-03;85.34;2021-12-03
2021-12-10;54.00;2021-12-10
2021-12-17;31.85;2021-12-17
2021-12-24;181.31;2021-12-24
2021-12-31;58.58;2021-12-31
2022-01-07;72.31;2022-01-07
2022-01-14;86.59;2022-01-14
2022-01-21;191.05;2022-01-21
2022-01-28;44.95;2022-01-28
2022-02-04;137.97;2022-02-04
2022-02-11;134.22;2022-02-11
2022-02-18;170.07;2022-02-18
2022-02-25;128.55;2022-02-25
2022-03-04;151.78;2022-03-04
2022-03-11;132.10;2022-03-11
2022-03-18;142.70;2022-03-18
2022-03-25;200.24;2022-03-25
2022-04-01;67.95;2022-04-01
2022-04-08;186.74;2022-04-08
2022-04-15;124.88;2022-04-15
2022-04-22;140.38;2022-04-22
2022-04-29;261.80;2022-04-29
2022-05-06;225.58;2022-05-06
2022-05-13;47.48;2022-05-13
2022-05-20;158.22;2022-05-20
2022-05-27;175.73;2022-05-27
2022-06-03;163.50;2022-06-03
2022-06-10;112.93;2022-06-10
2022-06-17;117.19;2022-06-17
2022-06-24;103.27;2022-06-24
2022-07-01;189.69;2022-07-01
2022-07-08;65.74;2022-07-08
2022-07-15;142.11;2022-07-15
