Date;Latin America;North West Europe Zone;MED Zone (MED Sea+Black Sea);Other North Africa;Unknown;Western Africa;East Coast Canada;Southern Africa;Oceania;South-Central Asia;South-East Asia;Eastern Asia;Eastern Africa;Other Southern Europe;Other Middle East;West Coast Canada;Mideast Gulf;Period End Date
2018-01-05;690.62;160.58;0;45.48;1.78;0;0;0;0;0;0;0;0;0;0;0;0;2018-01-05
2018-01-12;727.50;82.51;88.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-01-12
2018-01-19;479.92;19.90;51.82;52.68;22.74;0;0;35.58;0;0;0;0;0;0;0;0;0;2018-01-19
2018-01-26;585.60;55.80;93.15;0;0;0;46.54;0;0;0;0;3.13;0;0;0;0;0;2018-01-26
2018-02-02;611.38;0;35.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-02-02
2018-02-09;744.07;57.94;0;0;9.63;0;0;0;0;0;0;0;0;0;0;0;0;2018-02-09
2018-02-16;688.35;49.35;0;0;22.54;0;0;0;0;0;0;0;0;0;0;0;0;2018-02-16
2018-02-23;552.49;39.04;26.15;0;34.22;0;0;0;0;0;0;0;0;0;0;0;0;2018-02-23
2018-03-02;536.51;75.26;139.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-03-02
2018-03-09;747.73;12.71;0;0;16.51;0;0;0;0;0;0;12.20;0;0;0;0;0;2018-03-09
2018-03-16;754.31;93.33;20.94;0;3.94;0;0;29.85;0;0;0;0;0;0;0;0;0;2018-03-16
2018-03-23;676.46;40.45;0;0;13.26;0;0;0;0;0;0;0;0;0;0;0;0;2018-03-23
2018-03-30;857.90;0;54.19;62.56;15.99;0;0;0;0;0;0;0;0;0;6.92;0;0;2018-03-30
2018-04-06;1035.41;0;0;0;34.66;23.16;0;0;0;0;0;0;0;0;0;0;0;2018-04-06
2018-04-13;883.10;121.01;43.03;0;16.94;132.80;0;0;0;0;0;0;0;0;0;0;0;2018-04-13
2018-04-20;991.34;45.73;108.19;34.58;0;0;25.45;0;0;0;0;0;0;0;0;0;0;2018-04-20
2018-04-27;755.00;45.46;93.84;0;0;43.90;56.49;0;0;0;0;0;0;0;0;0;0;2018-04-27
2018-05-04;877.98;54.36;157.91;0;8.47;44.95;42.21;0;0;0;0;0;0;0;0;0;0;2018-05-04
2018-05-11;911.57;0;0;0;7.89;0;0;0;0;0;0;0;0;0;0;0;0;2018-05-11
2018-05-18;822.53;0;162.73;0;22.35;0;42.92;0;0;0;0;0;0;0;0;0;0;2018-05-18
2018-05-25;905.69;92.04;193.67;0;44.40;0;0;0;0;0;0;0;0;0;0;0;0;2018-05-25
2018-06-01;862.36;0;132.04;0;8.53;0;35.73;0;0;0;0;0;0;0;0;0;0;2018-06-01
2018-06-08;699.38;305.44;122.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-06-08
2018-06-15;593.36;284.85;66.09;42.36;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-06-15
2018-06-22;818.86;180.34;198.34;0;0;0;0;0;70.34;0;0;0;0;0;0;0;0;2018-06-22
2018-06-29;885.19;209.72;191.86;46.05;32.30;0;4.56;0;0;0;0;0;0;0;0;0;0;2018-06-29
2018-07-06;500.79;184.31;178.51;6.11;28.63;0;0;0;0;0;0;0;0;0;0;0;0;2018-07-06
2018-07-13;965.44;87.55;230.95;43.23;6.85;0;32.87;0;0;0;0;0;0;0;0;0;0;2018-07-13
2018-07-20;704.38;0;35.65;0;7.85;0;0;0;0;0;0;0;0;0;0;0;0;2018-07-20
2018-07-27;656.26;139.00;34.28;73.21;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-07-27
2018-08-03;781.74;0;117.18;133.30;3.31;41.21;0;0;0;0;0;0;0;0;0;0;0;2018-08-03
2018-08-10;738.17;198.73;43.55;0;18.16;0;0;0;0;0;0;0;0;0;0;0;0;2018-08-10
2018-08-17;782.24;36.73;271.64;0;8.91;0;0;0;0;0;0;0;0;0;0;0;0;2018-08-17
2018-08-24;852.02;43.36;0;111.83;0;0;31.27;0;0;0;0;0;0;0;0;0;0;2018-08-24
2018-08-31;769.21;56.54;177.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-08-31
2018-09-07;650.51;103.55;90.61;29.76;13.50;0;0;0;0;0;0;0;0;0;0;0;0;2018-09-07
2018-09-14;860.64;134.94;43.99;44.33;2.99;0;0;0;0;0;0;0;0;42.41;0;0;0;2018-09-14
2018-09-21;793.10;0;50.21;88.15;1.65;0;0;20.41;0;0;0;0;0;0;0;0;0;2018-09-21
2018-09-28;992.62;0;111.04;43.49;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-09-28
2018-10-05;834.05;15.63;122.30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-10-05
2018-10-12;820.30;41.23;89.74;0;13.95;0;0;0;0;0;0;0;0;0;0;0;0;2018-10-12
2018-10-19;1172.81;0;72.17;0;11.44;0;0;0;0;0;0;0;0;0;0;0;0;2018-10-19
2018-10-26;759.42;0;104.15;43.61;3.12;0;7.83;0;0;0;0;0;0;0;0;0;0;2018-10-26
2018-11-02;973.54;103.36;49.79;42.37;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-11-02
2018-11-09;727.67;0;131.78;0;19.40;39.01;32.41;0;0;0;0;0;0;0;0;0;0;2018-11-09
2018-11-16;680.24;207.68;148.94;0;1.56;36.52;38.37;0;0;0;0;0;0;0;0;0;0;2018-11-16
2018-11-23;715.91;133.01;121.71;0;60.04;42.07;0;0;0;0;0;0;0;0;0;0;0;2018-11-23
2018-11-30;857.20;101.44;70.93;47.47;0;66.80;0;0;0;0;0;0;0;0;0;0;0;2018-11-30
2018-12-07;634.37;232.43;5.73;0;6.82;45.95;0;0;0;0;0;0;0;0;0;0;0;2018-12-07
2018-12-14;840.63;227.66;120.19;0;54.52;47.18;25.93;0;0;0;0;0;0;0;0;0;0;2018-12-14
2018-12-21;779.64;83.40;88.32;44.99;23.66;0;81.76;0;0;0;0;0;0;0;0;0;0;2018-12-21
2018-12-28;890.25;174.46;0;0;1.13;0;0;0;0;0;0;0;0;0;0;0;0;2018-12-28
