Date;Total;Period End Date
2018-01-05;147.01;2018-01-05
2018-01-12;119.40;2018-01-12
2018-01-19;44.01;2018-01-19
2018-01-26;61.35;2018-01-26
2018-02-02;142.80;2018-02-02
2018-02-09;35.21;2018-02-09
2018-02-16;33.56;2018-02-16
2018-02-23;91.11;2018-02-23
2018-03-02;81.95;2018-03-02
2018-03-09;83.79;2018-03-09
2018-03-16;15.82;2018-03-16
2018-03-23;30.51;2018-03-23
2018-03-30;54.75;2018-03-30
2018-04-06;24.56;2018-04-06
2018-04-13;2.37;2018-04-13
2018-04-20;13.94;2018-04-20
2018-04-27;47.88;2018-04-27
2018-05-04;88.88;2018-05-04
2018-05-11;0.00;2018-05-11
2018-05-18;0.00;2018-05-18
2018-05-25;78.07;2018-05-25
2018-06-01;23.88;2018-06-01
2018-06-08;14.76;2018-06-08
2018-06-15;50.14;2018-06-15
2018-06-22;45.48;2018-06-22
2018-06-29;94.97;2018-06-29
2018-07-06;113.62;2018-07-06
2018-07-13;65.21;2018-07-13
2018-07-20;63.37;2018-07-20
2018-07-27;115.99;2018-07-27
2018-08-03;25.39;2018-08-03
2018-08-10;8.43;2018-08-10
2018-08-17;38.96;2018-08-17
2018-08-24;88.17;2018-08-24
2018-08-31;118.16;2018-08-31
2018-09-07;19.05;2018-09-07
2018-09-14;82.85;2018-09-14
2018-09-21;29.32;2018-09-21
2018-09-28;89.86;2018-09-28
2018-10-05;5.04;2018-10-05
2018-10-12;73.54;2018-10-12
2018-10-19;19.90;2018-10-19
2018-10-26;46.69;2018-10-26
2018-11-02;13.63;2018-11-02
2018-11-09;78.27;2018-11-09
2018-11-16;44.31;2018-11-16
2018-11-23;83.20;2018-11-23
2018-11-30;118.06;2018-11-30
2018-12-07;161.10;2018-12-07
2018-12-14;96.47;2018-12-14
2018-12-21;61.95;2018-12-21
2018-12-28;142.02;2018-12-28
2019-01-04;181.68;2019-01-04
2019-01-11;109.61;2019-01-11
2019-01-18;62.96;2019-01-18
2019-01-25;180.36;2019-01-25
2019-02-01;100.24;2019-02-01
2019-02-08;57.48;2019-02-08
2019-02-15;142.38;2019-02-15
2019-02-22;158.17;2019-02-22
2019-03-01;43.02;2019-03-01
