period;quantity
2018-01-05;0.00
2018-01-12;0.00
2018-01-19;0.00
2018-01-26;0.00
2018-02-02;5.52
2018-02-09;0.00
2018-02-16;0.00
2018-02-23;0.00
2018-03-02;0.00
2018-03-09;0.00
2018-03-16;0.00
2018-03-23;0.00
2018-03-30;7.86
2018-04-06;0.00
2018-04-13;13.45
2018-04-20;80.22
2018-04-27;0.00
2018-05-04;33.13
2018-05-11;7.21
2018-05-18;0.00
2018-05-25;12.47
2018-06-01;30.56
2018-06-08;0.00
2018-06-15;15.55
2018-06-22;0.00
2018-06-29;7.10
2018-07-06;24.29
2018-07-13;0.00
2018-07-20;119.18
2018-07-27;0.00
2018-08-03;9.10
2018-08-10;0.00
2018-08-17;23.53
2018-08-24;23.24
2018-08-31;7.10
2018-09-07;5.76
2018-09-14;12.43
2018-09-21;21.61
2018-09-28;0.00
2018-10-05;0.00
2018-10-12;29.28
2018-10-19;10.71
2018-10-26;20.05
2018-11-02;0.00
2018-11-09;0.00
2018-11-16;49.35
2018-11-23;0.00
2018-11-30;0.00
2018-12-07;0.00
2018-12-14;14.69
2018-12-21;6.07
2018-12-28;0.00
2019-01-04;0.00
2019-01-11;45.92
2019-01-18;2.85
2019-01-25;0.00
2019-02-01;0.00
2019-02-08;0.00
2019-02-15;0.00
2019-02-22;22.48
2019-03-01;8.45
2019-03-08;0.00
2019-03-15;0.00
2019-03-22;12.74
2019-03-29;33.01
2019-04-05;0.00
2019-04-12;0.00
2019-04-19;0.00
2019-04-26;26.94
2019-05-03;0.00
2019-05-10;0.00
2019-05-17;45.85
2019-05-24;15.03
2019-05-31;13.69
2019-06-07;0.00
2019-06-14;49.35
2019-06-21;25.00
2019-06-28;0.00
2019-07-05;0.00
2019-07-12;117.71
2019-07-19;0.00
2019-07-26;0.00
2019-08-02;10.53
2019-08-09;0.00
2019-08-16;0.00
2019-08-23;0.00
2019-08-30;0.00
2019-09-06;7.83
2019-09-13;0.00
2019-09-20;0.00
2019-09-27;0.00
2019-10-04;0.00
2019-10-11;24.27
2019-10-18;5.71
2019-10-25;45.89
2019-11-01;4.30
2019-11-08;22.12
2019-11-15;12.19
2019-11-22;0.00
2019-11-29;0.00
2019-12-06;0.00
2019-12-13;0.00
2019-12-20;0.00
2019-12-27;7.79
2020-01-03;0.00
2020-01-10;0.00
2020-01-17;0.00
2020-01-24;7.16
2020-01-31;0.00
2020-02-07;7.15
2020-02-14;0.00
2020-02-21;0.00
2020-02-28;23.62
2020-03-06;0.00
2020-03-13;12.14
2020-03-20;21.63
2020-03-27;16.43
2020-04-03;27.74
2020-04-10;12.67
2020-04-17;0.00
2020-04-24;0.00
2020-05-01;0.00
2020-05-08;0.00
2020-05-15;42.64
2020-05-22;12.57
2020-05-29;0.00
2020-06-05;46.50
2020-06-12;6.58
2020-06-19;0.00
2020-06-26;6.80
2020-07-03;0.00
2020-07-10;7.16
2020-07-17;6.01
2020-07-24;13.60
2020-07-31;62.68
2020-08-07;0.00
2020-08-14;0.00
2020-08-21;0.00
2020-08-28;23.71
2020-09-04;6.34
2020-09-11;0.00
2020-09-18;0.00
2020-09-25;0.00
2020-10-02;0.00
2020-10-09;56.65
2020-10-16;41.37
2020-10-23;0.00
2020-10-30;0.00
2020-11-06;12.35
2020-11-13;0.00
2020-11-20;0.00
2020-11-27;0.00
2020-12-04;0.00
2020-12-11;44.79
2020-12-18;0.00
2020-12-25;0.00
2021-01-01;45.74
2021-01-08;0.00
2021-01-15;0.00
2021-01-22;0.00
2021-01-29;0.00
2021-02-05;0.00
2021-02-12;44.47
2021-02-19;44.71
2021-02-26;14.28
2021-03-05;0.00
2021-03-12;0.00
2021-03-19;31.47
2021-03-26;0.00
2021-04-02;0.00
2021-04-09;10.39
2021-04-16;38.74
2021-04-23;0.00
2021-04-30;0.00
2021-05-07;45.00
2021-05-14;4.98
2021-05-21;0.00
2021-05-28;0.00
2021-06-04;0.00
2021-06-11;36.33
2021-06-18;8.60
2021-06-25;0.00
2021-07-02;10.59
2021-07-09;0.00
2021-07-16;2.38
2021-07-23;0.00
2021-07-30;0.00
2021-08-06;0.00
2021-08-13;77.35
2021-08-20;15.45
2021-08-27;19.89
2021-09-03;0.00
2021-09-10;13.25
2021-09-17;4.49
2021-09-24;0.00
2021-10-01;0.00
2021-10-08;4.67
2021-10-15;0.00
2021-10-22;77.12
2021-10-29;0.00
2021-11-05;0.00
2021-11-12;4.16
2021-11-19;0.00
2021-11-26;0.00
2021-12-03;0.00
2021-12-10;0.00
2021-12-17;6.10
2021-12-24;0.00
2021-12-31;0.00
2022-01-07;14.38
2022-01-14;0.00
2022-01-21;51.42
2022-01-28;1.71
2022-02-04;0.00
2022-02-11;6.27
2022-02-18;0.00
2022-02-25;0.00
2022-03-04;0.00
2022-03-11;0.00
2022-03-18;51.33
2022-03-25;0.00
2022-04-01;28.87
2022-04-08;0.00
2022-04-15;0.00
2022-04-22;8.72
2022-04-29;0.00
2022-05-06;0.00
2022-05-13;0.00
2022-05-20;17.32
2022-05-27;44.69
2022-06-03;19.82
2022-06-10;0.00
2022-06-17;0.00
2022-06-24;0.00
2022-07-01;25.81
2022-07-08;0.00
2022-07-15;0.00
2022-07-22;6.36
2022-07-29;46.94
2022-08-05;25.75
2022-08-12;0.00
2022-08-19;0.00
2022-08-26;6.43
2022-09-02;73.16
2022-09-09;0.00
2022-09-16;0.00
2022-09-23;0.00
2022-09-30;37.57
2022-10-07;0.00
2022-10-14;51.21
2022-10-21;10.22
2022-10-28;0.00
2022-11-04;24.09
2022-11-11;0.00
2022-11-18;0.00
2022-11-25;20.64
2022-12-02;0.00
2022-12-09;5.44
2022-12-16;0.00
2022-12-23;0.00
2022-12-30;0.00
2023-01-06;0.00
2023-01-13;0.00
2023-01-20;7.44
2023-01-27;0.00
2023-02-03;0.00
