Date;Latin America;North West Europe Zone;MED Zone (MED Sea+Black Sea);Unknown;Other North Africa;Western Africa;East Coast Canada;Southern Africa;Oceania;Eastern Asia;South-East Asia;West Coast Canada;South-Central Asia;Other Southern Europe;Eastern Africa;Other Middle East;Mideast Gulf;Period End Date
2018-01-05;837.63;160.58;0;1.78;45.48;0;0;0;0;0;0;0;0;0;0;0;0;2018-01-05
2018-01-12;846.90;82.51;88.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-01-12
2018-01-19;523.92;19.90;65.99;22.74;52.68;0;0;35.58;0;0;0;0;0;0;0;0;0;2018-01-19
2018-01-26;646.95;55.80;93.15;0;0;0;46.54;0;0;3.13;0;0;0;0;0;0;0;2018-01-26
2018-02-02;754.18;19.01;35.17;6.88;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-02-02
2018-02-09;764.10;57.94;0;9.63;0;0;0;0;0;15.18;0;0;0;0;0;0;0;2018-02-09
2018-02-16;721.91;69.62;0;22.54;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-02-16
2018-02-23;643.60;88.39;26.15;34.22;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-02-23
2018-03-02;611.35;75.26;139.44;0;0;0;0;0;0;0;0;7.11;0;0;0;0;0;2018-03-02
2018-03-09;831.52;12.71;39.87;16.51;0;0;0;0;0;12.20;0;0;0;0;0;0;0;2018-03-09
2018-03-16;823.51;93.33;20.94;3.94;0;0;0;29.85;0;0;0;0;0;0;0;0;0;2018-03-16
2018-03-23;708.22;85.97;0;13.26;0;0;0;0;0;0;0;21.32;0;0;0;0;0;2018-03-23
2018-03-30;912.65;0;54.19;15.99;62.56;0;37.33;0;0;0;0;0;0;0;0;6.92;0;2018-03-30
2018-04-06;1038.05;0;10.66;34.66;0;23.16;0;0;0;0;0;24.56;0;0;0;0;0;2018-04-06
2018-04-13;1032.22;121.01;43.03;16.94;0;132.80;59.02;0;0;0;0;0;0;33.75;0;0;0;2018-04-13
2018-04-20;1012.47;90.71;145.58;0;34.58;0;65.64;0;0;0;0;0;0;0;0;0;0;2018-04-20
2018-04-27;802.89;166.88;129.47;0;0;43.90;56.49;0;0;0;0;0;0;0;0;0;0;2018-04-27
2018-05-04;920.40;54.36;157.91;8.47;0;44.95;116.18;0;0;46.46;0;0;0;0;0;0;0;2018-05-04
2018-05-11;911.57;0;0;7.89;0;0;15.06;0;0;0;0;0;0;0;0;0;0;2018-05-11
2018-05-18;822.53;40.20;162.73;22.35;0;0;85.76;0;0;0;0;0;0;0;0;0;0;2018-05-18
2018-05-25;951.14;92.04;193.67;44.40;0;0;30.08;0;0;32.63;0;0;0;0;0;0;0;2018-05-25
2018-06-01;886.24;59.98;145.54;8.53;0;0;70.99;0;0;0;0;0;0;0;0;0;0;2018-06-01
2018-06-08;714.14;359.63;122.73;0;0;0;15.10;0;0;0;0;0;0;0;0;0;0;2018-06-08
2018-06-15;643.50;284.85;66.09;0;42.36;0;0;0;0;0;0;0;0;0;0;0;0;2018-06-15
2018-06-22;864.34;204.88;198.34;0;0;0;0;0;70.34;0;0;0;0;0;0;0;0;2018-06-22
2018-06-29;931.04;283.37;191.86;32.30;46.05;0;4.56;0;0;0;0;0;0;0;0;0;0;2018-06-29
2018-07-06;565.07;184.31;223.44;28.63;6.11;0;0;0;0;49.34;0;0;0;0;0;0;0;2018-07-06
2018-07-13;1030.65;87.55;230.95;6.85;43.23;0;32.87;0;0;0;0;0;0;0;0;0;0;2018-07-13
2018-07-20;749.86;0;35.65;7.85;0;0;0;0;0;17.89;0;0;0;0;0;0;0;2018-07-20
2018-07-27;759.07;139.00;34.28;0;73.21;0;0;0;0;13.18;0;0;0;0;0;0;0;2018-07-27
2018-08-03;807.13;0;117.18;3.31;133.30;41.21;0;0;0;0;0;0;0;0;0;0;0;2018-08-03
2018-08-10;746.59;246.08;43.55;18.16;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-08-10
2018-08-17;821.20;36.73;271.64;8.91;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-08-17
2018-08-24;940.19;43.36;0;0;111.83;0;31.27;0;0;0;0;0;0;0;0;0;0;2018-08-24
2018-08-31;887.37;56.54;177.79;0;0;36.38;0;0;0;0;0;0;0;0;0;0;0;2018-08-31
2018-09-07;669.56;103.55;90.61;13.50;29.76;0;0;0;0;0;0;0;0;0;0;0;0;2018-09-07
2018-09-14;943.49;152.01;43.99;2.99;44.33;0;0;0;0;0;0;0;0;42.41;0;0;0;2018-09-14
2018-09-21;850.27;24.66;50.21;1.65;88.15;0;0;20.41;0;0;0;0;0;0;0;0;0;2018-09-21
2018-09-28;1036.75;47.41;111.04;0;43.49;0;0;0;0;45.73;0;0;0;0;0;0;0;2018-09-28
2018-10-05;839.10;15.63;122.30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-10-05
2018-10-12;893.83;41.23;89.74;13.95;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-10-12
2018-10-19;1201.84;0;72.17;11.44;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-10-19
2018-10-26;806.10;0;104.15;3.12;43.61;0;29.74;0;0;0;0;0;0;0;0;0;0;2018-10-26
2018-11-02;987.17;103.36;49.79;0;42.37;0;10.79;0;0;0;0;0;0;0;0;0;0;2018-11-02
2018-11-09;805.94;0;131.78;19.40;0;39.01;32.41;0;0;0;0;0;0;0;0;0;0;2018-11-09
2018-11-16;729.88;277.60;148.94;1.56;0;36.52;75.84;0;0;0;0;0;0;0;0;0;0;2018-11-16
2018-11-23;749.99;182.14;121.71;88.64;0;42.07;0;0;0;0;0;0;0;0;0;0;0;2018-11-23
2018-11-30;975.27;112.17;70.93;0;47.47;66.80;0;0;0;0;0;0;0;0;0;0;0;2018-11-30
2018-12-07;795.47;232.43;5.73;6.82;0;45.95;0;0;0;0;0;0;0;0;0;0;0;2018-12-07
2018-12-14;937.10;227.66;120.19;54.52;0;47.18;38.42;0;0;0;0;0;0;0;0;0;0;2018-12-14
2018-12-21;837.24;83.40;88.32;23.66;44.99;0;81.76;0;0;0;0;4.35;0;0;0;0;0;2018-12-21
2018-12-28;1032.27;174.46;0;1.13;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-12-28
2019-01-04;737.38;127.59;0;5.49;0;0;0;0;0;21.82;0;6.23;0;0;0;0;0;2019-01-04
2019-01-11;1003.80;86.02;98.51;2.67;0;0;31.84;0;0;0;0;4.43;0;0;0;0;0;2019-01-11
2019-01-18;909.94;41.57;86.55;10.21;0;0;0;0;0;1.31;0;10.66;0;0;0;0;0;2019-01-18
2019-01-25;1046.97;87.72;45.19;1.76;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-01-25
2019-02-01;916.70;41.72;46.44;21.57;0;40.50;0;0;0;0;0;8.08;0;0;0;0;0;2019-02-01
2019-02-08;492.57;24.03;46.90;5.17;0;0;28.92;0;0;0;0;0;0;0;0;0;0;2019-02-08
2019-02-15;936.73;42.64;82.94;5.75;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-02-15
2019-02-22;684.10;0;42.64;6.06;0;0;45.64;0;0;0;0;9.71;0;0;0;0;0;2019-02-22
2019-03-01;689.19;171.98;149.65;16.93;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-01
2019-03-08;778.55;162.26;42.15;3.84;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-08
2019-03-15;850.26;17.95;0;26.01;46.51;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-15
2019-03-22;780.88;176.17;86.93;12.43;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-22
