period;originCountries;quantity
2018-01-05;Belgium;16.76
2018-01-05;Canada;75.25
2018-01-05;Netherlands;12.56
2018-01-12;Brazil;49.11
2018-01-12;Canada;75.29
2018-01-12;Colombia;4.63
2018-01-12;Netherlands;6.61
2018-01-12;Russian Federation;37.21
2018-01-19;Belgium;7.21
2018-01-19;Brazil;22.95
2018-01-19;Canada;104.24
2018-01-26;Belgium;24.67
2018-01-26;Brazil;24.30
2018-01-26;Canada;43.27
2018-01-26;Netherlands;72.27
2018-01-26;Qatar;127.71
2018-01-26;Togo;9.28
2018-01-26;United Arab Emirates;96.89
2018-02-02;Belgium;33.82
2018-02-02;Brazil;26.80
2018-02-02;Canada;105.70
2018-02-02;Colombia;46.45
2018-02-02;Saudi Arabia;35.75
2018-02-09;Brazil;20.44
2018-02-09;Canada;53.00
2018-02-09;Colombia;21.43
2018-02-09;India;96.08
2018-02-09;Saudi Arabia;144.01
2018-02-16;Canada;80.61
2018-02-16;Colombia;18.91
2018-02-16;India;96.81
2018-02-16;Russian Federation;46.20
2018-02-16;Saudi Arabia;28.20
2018-02-16;Sweden;23.81
2018-02-23;Canada;84.73
2018-02-23;India;40.77
2018-03-02;Canada;26.19
2018-03-02;Colombia;26.84
2018-03-02;Oman;21.03
2018-03-02;Qatar;86.30
2018-03-09;Canada;113.17
2018-03-09;India;69.13
2018-03-09;Portugal;8.46
2018-03-09;Qatar;42.58
2018-03-16;Canada;98.79
2018-03-16;Colombia;0.61
2018-03-16;Nicaragua;21.67
2018-03-23;Canada;146.19
2018-03-23;Qatar;44.17
2018-03-30;Canada;95.92
2018-04-06;Brazil;49.42
2018-04-06;Canada;89.99
2018-04-06;Russian Federation;31.06
2018-04-13;Canada;100.44
2018-04-20;Canada;91.78
2018-04-20;Japan;45.58
2018-04-20;Malaysia;34.64
2018-04-27;Canada;34.05
2018-04-27;Qatar;13.12
2018-05-04;Canada;51.09
2018-05-04;Malaysia;4.17
2018-05-04;Singapore Republic;28.97
2018-05-11;Canada;73.02
2018-05-11;Russian Federation;24.81
2018-05-18;Canada;21.57
2018-05-18;Russian Federation;1.70
2018-05-25;Canada;124.47
2018-05-25;China;12.47
2018-05-25;Italy;3.62
2018-06-01;Canada;104.27
2018-06-01;Russian Federation;70.93
2018-06-01;South Korea;30.56
2018-06-08;Canada;76.79
2018-06-15;Canada;47.29
2018-06-15;Indonesia;30.37
2018-06-15;South Korea;11.16
2018-06-15;Taiwan;4.39
2018-06-22;Belgium;10.20
2018-06-22;Canada;52.10
2018-06-29;Canada;47.43
2018-06-29;Japan;7.10
2018-07-06;Canada;8.29
2018-07-06;Canada;80.26
2018-07-06;South Korea;24.29
2018-07-13;Canada;111.03
2018-07-20;Canada;115.14
2018-07-20;China;27.76
2018-07-20;Oman;55.14
2018-07-20;Qatar;55.14
2018-07-20;Spain;48.57
2018-07-27;Canada;45.72
2018-08-03;Canada;91.63
2018-08-03;Colombia;42.40
2018-08-03;Panama;4.72
2018-08-03;Russian Federation;31.36
2018-08-03;South Korea;4.38
2018-08-10;Canada;76.43
2018-08-10;Russian Federation;9.96
2018-08-17;Canada;61.18
2018-08-17;Latvia;8.57
2018-08-17;Russian Federation;29.43
2018-08-24;Canada;99.26
2018-08-24;China;23.24
2018-08-24;Latvia;32.22
2018-08-24;Saudi Arabia;106.17
2018-08-24;Spain;48.30
2018-08-31;Canada;42.93
2018-08-31;Japan;7.10
2018-08-31;Russian Federation;146.83
2018-09-07;Canada;28.19
2018-09-07;Netherlands;4.29
2018-09-07;Russian Federation;4.69
2018-09-14;Canada;68.76
2018-09-14;Russian Federation;35.67
2018-09-14;South Korea;12.43
2018-09-21;Belgium;63.31
2018-09-21;Canada;72.71
2018-09-21;Russian Federation;35.93
2018-09-28;Canada;100.63
2018-09-28;Colombia;46.50
2018-09-28;India;35.78
2018-10-05;Canada;17.48
2018-10-05;Colombia;23.71
2018-10-05;Saudi Arabia;82.10
2018-10-05;United Arab Emirates;50.76
2018-10-05;United States Virgin Islands;47.46
2018-10-12;Canada;94.17
2018-10-12;Colombia;7.90
2018-10-12;Peru;29.28
2018-10-19;Canada;70.57
2018-10-19;Saudi Arabia;106.17
2018-10-19;Spain;35.87
2018-10-26;Bahamas;71.89
2018-10-26;Canada;78.48
2018-11-02;Canada;3.71
2018-11-02;Saudi Arabia;101.28
2018-11-09;Bahamas;83.16
2018-11-09;Canada;76.52
2018-11-09;Colombia;49.35
2018-11-16;Bahamas;8.75
2018-11-16;Brazil;52.21
2018-11-16;Canada;107.78
2018-11-16;Guatemala;11.38
2018-11-23;Canada;60.03
2018-11-23;Colombia;40.67
2018-11-23;South Korea;63.96
2018-11-30;Canada;32.48
2018-11-30;China;72.87
2018-11-30;Colombia;44.97
2018-11-30;Japan;23.14
2018-11-30;Qatar;10.16
2018-11-30;United Arab Emirates;6.34
2018-12-07;Canada;52.87
2018-12-07;Colombia;40.03
2018-12-07;United Arab Emirates;18.28
2018-12-14;Canada;41.29
2018-12-14;India;22.00
2018-12-14;Japan;32.93
2018-12-21;Canada;6.93
2018-12-21;Colombia;46.71
2018-12-21;Japan;30.18
2018-12-21;Malaysia;11.44
2018-12-21;Saudi Arabia;104.99
2018-12-28;Canada;115.61
2018-12-28;Colombia;71.32
2019-01-04;Canada;57.09
2019-01-04;Colombia;45.04
2019-01-11;Bahamas;73.15
2019-01-11;Canada;86.21
2019-01-11;Colombia;50.49
2019-01-11;India;109.95
2019-01-11;Japan;12.55
2019-01-11;Qatar;49.86
2019-01-11;South Korea;20.59
2019-01-11;Togo;45.35
2019-01-18;Canada;65.44
2019-01-18;India;113.85
