period;quantity
2018-01;0.00
2018-02;0.00
2018-03;9.29
2018-04;11.49
2018-05;2.70
2018-06;23.59
2018-07;4.27
2018-08;0.00
2018-09;5.75
2018-10;9.23
2018-11;4.78
2018-12;0.00
2019-01;13.96
2019-02;22.65
2019-03;22.70
2019-04;20.06
2019-05;18.01
2019-06;3.44
2019-07;8.76
2019-08;11.25
2019-09;20.57
2019-10;0.00
2019-11;9.36
2019-12;0.00
2020-01;0.00
2020-02;0.00
2020-03;0.00
2020-04;0.00
2020-05;0.00
2020-06;3.67
2020-07;0.00
2020-08;0.00
2020-09;0.00
2020-10;0.00
2020-11;0.00
2020-12;0.00
2021-01;0.00
2021-02;0.00
2021-03;0.00
2021-04;0.00
2021-05;0.00
2021-06;0.00
2021-07;0.00
2021-08;1.48
2021-09;10.91
2021-10;0.00
2021-11;2.62
2021-12;0.00
2022-01;0.00
2022-02;0.00
2022-03;0.00
2022-04;0.00
2022-05;6.47
2022-06;0.00
2022-07;0.00
2022-08;3.92
2022-09;5.89
2022-10;2.75
2022-11;4.83
2022-12;0.00
2023-01;0.00
2023-02;0.00
2023-03;7.06
2023-04;0.00
2023-05;0.00
2023-06;14.75
2023-07;6.15
2023-08;4.06
2023-09;2.96
2023-10;0.00
2023-11;5.63
2023-12;0.00
2024-01;0.00
2024-02;5.17
2024-03;0.00
2024-04;0.00
2024-05;2.90
2024-06;10.49
2024-07;12.37
2024-08;0.33
2024-09;13.16
2024-10;0.00
2024-11;4.42
2024-12;5.12
2025-01;0.00
2025-02;0.00
2025-03;0.00
2025-04;0.00
2025-05;0.00
2025-06;4.87
2025-07;2.26
2025-08;0.00
2025-09;7.18
2025-10;0.00
2025-11;0.00
2025-12;0.00
2026-01;0.00
2026-02;0.00
2026-03;28.35
2026-04;23.50
2026-05;0.00
2026-06;0.00
2026-07;0.00
2026-08;0.00
