Date;Canada;India;South Korea;Kuwait;Saudi Arabia;United Arab Emirates;Nigeria;Japan;Italy;France;Qatar;Algeria;Spain;Bahamas;Colombia;United Kingdom;Greece;Venezuela;Denmark;United States Virgin Islands;Russian Federation;Netherlands;China;Belgium;Taiwan;Oman;Panama;Malaysia;Germany;Trinidad and Tobago;Mexico;Morocco;Angola;Period End Date
2018-01;22.37;37.42;25.49;6.97;0;0;0;0;0;0;0;0;0;0;10.90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-01-31
2018-02;9.80;17.95;6.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.69;0;7.18;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-02-28
2018-03;9.40;2.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.17;0;0;0;0;8.38;0;0;0;0;0;7.64;0;0;0;0;2018-03-31
2018-04;25.09;31.98;0.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-04-30
2018-05;25.89;27.90;3.23;6.77;0;0;0;5.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-05-31
2018-06;25.16;0;33.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-06-30
2018-07;12.99;8.92;34.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-07-31
2018-08;33.32;23.03;21.22;0;0;0;0;0;0;0;0;0;0;0;3.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-08-31
2018-09;14.45;13.92;65.26;0;0;0;0;0;0;0;0;0;0;0;5.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-09-30
2018-10;19.48;23.35;13.59;0;9.79;0;0;0;0;0;0;0;0;0;2.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-10-31
2018-11;5.50;0;0;0;13.10;0;0;9.00;0;0;0;0;7.67;3.33;0;0;0;0;0;9.08;0;0;0;0;0;0;0;0;0;0;0;0;0;2018-11-30
2018-12;20.02;0;0;0;9.04;0;0;0;0;0;0;0;0;10.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.40;0;0;0;2018-12-31
2019-01;11.96;25.54;0;2.45;13.03;5.62;0;0;0;0;0;0;0;0;0;0;0;0;0;2.75;0;0;8.88;0;0;0;0;0;0;0;0;0;0;2019-01-31
2019-02;19.29;11.79;37.10;0;11.78;0;0;0;9.78;0;9.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-02-28
2019-03;25.20;0;15.98;0;49.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-03-31
2019-04;28.59;25.30;20.54;0;0;0;0;0;0;0;1.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-04-30
2019-05;25.62;10.00;15.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-05-31
2019-06;41.85;10.05;28.34;0;0;0;0;5.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-06-30
2019-07;30.70;12.68;12.47;8.21;0;16.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-07-31
2019-08;20.42;8.06;8.70;0;0;0;0;0;0;0;0;0;0.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-08-31
2019-09;21.33;12.71;20.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-09-30
2019-10;20.64;7.74;8.29;0;0;0;0;16.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-10-31
2019-11;13.99;0;18.17;0;0;0;0;10.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0.43;0;0;0;0;0;0;0;0;0;0;0;2019-11-30
2019-12;15.09;0;16.95;4.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.60;0;0;0;0;0;10.10;0;0;0;0;0;0;2019-12-31
2020-01;10.57;21.41;5.31;8.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-01-31
2020-02;15.68;0;13.79;0;12.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-02-29
2020-03;17.19;0;7.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-03-31
2020-04;0;0;4.50;0;17.02;0;0;0;0;0;0;0;0;0;3.57;0;0;0;0;0;0;0;0;0;6.91;0;0;0;0;0;0;0;0;2020-04-30
2020-05;12.89;0;22.17;0;5.65;0;0;0;0;0;15.21;0;0;0;0;0;0;0;0;0;0;0;0;0;9.62;0;0;0;0;0;0;0;0;2020-05-31
2020-06;4.17;7.65;16.96;10.83;16.38;0;0;0;0;0;17.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-06-30
2020-07;8.27;28.19;0;16.23;0;0;0;0;3.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-07-31
2020-08;5.81;32.30;18.82;0;0;0;0;0;9.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-08-31
2020-09;4.50;0;34.75;4.21;0;0;0;0;10.12;0;5.58;0;7.86;0;4.14;0;0;0;0;0;0;9.92;0;0;0;0;0;0;0;0;0;0;0;2020-09-30
2020-10;7.81;0;17.68;11.84;0;11.56;0;0;6.70;7.33;0;9.51;9.81;0;4.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-10-31
2020-11;9.01;5.53;2.64;11.03;0;0;0;0;0;0;0;0;0;13.60;3.35;0;0;0;0;0;0;0;0;0;0;0;3.64;0;0;0;0;0;3.63;2020-11-30
2020-12;7.04;0;0;0;13.49;0;0;0;5.70;0;0;0;0;0;6.48;0;0;0;0;0;0;8.35;0;0;0;0;0;0;0;0;0;0;0;2020-12-31
2021-01;11.39;0;0;0;0;9.36;0;0;8.83;0;10.60;0;0;0;3.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-01-31
2021-02;9.64;0;0;0;0;0;0;0;0;0;0;9.48;0;0;0;0;10.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-02-28
2021-03;7.02;0;9.53;0;4.84;0;0;0;0;0;0;19.56;0;0;0;0;0;0;0;8.05;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-03-31
2021-04;12.84;6.27;9.39;10.07;0;25.51;0;0;0;0;3.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-04-30
2021-05;2.58;17.47;9.37;8.51;4.47;0;0;0;9.32;18.62;0;0;0;0;0;16.18;9.34;0;0;4.68;8.56;0;0;0;0;0;0;0;0;0;0;0;0;2021-05-31
