period;quantity
2018-01;8.63
2018-02;29.13
2018-03;17.11
2018-04;36.72
2018-05;47.76
2018-06;4.91
2018-07;19.70
2018-08;3.92
2018-09;3.41
2018-10;8.41
2018-11;6.92
2018-12;22.70
2019-01;13.14
2019-02;26.87
2019-03;6.61
2019-04;11.28
2019-05;39.33
2019-06;10.45
2019-07;18.78
2019-08;4.58
2019-09;14.93
2019-10;19.61
2019-11;40.94
2019-12;53.34
2020-01;57.40
2020-02;33.80
2020-03;26.29
2020-04;6.35
2020-05;5.85
2020-06;6.80
2020-07;19.23
2020-08;20.69
2020-09;17.63
2020-10;16.39
2020-11;11.15
2020-12;39.62
2021-01;20.99
2021-02;9.75
2021-03;21.52
2021-04;21.50
2021-05;26.09
2021-06;8.62
2021-07;10.43
2021-08;18.80
2021-09;11.04
2021-10;33.12
2021-11;12.17
2021-12;6.19
2022-01;18.24
2022-02;7.24
2022-03;12.41
2022-04;22.64
2022-05;8.77
2022-06;11.32
2022-07;8.77
2022-08;14.70
2022-09;6.79
2022-10;10.96
2022-11;15.86
2022-12;6.92
2023-01;10.96
2023-02;43.74
2023-03;31.39
2023-04;34.80
2023-05;23.43
2023-06;19.02
2023-07;18.30
2023-08;51.24
2023-09;21.11
2023-10;10.22
2023-11;14.54
2023-12;39.01
2024-01;2.92
2024-02;16.59
2024-03;9.61
2024-04;1.12
2024-05;3.65
2024-06;16.45
2024-07;12.76
2024-08;9.74
2024-09;12.97
2024-10;43.39
2024-11;51.72
2024-12;37.60
2025-01;8.77
2025-02;7.24
2025-03;43.70
2025-04;38.44
2025-05;11.66
2025-06;48.62
2025-07;20.30
2025-08;58.30
2025-09;12.47
2025-10;22.04
2025-11;56.46
2025-12;73.99
2026-01;63.98
2026-02;51.93
2026-03;28.29
2026-04;55.96
2026-05;35.21
2026-06;5.67
2026-07;1.30
2026-08;0.00
