Date;Latin America;East Coast Canada;North West Europe Zone;MED Zone (MED Sea+Black Sea);Unknown;Western Africa;West Coast Canada;Other North Africa;Oceania;Eastern Asia;Other Southern Europe;Southern Africa;Period End Date
2018-01;117.72;38.27;0;10.86;0.24;0;0;0;0;0;0;0;2018-01-31
2018-02;88.57;0;20.63;12.74;14.34;0.90;0;0;0;0;0;0;2018-02-28
2018-03;128.71;10.25;49.34;0;0;20.11;0;0;0;0;0;0;2018-03-31
2018-04;139.59;39.56;20.19;0;0;0;0;0;0;0;0;0;2018-04-30
2018-05;118.55;26.29;38.83;16.09;8.79;19.62;0;0;0;0;0;0;2018-05-31
2018-06;107.95;9.34;32.46;0;0;11.01;0;0;0;0;0;0;2018-06-30
2018-07;145.77;39.45;38.56;0;0.50;10.79;0;0;0;0;0;0;2018-07-31
2018-08;171.74;23.95;21.05;10.37;3.83;0;0;0;0;0;0;0;2018-08-31
2018-09;129.65;42.63;10.95;0;0;0;0;0;0;0;0;0;2018-09-30
2018-10;107.84;21.46;61.13;3.29;10.36;21.04;0;0;0;0;0;0;2018-10-31
2018-11;138.13;43.43;1.55;6.15;2.26;0;0;0;0;0;0;0;2018-11-30
2018-12;121.03;33.62;0;0;0;10.40;0;0;0;5.57;0;0;2018-12-31
2019-01;167.14;37.61;21.04;0;0;0;0;0;0;0;0;0;2019-01-31
2019-02;125.31;0;11.71;11.98;0;0;0;0;0;0;0;0;2019-02-28
2019-03;122.08;0;0;0;5.85;0;0;0;0;0;0;0;2019-03-31
2019-04;165.09;7.22;0;0;1.39;0;0;0;0;0;0;0;2019-04-30
2019-05;127.28;50.04;10.25;10.74;0;0.23;0;0;0;0;0;0;2019-05-31
2019-06;111.68;18.44;20.94;0;10.42;0;0;0;0;0;0;0;2019-06-30
2019-07;124.99;31.26;39.18;11.51;9.57;0;0;0;0;0;0;2.01;2019-07-31
2019-08;123.30;22.47;21.58;0;8.43;0;0;0;0;0;0;0;2019-08-31
2019-09;95.27;21.77;47.77;10.57;4.87;10.60;0;0;0;0;0;0;2019-09-30
2019-10;129.25;37.06;9.46;4.94;0;0;0;0;0;0;0;0;2019-10-31
2019-11;128.35;50.08;23.30;11.89;0.16;1.86;0;0;0;0;0;0;2019-11-30
2019-12;136.33;38.44;10.26;4.99;1.93;0;0;0;0;0;0;0;2019-12-31
2020-01;143.42;49.05;19.69;0;0;0;0;0;0;0;0;0;2020-01-31
2020-02;127.49;9.22;34.56;10.28;0;0;0;0;0;0;0;0;2020-02-29
