Date;Total;Period End Date
2018-01;25.43;2018-01-31
2018-02;22.97;2018-02-28
2018-03;15.85;2018-03-31
2018-04;15.86;2018-04-30
2018-05;13.32;2018-05-31
2018-06;0.00;2018-06-30
2018-07;28.67;2018-07-31
2018-08;10.33;2018-08-31
2018-09;24.81;2018-09-30
2018-10;25.05;2018-10-31
2018-11;12.45;2018-11-30
2018-12;15.93;2018-12-31
2019-01;15.00;2019-01-31
2019-02;41.38;2019-02-28
2019-03;12.60;2019-03-31
2019-04;0.00;2019-04-30
2019-05;5.91;2019-05-31
2019-06;4.61;2019-06-30
2019-07;14.88;2019-07-31
2019-08;5.75;2019-08-31
2019-09;13.04;2019-09-30
2019-10;16.58;2019-10-31
2019-11;15.92;2019-11-30
2019-12;21.77;2019-12-31
2020-01;29.04;2020-01-31
2020-02;16.73;2020-02-29
2020-03;8.41;2020-03-31
2020-04;5.87;2020-04-30
2020-05;0.00;2020-05-31
2020-06;0.00;2020-06-30
2020-07;0.00;2020-07-31
2020-08;4.25;2020-08-31
2020-09;4.45;2020-09-30
2020-10;5.55;2020-10-31
2020-11;8.57;2020-11-30
2020-12;6.03;2020-12-31
2021-01;7.16;2021-01-31
2021-02;5.06;2021-02-28
2021-03;3.93;2021-03-31
2021-04;16.27;2021-04-30
2021-05;4.87;2021-05-31
2021-06;14.45;2021-06-30
2021-07;12.22;2021-07-31
2021-08;10.18;2021-08-31
2021-09;1.52;2021-09-30
2021-10;8.15;2021-10-31
2021-11;14.20;2021-11-30
2021-12;12.24;2021-12-31
2022-01;8.11;2022-01-31
2022-02;8.06;2022-02-28
2022-03;3.24;2022-03-31
2022-04;5.01;2022-04-30
2022-05;8.87;2022-05-31
2022-06;8.97;2022-06-30
2022-07;26.67;2022-07-31
2022-08;11.85;2022-08-31
2022-09;0.00;2022-09-30
2022-10;2.89;2022-10-31
2022-11;51.68;2022-11-30
2022-12;23.85;2022-12-31
2023-01;10.75;2023-01-31
2023-02;10.41;2023-02-28
2023-03;25.76;2023-03-31
2023-04;15.55;2023-04-30
2023-05;5.16;2023-05-31
2023-06;7.03;2023-06-30
2023-07;8.15;2023-07-31
2023-08;13.55;2023-08-31
2023-09;30.19;2023-09-30
2023-10;13.88;2023-10-31
2023-11;21.62;2023-11-30
2023-12;16.58;2023-12-31
2024-01;26.30;2024-01-31
2024-02;8.14;2024-02-29
2024-03;17.84;2024-03-31
2024-04;6.44;2024-04-30
2024-05;18.42;2024-05-31
2024-06;32.54;2024-06-30
2024-07;19.28;2024-07-31
2024-08;18.42;2024-08-31
2024-09;9.01;2024-09-30
2024-10;0.00;2024-10-31
2024-11;16.06;2024-11-30
2024-12;19.34;2024-12-31
2025-01;9.01;2025-01-31
2025-02;25.64;2025-02-28
2025-03;6.13;2025-03-31
2025-04;9.80;2025-04-30
2025-05;0.00;2025-05-31
2025-06;5.75;2025-06-30
2025-07;9.43;2025-07-31
2025-08;1.23;2025-08-31
2025-09;15.60;2025-09-30
2025-10;5.11;2025-10-31
2025-11;2.80;2025-11-30
2025-12;17.90;2025-12-31
2026-01;12.58;2026-01-31
2026-02;17.18;2026-02-28
2026-03;7.57;2026-03-31
2026-04;4.72;2026-04-30
2026-05;0.00;2026-05-31
2026-06;10.09;2026-06-30
2026-07;9.80;2026-07-31
2026-08;0.00;2026-08-31
