period;quantity
2018-01;72.23
2018-02;58.38
2018-03;44.28
2018-04;68.49
2018-05;82.54
2018-06;87.29
2018-07;94.37
2018-08;86.94
2018-09;115.78
2018-10;78.19
2018-11;72.56
2018-12;73.33
2019-01;64.91
2019-02;95.29
2019-03;86.51
2019-04;128.70
2019-05;136.91
2019-06;115.70
2019-07;147.78
2019-08;89.91
2019-09;130.71
2019-10;105.64
2019-11;98.83
2019-12;106.19
2020-01;75.14
2020-02;94.74
2020-03;104.31
2020-04;88.13
2020-05;56.87
2020-06;83.53
2020-07;129.21
2020-08;142.00
2020-09;88.25
2020-10;104.97
2020-11;92.93
2020-12;115.41
2021-01;83.99
2021-02;79.51
2021-03;66.53
2021-04;107.21
2021-05;126.65
2021-06;87.10
2021-07;98.72
2021-08;164.25
2021-09;182.72
2021-10;116.48
2021-11;103.57
2021-12;71.33
2022-01;127.61
2022-02;67.82
2022-03;86.47
2022-04;115.01
2022-05;118.18
2022-06;131.06
2022-07;127.26
2022-08;95.53
2022-09;90.26
2022-10;96.64
2022-11;101.06
2022-12;83.82
2023-01;95.62
2023-02;136.17
2023-03;104.43
2023-04;92.22
2023-05;109.81
2023-06;113.53
2023-07;87.78
2023-08;101.26
2023-09;79.44
2023-10;127.64
2023-11;93.11
2023-12;98.54
2024-01;105.22
2024-02;93.79
2024-03;139.23
2024-04;121.17
2024-05;105.47
2024-06;115.46
2024-07;119.35
2024-08;131.74
2024-09;94.67
2024-10;138.39
2024-11;86.45
2024-12;112.47
2025-01;100.60
2025-02;108.25
2025-03;109.35
2025-04;137.76
2025-05;167.80
2025-06;99.10
2025-07;122.81
2025-08;132.10
2025-09;117.98
2025-10;132.92
2025-11;154.42
2025-12;127.79
2026-01;108.17
2026-02;132.52
2026-03;93.62
2026-04;66.35
2026-05;55.57
2026-06;60.44
2026-07;74.14
2026-08;20.06
