Date;Total;Period End Date
2018-01-05;0.00;2018-01-05
2018-01-12;0.00;2018-01-12
2018-01-19;0.00;2018-01-19
2018-01-26;0.00;2018-01-26
2018-02-02;0.00;2018-02-02
2018-02-09;0.00;2018-02-09
2018-02-16;0.00;2018-02-16
2018-02-23;0.00;2018-02-23
2018-03-02;0.00;2018-03-02
2018-03-09;41.14;2018-03-09
2018-03-16;0.00;2018-03-16
2018-03-23;0.00;2018-03-23
2018-03-30;0.00;2018-03-30
2018-04-06;0.00;2018-04-06
2018-04-13;49.25;2018-04-13
2018-04-20;0.00;2018-04-20
2018-04-27;0.00;2018-04-27
2018-05-04;0.00;2018-05-04
2018-05-11;0.00;2018-05-11
2018-05-18;0.00;2018-05-18
2018-05-25;0.00;2018-05-25
2018-06-01;11.96;2018-06-01
2018-06-08;14.55;2018-06-08
2018-06-15;47.27;2018-06-15
2018-06-22;0.00;2018-06-22
2018-06-29;39.26;2018-06-29
2018-07-06;0.00;2018-07-06
2018-07-13;18.93;2018-07-13
2018-07-20;0.00;2018-07-20
2018-07-27;0.00;2018-07-27
2018-08-03;0.00;2018-08-03
2018-08-10;0.00;2018-08-10
2018-08-17;0.00;2018-08-17
2018-08-24;0.00;2018-08-24
2018-08-31;0.00;2018-08-31
2018-09-07;0.00;2018-09-07
2018-09-14;24.63;2018-09-14
2018-09-21;0.00;2018-09-21
2018-09-28;0.00;2018-09-28
2018-10-05;0.00;2018-10-05
2018-10-12;0.00;2018-10-12
2018-10-19;0.00;2018-10-19
2018-10-26;0.00;2018-10-26
2018-11-02;40.87;2018-11-02
2018-11-09;0.00;2018-11-09
2018-11-16;0.00;2018-11-16
2018-11-23;0.00;2018-11-23
2018-11-30;20.50;2018-11-30
2018-12-07;0.00;2018-12-07
2018-12-14;0.00;2018-12-14
2018-12-21;0.00;2018-12-21
2018-12-28;0.00;2018-12-28
2019-01-04;0.00;2019-01-04
2019-01-11;0.00;2019-01-11
2019-01-18;22.58;2019-01-18
2019-01-25;39.25;2019-01-25
2019-02-01;0.00;2019-02-01
2019-02-08;0.00;2019-02-08
2019-02-15;0.00;2019-02-15
2019-02-22;49.23;2019-02-22
2019-03-01;41.38;2019-03-01
2019-03-08;0.00;2019-03-08
2019-03-15;40.86;2019-03-15
2019-03-22;16.38;2019-03-22
2019-03-29;43.31;2019-03-29
2019-04-05;0.00;2019-04-05
2019-04-12;42.64;2019-04-12
2019-04-19;0.00;2019-04-19
2019-04-26;43.31;2019-04-26
2019-05-03;0.00;2019-05-03
2019-05-10;0.00;2019-05-10
2019-05-17;38.31;2019-05-17
2019-05-24;41.46;2019-05-24
2019-05-31;0.00;2019-05-31
2019-06-07;0.00;2019-06-07
2019-06-14;0.00;2019-06-14
2019-06-21;0.00;2019-06-21
2019-06-28;14.76;2019-06-28
2019-07-05;0.00;2019-07-05
2019-07-12;0.00;2019-07-12
2019-07-19;0.00;2019-07-19
2019-07-26;38.78;2019-07-26
2019-08-02;0.00;2019-08-02
2019-08-09;0.00;2019-08-09
2019-08-16;0.00;2019-08-16
2019-08-23;49.83;2019-08-23
2019-08-30;0.00;2019-08-30
2019-09-06;0.00;2019-09-06
2019-09-13;0.00;2019-09-13
2019-09-20;0.00;2019-09-20
2019-09-27;49.34;2019-09-27
2019-10-04;38.83;2019-10-04
2019-10-11;0.00;2019-10-11
2019-10-18;0.00;2019-10-18
2019-10-25;0.00;2019-10-25
2019-11-01;0.00;2019-11-01
2019-11-08;0.00;2019-11-08
2019-11-15;0.00;2019-11-15
2019-11-22;0.00;2019-11-22
2019-11-29;40.13;2019-11-29
2019-12-06;0.00;2019-12-06
2019-12-13;0.00;2019-12-13
2019-12-20;0.00;2019-12-20
2019-12-27;0.00;2019-12-27
2020-01-03;0.00;2020-01-03
2020-01-10;0.00;2020-01-10
2020-01-17;0.00;2020-01-17
2020-01-24;0.00;2020-01-24
2020-01-31;0.00;2020-01-31
2020-02-07;0.00;2020-02-07
2020-02-14;0.00;2020-02-14
2020-02-21;0.00;2020-02-21
2020-02-28;0.00;2020-02-28
2020-03-06;0.00;2020-03-06
2020-03-13;0.00;2020-03-13
2020-03-20;0.00;2020-03-20
2020-03-27;0.00;2020-03-27
2020-04-03;0.00;2020-04-03
2020-04-10;0.00;2020-04-10
2020-04-17;0.00;2020-04-17
2020-04-24;0.00;2020-04-24
2020-05-01;0.00;2020-05-01
2020-05-08;0.00;2020-05-08
2020-05-15;0.00;2020-05-15
2020-05-22;0.00;2020-05-22
2020-05-29;0.00;2020-05-29
2020-06-05;15.72;2020-06-05
2020-06-12;0.00;2020-06-12
2020-06-19;0.00;2020-06-19
2020-06-26;0.00;2020-06-26
2020-07-03;0.00;2020-07-03
2020-07-10;0.00;2020-07-10
2020-07-17;0.00;2020-07-17
2020-07-24;0.00;2020-07-24
2020-07-31;0.00;2020-07-31
2020-08-07;0.00;2020-08-07
2020-08-14;0.00;2020-08-14
2020-08-21;0.00;2020-08-21
2020-08-28;0.00;2020-08-28
2020-09-04;0.00;2020-09-04
2020-09-11;0.00;2020-09-11
2020-09-18;0.00;2020-09-18
2020-09-25;0.00;2020-09-25
2020-10-02;0.00;2020-10-02
2020-10-09;0.00;2020-10-09
2020-10-16;0.00;2020-10-16
2020-10-23;0.00;2020-10-23
2020-10-30;0.00;2020-10-30
2020-11-06;0.00;2020-11-06
2020-11-13;0.00;2020-11-13
2020-11-20;0.00;2020-11-20
2020-11-27;0.00;2020-11-27
2020-12-04;0.00;2020-12-04
2020-12-11;0.00;2020-12-11
2020-12-18;0.00;2020-12-18
2020-12-25;0.00;2020-12-25
2021-01-01;0.00;2021-01-01
2021-01-08;0.00;2021-01-08
2021-01-15;0.00;2021-01-15
2021-01-22;0.00;2021-01-22
2021-01-29;0.00;2021-01-29
2021-02-05;0.00;2021-02-05
2021-02-12;0.00;2021-02-12
2021-02-19;0.00;2021-02-19
2021-02-26;0.00;2021-02-26
2021-03-05;0.00;2021-03-05
2021-03-12;0.00;2021-03-12
2021-03-19;0.00;2021-03-19
2021-03-26;0.00;2021-03-26
2021-04-02;0.00;2021-04-02
2021-04-09;0.00;2021-04-09
2021-04-16;0.00;2021-04-16
2021-04-23;0.00;2021-04-23
2021-04-30;0.00;2021-04-30
2021-05-07;0.00;2021-05-07
2021-05-14;0.00;2021-05-14
2021-05-21;0.00;2021-05-21
2021-05-28;0.00;2021-05-28
2021-06-04;0.00;2021-06-04
2021-06-11;0.00;2021-06-11
2021-06-18;0.00;2021-06-18
2021-06-25;0.00;2021-06-25
2021-07-02;0.00;2021-07-02
2021-07-09;0.00;2021-07-09
2021-07-16;0.00;2021-07-16
2021-07-23;0.00;2021-07-23
2021-07-30;0.00;2021-07-30
2021-08-06;6.57;2021-08-06
2021-08-13;0.00;2021-08-13
2021-08-20;0.00;2021-08-20
2021-08-27;0.00;2021-08-27
2021-09-03;0.00;2021-09-03
2021-09-10;46.74;2021-09-10
2021-09-17;0.00;2021-09-17
2021-09-24;0.00;2021-09-24
2021-10-01;0.00;2021-10-01
2021-10-08;0.00;2021-10-08
2021-10-15;0.00;2021-10-15
2021-10-22;0.00;2021-10-22
2021-10-29;0.00;2021-10-29
2021-11-05;0.00;2021-11-05
2021-11-12;11.21;2021-11-12
2021-11-19;0.00;2021-11-19
2021-11-26;0.00;2021-11-26
2021-12-03;0.00;2021-12-03
2021-12-10;0.00;2021-12-10
2021-12-17;0.00;2021-12-17
2021-12-24;0.00;2021-12-24
2021-12-31;0.00;2021-12-31
2022-01-07;0.00;2022-01-07
2022-01-14;0.00;2022-01-14
2022-01-21;0.00;2022-01-21
2022-01-28;0.00;2022-01-28
2022-02-04;0.00;2022-02-04
2022-02-11;0.00;2022-02-11
2022-02-18;0.00;2022-02-18
2022-02-25;0.00;2022-02-25
2022-03-04;0.00;2022-03-04
2022-03-11;0.00;2022-03-11
2022-03-18;0.00;2022-03-18
2022-03-25;0.00;2022-03-25
2022-04-01;0.00;2022-04-01
2022-04-08;0.00;2022-04-08
2022-04-15;0.00;2022-04-15
2022-04-22;0.00;2022-04-22
2022-04-29;0.00;2022-04-29
2022-05-06;0.00;2022-05-06
2022-05-13;0.00;2022-05-13
2022-05-20;0.00;2022-05-20
2022-05-27;0.00;2022-05-27
2022-06-03;28.65;2022-06-03
2022-06-10;0.00;2022-06-10
2022-06-17;0.00;2022-06-17
2022-06-24;0.00;2022-06-24
2022-07-01;0.00;2022-07-01
2022-07-08;0.00;2022-07-08
2022-07-15;0.00;2022-07-15
2022-07-22;0.00;2022-07-22
2022-07-29;0.00;2022-07-29
2022-08-05;0.00;2022-08-05
2022-08-12;0.00;2022-08-12
2022-08-19;17.35;2022-08-19
2022-08-26;0.00;2022-08-26
2022-09-02;0.00;2022-09-02
2022-09-09;0.00;2022-09-09
2022-09-16;0.00;2022-09-16
2022-09-23;25.26;2022-09-23
2022-09-30;0.00;2022-09-30
2022-10-07;12.18;2022-10-07
2022-10-14;0.00;2022-10-14
2022-10-21;0.00;2022-10-21
2022-10-28;0.00;2022-10-28
2022-11-04;0.00;2022-11-04
2022-11-11;0.00;2022-11-11
2022-11-18;0.00;2022-11-18
2022-11-25;20.70;2022-11-25
2022-12-02;0.00;2022-12-02
2022-12-09;0.00;2022-12-09
2022-12-16;0.00;2022-12-16
2022-12-23;0.00;2022-12-23
2022-12-30;0.00;2022-12-30
2023-01-06;0.00;2023-01-06
2023-01-13;0.00;2023-01-13
2023-01-20;0.00;2023-01-20
2023-01-27;0.00;2023-01-27
2023-02-03;0.00;2023-02-03
2023-02-10;0.00;2023-02-10
2023-02-17;0.00;2023-02-17
2023-02-24;0.00;2023-02-24
2023-03-03;0.00;2023-03-03
2023-03-10;17.82;2023-03-10
2023-03-17;0.00;2023-03-17
2023-03-24;13.43;2023-03-24
2023-03-31;0.00;2023-03-31
2023-04-07;0.00;2023-04-07
2023-04-14;0.00;2023-04-14
2023-04-21;0.00;2023-04-21
2023-04-28;0.00;2023-04-28
2023-05-05;0.00;2023-05-05
2023-05-12;0.00;2023-05-12
2023-05-19;0.00;2023-05-19
2023-05-26;0.00;2023-05-26
2023-06-02;0.00;2023-06-02
2023-06-09;63.21;2023-06-09
2023-06-16;0.00;2023-06-16
2023-06-23;0.00;2023-06-23
2023-06-30;0.00;2023-06-30
2023-07-07;0.00;2023-07-07
2023-07-14;0.00;2023-07-14
2023-07-21;27.22;2023-07-21
2023-07-28;0.00;2023-07-28
