period;originCountries;quantity
2018-01-05;Colombia;12.89
2018-01-05;South Korea;53.54
2018-01-12;Canada;49.34
2018-01-12;Colombia;35.36
2018-01-19;Canada;18.08
2018-01-19;India;72.91
2018-01-19;South Korea;51.83
2018-01-26;Canada;12.24
2018-01-26;India;42.86
2018-01-26;Kuwait;30.86
2018-01-26;South Korea;25.02
2018-02-02;Canada;39.36
2018-02-02;India;49.97
2018-02-02;South Korea;18.07
2018-02-09;South Korea;26.56
2018-02-09;Venezuela;34.77
2018-02-16;Canada;19.29
2018-02-23;India;71.81
2018-03-02;Canada;19.29
2018-03-02;United States Virgin Islands;28.72
2018-03-09;China;14.29
2018-03-16;Canada;6.56
2018-03-16;China;22.85
2018-03-16;Venezuela;40.09
2018-03-23;Canada;15.80
2018-03-23;Venezuela;31.54
2018-03-30;Germany;13.53
2018-03-30;India;12.76
2018-04-06;Canada;67.62
2018-04-06;Germany;20.29
2018-04-13;Canada;5.52
2018-04-13;India;35.29
2018-04-20;Canada;12.10
2018-04-20;India;54.92
2018-04-27;Canada;22.28
2018-04-27;India;46.86
2018-04-27;South Korea;1.18
2018-05-04;India;52.14
2018-05-11;Canada;27.14
2018-05-11;India;32.19
2018-05-18;Canada;62.40
2018-05-25;Canada;12.86
2018-05-25;Kuwait;30.00
2018-06-01;Canada;12.24
2018-06-01;India;39.22
2018-06-01;Japan;25.00
2018-06-01;South Korea;14.29
2018-06-08;Canada;12.86
2018-06-15;Canada;50.43
2018-06-15;Venezuela;34.21
2018-06-22;Canada;25.25
2018-06-22;South Korea;59.79
2018-06-29;Canada;19.29
2018-06-29;South Korea;29.97
2018-07-06;South Korea;74.51
2018-07-13;Canada;17.14
2018-07-20;South Korea;63.51
2018-07-27;Canada;19.29
2018-07-27;India;39.52
2018-07-27;South Korea;70.99
2018-08-03;Canada;21.08
2018-08-03;Colombia;15.41
2018-08-10;Canada;54.30
2018-08-10;India;46.43
2018-08-17;Canada;19.29
2018-08-17;South Korea;70.41
2018-08-24;Canada;35.40
2018-08-24;South Korea;23.57
2018-08-31;Canada;38.57
2018-08-31;India;55.58
2018-09-14;Canada;24.86
2018-09-14;South Korea;10.85
2018-09-21;Canada;17.39
2018-09-21;Colombia;24.67
2018-09-21;India;59.65
2018-09-21;South Korea;154.14
2018-09-28;Canada;5.43
2018-09-28;South Korea;114.68
2018-10-05;Canada;46.67
2018-10-05;Colombia;8.85
2018-10-05;India;57.17
2018-10-12;Canada;4.57
2018-10-19;India;46.23
2018-10-19;South Korea;60.20
2018-10-26;Saudi Arabia;43.36
2018-11-02;Canada;49.25
2018-11-09;United States Virgin Islands;38.91
2018-11-16;Bahamas;14.25
2018-11-16;Canada;17.14
2018-11-16;Spain;32.86
2018-11-23;Canada;6.43
2018-11-23;Japan;38.56
2018-12-07;Canada;48.16
2018-12-07;Saudi Arabia;56.14
2018-12-14;Canada;17.14
2018-12-21;Canada;4.59
2018-12-28;Saudi Arabia;40.02
2018-12-28;Trinidad and Tobago;6.21
2019-01-04;Canada;9.38
2019-01-04;Bahamas;47.72
2019-01-04;Canada;18.76
2019-01-11;Kuwait;10.83
2019-01-11;Saudi Arabia;57.71
2019-01-11;United Arab Emirates;24.88
2019-01-18;China;39.34
2019-01-25;Canada;24.38
2019-01-25;India;56.25
2019-02-01;Canada;41.46
2019-02-01;India;56.88
2019-02-01;United States Virgin Islands;12.18
2019-02-08;Canada;11.43
2019-02-08;Qatar;36.34
2019-02-08;South Korea;112.99
2019-02-15;Canada;24.68
2019-02-15;Saudi Arabia;47.13
2019-02-15;South Korea;35.41
2019-02-22;Canada;18.82
2019-02-22;India;47.14
2019-02-22;Italy;39.11
2019-03-01;Canada;9.38
2019-03-01;Saudi Arabia;34.29
2019-03-08;Canada;54.67
2019-03-08;Saudi Arabia;86.86
2019-03-15;Canada;25.13
2019-03-15;South Korea;17.71
2019-03-22;Canada;19.29
2019-03-22;South Korea;10.71
2019-03-29;Saudi Arabia;34.00
2019-03-29;South Korea;42.35
2019-04-05;Canada;25.05
2019-04-05;India;57.86
2019-04-05;Qatar;6.58
2019-04-05;Saudi Arabia;62.09
2019-04-05;South Korea;41.81
2019-04-12;Canada;59.29
2019-04-12;South Korea;24.29
2019-04-19;Canada;19.29
2019-04-19;South Korea;21.92
2019-04-26;Canada;15.71
2019-04-26;India;50.57
2019-05-03;Canada;27.57
2019-05-10;Canada;49.16
2019-05-17;Canada;6.43
2019-05-17;India;44.29
2019-05-17;South Korea;69.91
2019-05-24;Canada;31.71
2019-05-31;Canada;14.29
2019-06-07;Canada;45.53
2019-06-07;India;43.09
2019-06-14;South Korea;71.15
2019-06-21;Canada;72.63
2019-06-28;Canada;7.02
2019-06-28;Japan;21.96
2019-07-05;South Korea;50.31
2019-07-05;Canada;54.17
2019-07-05;South Korea;50.31
2019-07-12;Canada;26.75
2019-07-12;Kuwait;36.35
2019-07-12;United Arab Emirates;38.31
2019-07-19;Canada;29.24
2019-07-19;South Korea;11.43
2019-07-19;United Arab Emirates;33.58
2019-07-26;Canada;52.86
2019-07-26;India;56.14
2019-07-26;South Korea;43.80
2019-08-02;Canada;27.14
2019-08-09;Canada;19.71
2019-08-09;Spain;1.69
2019-08-16;Canada;19.29
