Date;Total;Period End Date
2018-01-05;35.81;2018-01-05
2018-01-12;6.36;2018-01-12
2018-01-19;31.87;2018-01-19
2018-01-26;0.00;2018-01-26
2018-02-02;0.00;2018-02-02
2018-02-09;46.33;2018-02-09
2018-02-16;21.64;2018-02-16
2018-02-23;0.00;2018-02-23
2018-03-02;48.57;2018-03-02
2018-03-09;19.21;2018-03-09
2018-03-16;0.00;2018-03-16
2018-03-23;27.21;2018-03-23
2018-03-30;29.33;2018-03-30
2018-04-06;9.05;2018-04-06
2018-04-13;9.05;2018-04-13
2018-04-20;46.33;2018-04-20
2018-04-27;88.40;2018-04-27
2018-05-04;9.05;2018-05-04
2018-05-11;9.05;2018-05-11
2018-05-18;140.32;2018-05-18
2018-05-25;9.05;2018-05-25
2018-06-01;48.57;2018-06-01
2018-06-08;0.00;2018-06-08
2018-06-15;5.99;2018-06-15
2018-06-22;9.05;2018-06-22
2018-06-29;5.99;2018-06-29
2018-07-06;56.00;2018-07-06
2018-07-13;4.53;2018-07-13
2018-07-20;9.05;2018-07-20
2018-07-27;8.61;2018-07-27
2018-08-03;9.05;2018-08-03
2018-08-10;9.05;2018-08-10
2018-08-17;0.00;2018-08-17
2018-08-24;5.21;2018-08-24
2018-08-31;3.10;2018-08-31
2018-09-07;0.00;2018-09-07
2018-09-14;9.05;2018-09-14
2018-09-21;5.58;2018-09-21
2018-09-28;0.00;2018-09-28
2018-10-05;0.00;2018-10-05
2018-10-12;22.62;2018-10-12
2018-10-19;5.58;2018-10-19
2018-10-26;9.05;2018-10-26
2018-11-02;0.00;2018-11-02
2018-11-09;20.60;2018-11-09
2018-11-16;0.00;2018-11-16
2018-11-23;0.00;2018-11-23
2018-11-30;9.05;2018-11-30
2018-12-07;9.70;2018-12-07
2018-12-14;9.70;2018-12-14
2018-12-21;56.03;2018-12-21
2018-12-28;15.40;2018-12-28
2019-01-04;12.76;2019-01-04
2019-01-11;6.69;2019-01-11
2019-01-18;38.73;2019-01-18
2019-01-25;9.70;2019-01-25
2019-02-01;0.00;2019-02-01
2019-02-08;80.67;2019-02-08
2019-02-15;9.70;2019-02-15
2019-02-22;7.42;2019-02-22
2019-03-01;9.70;2019-03-01
2019-03-08;4.88;2019-03-08
2019-03-15;4.88;2019-03-15
2019-03-22;9.75;2019-03-22
2019-03-29;9.75;2019-03-29
2019-04-05;0.00;2019-04-05
2019-04-12;19.37;2019-04-12
2019-04-19;9.75;2019-04-19
2019-04-26;19.23;2019-04-26
2019-05-03;0.00;2019-05-03
2019-05-10;9.28;2019-05-10
2019-05-17;55.61;2019-05-17
2019-05-24;9.28;2019-05-24
2019-05-31;100.01;2019-05-31
2019-06-07;26.24;2019-06-07
2019-06-14;9.28;2019-06-14
2019-06-21;0.00;2019-06-21
2019-06-28;9.28;2019-06-28
2019-07-05;2.94;2019-07-05
2019-07-12;15.29;2019-07-12
2019-07-19;33.17;2019-07-19
2019-07-26;0.00;2019-07-26
2019-08-02;31.79;2019-08-02
2019-08-09;0.00;2019-08-09
2019-08-16;0.00;2019-08-16
2019-08-23;15.94;2019-08-23
2019-08-30;4.33;2019-08-30
2019-09-06;0.00;2019-09-06
2019-09-13;4.49;2019-09-13
2019-09-20;29.02;2019-09-20
2019-09-27;9.28;2019-09-27
2019-10-04;21.18;2019-10-04
2019-10-11;9.28;2019-10-11
2019-10-18;33.17;2019-10-18
2019-10-25;14.09;2019-10-25
2019-11-01;30.31;2019-11-01
2019-11-08;30.93;2019-11-08
2019-11-15;6.14;2019-11-15
2019-11-22;84.46;2019-11-22
2019-11-29;53.95;2019-11-29
2019-12-06;81.89;2019-12-06
2019-12-13;49.18;2019-12-13
2019-12-20;70.69;2019-12-20
2019-12-27;31.79;2019-12-27
2020-01-03;5.34;2020-01-03
2020-01-10;41.07;2020-01-10
2020-01-17;97.18;2020-01-17
2020-01-24;77.03;2020-01-24
2020-01-31;36.27;2020-01-31
2020-02-07;47.23;2020-02-07
2020-02-14;9.28;2020-02-14
2020-02-21;42.45;2020-02-21
2020-02-28;41.07;2020-02-28
2020-03-06;9.28;2020-03-06
2020-03-13;33.19;2020-03-13
