Date;Latin America;East Coast Canada;North West Europe Zone;MED Zone (MED Sea+Black Sea);Unknown;Western Africa;West Coast Canada;Other North Africa;Oceania;Eastern Asia;Other Southern Europe;Southern Africa;Period End Date
2018-01-05;87.19;45.62;0;0;0;0;0;0;0;0;0;0;2018-01-05
2018-01-12;86.93;38.06;0;48.10;0;0;0;0;0;0;0;0;2018-01-12
2018-01-19;187.26;43.02;0;0;1.08;0;0;0;0;0;0;0;2018-01-19
2018-01-26;94.69;88.38;0;0;0;0;0;0;0;0;0;0;2018-01-26
2018-02-02;87.13;0;0;0;0;0;0;0;0;0;0;0;2018-02-02
2018-02-09;99.79;0;0;0;0;0;0;0;0;0;0;0;2018-02-09
2018-02-16;46.95;0;37.22;50.97;0;0;0;0;0;0;0;0;2018-02-16
2018-02-23;99.93;0;45.30;0;21.65;0;0;0;0;0;0;0;2018-02-23
2018-03-02;85.75;0;0;0;35.69;3.60;0;0;0;0;0;0;2018-03-02
2018-03-09;44.55;0;46.77;0;0;89.07;0;0;0;0;0;0;2018-03-09
2018-03-16;135.08;0;0;0;0;0;0;0;0;0;0;0;2018-03-16
2018-03-23;124.28;0;128.44;0;0;0;0;0;0;0;0;0;2018-03-23
2018-03-30;196.22;45.39;43.31;0;0;0;0;0;0;0;0;0;2018-03-30
2018-04-06;201.29;45.47;0;0;0;0;0;0;0;0;0;0;2018-04-06
2018-04-13;114.66;0;65.10;0;0;0;0;0;0;0;0;0;2018-04-13
2018-04-20;217.46;87.43;0;0;0;0;0;0;0;0;0;0;2018-04-20
2018-04-27;60.02;36.65;0;0;0;0;0;0;0;0;0;0;2018-04-27
2018-05-04;111.21;62.73;42.86;0;0;0;0;0;0;0;0;0;2018-05-04
2018-05-11;168.70;53.69;41.29;11.01;36.38;46.79;0;0;0;0;0;0;2018-05-11
2018-05-18;62.41;0;43.52;46.15;0;0;0;0;0;0;0;0;2018-05-18
2018-05-25;142.87;0;0;0;0;0;0;0;0;0;0;0;2018-05-25
2018-06-01;114.55;0;65.73;14.10;2.54;40.08;0;0;0;0;0;0;2018-06-01
2018-06-08;32.71;0;45.65;0;0;47.20;0;0;0;0;0;0;2018-06-08
2018-06-15;119.42;0;93.45;0;0;0;0;0;0;0;0;0;2018-06-15
2018-06-22;204.24;0;0;0;0;0;0;0;0;0;0;0;2018-06-22
2018-06-29;106.26;40.02;0;0;0;0;0;0;0;0;0;0;2018-06-29
2018-07-06;157.60;45.04;92.28;0;2.22;0;0;0;0;0;0;0;2018-07-06
2018-07-13;150.23;87.10;22.11;0;0;0;0;0;0;0;0;0;2018-07-13
2018-07-20;203.20;0;0;0;0;47.78;0;0;0;0;0;0;2018-07-20
2018-07-27;53.39;0;56.38;0;0;0;0;0;0;0;0;0;2018-07-27
2018-08-03;240.08;42.58;0;0;0;0;0;0;0;0;0;0;2018-08-03
2018-08-10;64.83;59.95;46.08;0;0;0;0;0;0;0;0;0;2018-08-10
2018-08-17;218.43;46.13;0;45.93;0;0;0;0;0;0;0;0;2018-08-17
2018-08-24;116.49;0;47.16;0;0;0;0;0;0;0;0;0;2018-08-24
2018-08-31;201.86;0;0;0;0;0;0;0;0;0;0;0;2018-08-31
2018-09-07;125.47;46.35;0;0;16.97;0;0;0;0;0;0;0;2018-09-07
2018-09-14;106.42;8.31;0;0;0;0;0;0;0;0;0;0;2018-09-14
2018-09-21;181.55;43.99;46.93;0;0;0;0;0;0;0;0;0;2018-09-21
2018-09-28;73.50;84.05;0;0;0;0;0;0;0;0;0;0;2018-09-28
2018-10-05;186.66;0;0;14.57;0;0;0;0;0;0;0;0;2018-10-05
2018-10-12;41.63;0;181.37;0;0.87;0;0;0;0;0;0;0;2018-10-12
2018-10-19;174.96;49.34;28.87;0;0;0;0;0;0;0;0;0;2018-10-19
2018-10-26;82.41;45.71;14.44;0;45.00;46.71;0;0;0;0;0;0;2018-10-26
2018-11-02;80.93;0;46.05;0;0;46.47;0;0;0;0;0;0;2018-11-02
2018-11-09;123.10;90.29;0;0;9.70;0;0;0;0;0;0;0;2018-11-09
2018-11-16;133.26;49.34;0;19.70;0;0;0;0;0;0;0;0;2018-11-16
2018-11-23;178.81;46.49;6.64;6.64;0;0;0;0;0;0;0;0;2018-11-23
2018-11-30;136.48;0;0;0;0;0;0;0;0;0;0;0;2018-11-30
2018-12-07;140.27;50.54;0;0;0;0;0;0;0;0;0;0;2018-12-07
2018-12-14;121.48;0;0;0;0;0;0;0;0;24.67;0;0;2018-12-14
2018-12-21;116.57;49.10;0;0;0;0;0;0;0;0;0;0;2018-12-21
2018-12-28;128.62;49.23;0;0;0;0;0;0;0;0;0;0;2018-12-28
2019-01-04;121.39;24.05;89.78;0;0;46.05;0;0;0;0;0;0;2019-01-04
2019-01-11;159.69;45.64;3.40;0;0;0;0;0;0;0;0;0;2019-01-11
2019-01-18;185.95;49.97;0;0;0;0;0;0;0;0;0;0;2019-01-18
2019-01-25;138.25;46.92;0;0;0;0;0;0;0;0;0;0;2019-01-25
2019-02-01;163.96;0;0;0;0;0;0;0;0;0;0;0;2019-02-01
2019-02-08;26.79;0;46.84;0;0;0;0;0;0;0;0;0;2019-02-08
2019-02-15;244.13;0;0;0;0;0;0;0;0;0;0;0;2019-02-15
2019-02-22;159.79;0;0;0;0;0;0;0;0;0;0;0;2019-02-22
2019-03-01;90.96;0;0;47.91;0;0;0;0;0;0;0;0;2019-03-01
2019-03-08;24.52;0;0;0;0;0;0;0;0;0;0;0;2019-03-08
2019-03-15;117.64;0;0;0;0;0;0;0;0;0;0;0;2019-03-15
2019-03-22;235.54;0;0;0;0.91;0;0;0;0;0;0;0;2019-03-22
2019-03-29;88.36;0;0;0;24.98;0;0;0;0;0;0;0;2019-03-29
2019-04-05;108.65;0;0;0;0;0;0;0;0;0;0;0;2019-04-05
2019-04-12;205.74;0;0;0;0;0;0;0;0;0;0;0;2019-04-12
2019-04-19;132.20;0;0;0;5.96;0;0;0;0;0;0;0;2019-04-19
2019-04-26;184.78;0;0;0;0;0;0;0;0;0;0;0;2019-04-26
2019-05-03;161.51;30.95;0;0;0;0;0;0;0;0;0;0;2019-05-03
2019-05-10;139.97;40.33;45.40;0;0;0;0;0;0;0;0;0;2019-05-10
2019-05-17;122.71;0;0;47.54;0;0;0;0;0;0;0;0;2019-05-17
2019-05-24;194.97;42.00;0;0;0;1.02;0;0;0;0;0;0;2019-05-24
2019-05-31;54.56;139.27;0;0;0;0;0;0;0;0;0;0;2019-05-31
2019-06-07;71.92;50.91;0;0;0;0;0;0;0;0;0;0;2019-06-07
2019-06-14;151.47;0;0;0;0;0;0;0;0;0;0;0;2019-06-14
2019-06-21;140.72;0;44.87;0;44.64;0;0;0;0;0;0;0;2019-06-21
2019-06-28;121.72;28.12;44.88;0;0;0;0;0;0;0;0;0;2019-06-28
2019-07-05;99.86;44.84;45.63;0;42.39;0;0;0;0;0;0;0;2019-07-05
2019-07-12;133.51;0;28.87;0;0;0;0;0;0;0;0;0;2019-07-12
2019-07-19;59.28;45.29;0;50.97;0;0;0;0;0;0;0;6.48;2019-07-19
2019-07-26;175.02;48.31;0;0;0;0;0;0;0;0;0;2.41;2019-07-26
2019-08-02;98.89;0;99.02;0;0;0;0;0;0;0;0;0;2019-08-02
2019-08-09;71.15;52.53;47.12;0;37.32;0;0;0;0;0;0;0;2019-08-09
2019-08-16;186.48;0;45.93;0;0;0;0;0;0;0;0;0;2019-08-16
2019-08-23;167.90;46.98;2.52;0;0;0;0;0;0;0;0;0;2019-08-23
2019-08-30;106.30;0;0;0;0;0;0;0;0;0;0;0;2019-08-30
2019-09-06;134.45;0;46.13;0;0;0;0;0;0;0;0;0;2019-09-06
2019-09-13;98.06;46.63;112.63;0;19.68;0;0;0;0;0;0;0;2019-09-13
2019-09-20;50.99;0;0;45.32;0;45.42;0;0;0;0;0;0;2019-09-20
2019-09-27;112.75;0;45.95;0;0;0;0;0;0;0;0;0;2019-09-27
2019-10-04;90.73;46.67;0;0;1.20;0;0;0;0;0;0;0;2019-10-04
2019-10-11;91.72;24.60;0;21.89;0;0;0;0;0;0;0;0;2019-10-11
2019-10-18;136.40;46.05;0;0;0;0;0;0;0;0;0;0;2019-10-18
2019-10-25;130.89;46.13;41.91;0;0;0;0;0;0;0;0;0;2019-10-25
2019-11-01;162.39;47.35;0;0;0;0;0;0;0;0;0;0;2019-11-01
2019-11-08;106.75;44.84;0;0;0;0;0;0;0;0;0;0;2019-11-08
2019-11-15;104.57;45.93;50.37;0;0;7.97;0;0;0;0;0;0;2019-11-15
2019-11-22;125.04;30.90;0;0;0.68;0;0;0;0;0;0;0;2019-11-22
2019-11-29;107.23;46.34;49.48;50.97;0;0;0;0;0;0;0;0;2019-11-29
2019-12-06;154.13;92.54;0;0;8.56;0;0;0;0;0;0;0;2019-12-06
2019-12-13;136.43;45.73;0;0;0;0;0;0;0;0;0;0;2019-12-13
2019-12-20;217.01;34.06;0;0;0;0;0;0;0;0;0;0;2019-12-20
2019-12-27;102.48;44.53;45.44;22.12;0;0;0;0;0;0;0;0;2019-12-27
2020-01-03;135.21;42.16;0;0;0;0;0;0;0;0;0;0;2020-01-03
2020-01-10;186.40;47.65;40.42;0;0;0;0;0;0;0;0;0;2020-01-10
2020-01-17;134.17;0;0;0;0;0;0;0;0;0;0;0;2020-01-17
2020-01-24;87.01;84.73;0;0;0;0;0;0;0;0;0;0;2020-01-24
2020-01-31;140.87;42.66;46.77;0;0;0;0;0;0;0;0;0;2020-01-31
2020-02-07;100.29;0;48.15;42.58;0;0;0;0;0;0;0;0;2020-02-07
2020-02-14;130.31;0;48.12;0;0;0;0;0;0;0;0;0;2020-02-14
2020-02-21;116.49;32.34;0;0;0;0;0;0;0;0;0;0;2020-02-21
2020-02-28;185.66;5.84;0;0;0;0;0;0;0;0;0;0;2020-02-28
2020-03-06;119.45;91.74;46.92;0;0;0;0;0;0;0;0;0;2020-03-06
2020-03-13;113.82;0;0;0;0;0;0;0;0;0;0;0;2020-03-13
2020-03-20;178.10;0;0;0;0;0;0;0;0;0;0;0;2020-03-20
2020-03-27;122.03;0;11.95;38.25;2.73;0;0;0;0;0;0;0;2020-03-27
2020-04-03;84.20;0;80.84;0;2.67;0;0;0;0;0;0;0;2020-04-03
2020-04-10;19.48;0;44.31;0;0;0;0;0;0;0;0;0;2020-04-10
2020-04-17;16.17;0;47.10;0;0;0;0;0;0;0;0;0;2020-04-17
2020-04-24;9.73;0;0;47.65;0;0;0;0;0;0;0;0;2020-04-24
2020-05-01;30.13;40.35;0;0;0;0;0;0;0;0;0;0;2020-05-01
2020-05-08;12.27;0;0;0;0;0;0;0;0;0;0;0;2020-05-08
2020-05-15;0;0;0;0;0;0;0;0;0;0;0;0;2020-05-15
2020-05-22;11.69;0;0;0;0;0;0;0;0;0;0;0;2020-05-22
2020-05-29;0;2.63;0;0;19.95;0;0;0;0;0;0;0;2020-05-29
2020-06-05;25.12;13.47;0;47.02;5.88;0;0;0;0;0;0;0;2020-06-05
2020-06-12;0;0;0;47.56;0;0;0;0;0;0;0;0;2020-06-12
2020-06-19;24.54;7.39;0;0;28.47;0;0;0;0;0;0;0;2020-06-19
2020-06-26;14.41;0;0;0;0;0;0;0;0;0;0;0;2020-06-26
2020-07-03;26.04;0;0;0;0;0;0;0;0;0;0;0;2020-07-03
2020-07-10;51.44;0;0;0;0;0;0;0;0;0;0;0;2020-07-10
2020-07-17;17.99;89.07;0;0;0;0;0;0;0;0;0;0;2020-07-17
2020-07-24;2.16;0;0;0;0;0;0;0;0;0;0;0;2020-07-24
2020-07-31;61.46;0;0;0;0;0;0;0;0;0;0;0;2020-07-31
2020-08-07;3.17;44.28;0;0;0;0;0;0;0;0;0;0;2020-08-07
2020-08-14;48.87;0;0;0;0;0;0;0;0;0;0;0;2020-08-14
2020-08-21;83.92;39.32;0;0;0;0;0;0;0;0;0;0;2020-08-21
2020-08-28;78.00;0;0;0;0;0;0;0;0;0;0;0;2020-08-28
2020-09-04;6.45;24.38;0;0;0;0;0;0;0;0;0;0;2020-09-04
2020-09-11;25.98;0;0;47.37;0;0;0;0;0;0;0;0;2020-09-11
2020-09-18;57.41;0;0;0;5.26;0;0;0;0;0;0;0;2020-09-18
2020-09-25;37.23;0;0;0;0;0;0;0;0;0;0;0;2020-09-25
2020-10-02;23.02;0;0;0;0;0;0;0;0;0;0;0;2020-10-02
2020-10-09;76.70;0;0;0;0;0;0;0;0;0;0;0;2020-10-09
2020-10-16;25.98;0;0;25.31;0;0;0;0;0;0;0;0;2020-10-16
2020-10-23;59.11;21.94;0;0;0;0;0;0;0;0;0;0;2020-10-23
2020-10-30;10.68;0;0;0;0;0;0;0;0;0;0;0;2020-10-30
2020-11-06;21.95;0;0;0;0;0;0;0;0;0;0;0;2020-11-06
2020-11-13;113.54;0;0;0;0;0;0;0;0;0;0;0;2020-11-13
2020-11-20;30.43;0;0;0;0;0;0;0;0;0;0;0;2020-11-20
2020-11-27;84.27;0;0;0;0;0;0;0;0;0;0;0;2020-11-27
2020-12-04;132.93;0;0;46.23;0;0;0;0;0;0;0;0;2020-12-04
2020-12-11;82.29;0;0;0;0;0;0;0;0;0;0;0;2020-12-11
2020-12-18;59.04;49.25;0;0;0;0;0;0;0;0;0;0;2020-12-18
2020-12-25;47.80;0;0;0;0;0;0;0;0;0;0;0;2020-12-25
2021-01-01;136.82;0;0;0;0;0;0;0;0;0;0;0;2021-01-01
2021-01-08;33.78;0;0;0;0;0;0;0;0;0;0;0;2021-01-08
2021-01-15;43.65;15.42;0;0;0;0;0;0;0;0;0;0;2021-01-15
2021-01-22;48.09;0;0;0;0;0;0;0;0;0;0;0;2021-01-22
2021-01-29;91.69;46.89;0;47.46;0;0;0;0;0;0;0;0;2021-01-29
2021-02-05;114.82;0;0;0;0;0;0;0;0;0;0;0;2021-02-05
2021-02-12;59.93;0;0;0;0;0;0;0;0;0;0;0;2021-02-12
2021-02-19;0.43;0;0;0;0;0;0;0;0;0;0;0;2021-02-19
2021-02-26;43.39;12.83;0;0;0;0;0;0;0;0;0;0;2021-02-26
2021-03-05;22.79;0;0;0;0;0;0;0;0;0;0;0;2021-03-05
2021-03-12;58.76;0;0;0;0;0;0;0;0;0;0;0;2021-03-12
2021-03-19;24.72;0;0;0;0;0;0;0;0;0;0;0;2021-03-19
