period;quantity
2018-01-05;0.00
2018-01-12;128.65
2018-01-19;146.23
2018-01-26;21.37
2018-02-02;23.62
2018-02-09;25.00
2018-02-16;43.57
2018-02-23;68.87
2018-03-02;136.37
2018-03-09;22.30
2018-03-16;20.66
2018-03-23;24.67
2018-03-30;88.15
2018-04-06;0.00
2018-04-13;68.92
2018-04-20;35.35
2018-04-27;189.28
2018-05-04;33.13
2018-05-11;193.32
2018-05-18;89.75
2018-05-25;49.34
2018-06-01;0.00
2018-06-08;87.36
2018-06-15;178.55
2018-06-22;0.00
2018-06-29;108.16
2018-07-06;19.29
2018-07-13;92.26
2018-07-20;195.27
2018-07-27;111.12
2018-08-03;0.00
2018-08-10;54.02
2018-08-17;127.05
2018-08-24;123.56
2018-08-31;80.40
2018-09-07;189.53
2018-09-14;127.12
2018-09-21;87.18
2018-09-28;92.40
2018-10-05;71.18
2018-10-12;52.95
2018-10-19;82.20
2018-10-26;67.82
2018-11-02;116.82
2018-11-09;44.94
2018-11-16;86.42
2018-11-23;44.72
2018-11-30;90.18
2018-12-07;44.96
2018-12-14;44.96
2018-12-21;81.22
2018-12-28;47.98
2019-01-04;105.62
2019-01-11;68.05
2019-01-18;32.16
2019-01-25;102.96
2019-02-01;96.07
2019-02-08;93.26
2019-02-15;106.45
2019-02-22;118.49
2019-03-01;51.21
2019-03-08;159.82
2019-03-15;62.81
2019-03-22;121.64
2019-03-29;38.85
2019-04-05;50.40
2019-04-12;208.00
2019-04-19;94.10
2019-04-26;156.43
2019-05-03;87.27
2019-05-10;191.99
2019-05-17;115.18
2019-05-24;93.93
2019-05-31;160.57
2019-06-07;82.41
2019-06-14;208.07
2019-06-21;0.00
2019-06-28;160.71
2019-07-05;65.36
2019-07-12;131.66
2019-07-19;204.04
2019-07-26;62.58
2019-08-02;247.24
2019-08-09;24.60
2019-08-16;132.60
2019-08-23;101.32
2019-08-30;97.62
2019-09-06;121.79
2019-09-13;154.58
2019-09-20;124.35
2019-09-27;100.38
2019-10-04;89.31
2019-10-11;138.80
2019-10-18;94.04
2019-10-25;131.28
2019-11-01;103.70
2019-11-08;89.77
2019-11-15;66.27
2019-11-22;105.26
2019-11-29;49.35
2019-12-06;228.90
2019-12-13;68.01
2019-12-20;71.32
2019-12-27;168.35
2020-01-03;46.62
2020-01-10;44.84
2020-01-17;94.97
2020-01-24;85.66
2020-01-31;63.19
2020-02-07;89.03
2020-02-14;87.40
2020-02-21;109.17
2020-02-28;89.31
2020-03-06;106.62
2020-03-13;136.15
2020-03-20;108.64
2020-03-27;40.14
2020-04-03;219.83
2020-04-10;61.35
2020-04-17;94.54
2020-04-24;89.07
2020-05-01;44.95
2020-05-08;44.67
2020-05-15;83.56
2020-05-22;79.40
2020-05-29;44.23
2020-06-05;0.00
2020-06-12;92.52
2020-06-19;127.47
2020-06-26;138.01
2020-07-03;44.30
2020-07-10;123.08
2020-07-17;134.94
2020-07-24;180.70
2020-07-31;89.19
2020-08-07;182.58
2020-08-14;132.08
2020-08-21;247.62
2020-08-28;66.56
2020-09-04;43.76
2020-09-11;118.02
2020-09-18;88.66
2020-09-25;82.77
2020-10-02;47.99
2020-10-09;160.19
2020-10-16;87.04
2020-10-23;90.67
2020-10-30;123.94
2020-11-06;90.03
2020-11-13;44.97
2020-11-20;139.92
2020-11-27;90.44
2020-12-04;121.71
2020-12-11;38.78
2020-12-18;130.90
2020-12-25;177.60
2021-01-01;75.04
2021-01-08;29.50
2021-01-15;71.81
2021-01-22;224.91
2021-01-29;45.71
2021-02-05;0.00
2021-02-12;41.72
2021-02-19;186.48
2021-02-26;89.86
2021-03-05;44.92
2021-03-12;0.00
2021-03-19;0.00
2021-03-26;177.90
2021-04-02;116.82
2021-04-09;2.98
2021-04-16;86.54
2021-04-23;275.59
2021-04-30;49.35
2021-05-07;121.36
2021-05-14;89.96
2021-05-21;217.37
2021-05-28;122.33
2021-06-04;31.89
2021-06-11;127.64
2021-06-18;177.45
2021-06-25;46.17
2021-07-02;0.00
2021-07-09;91.09
2021-07-16;148.58
2021-07-23;123.09
2021-07-30;74.45
2021-08-06;44.55
2021-08-13;269.38
2021-08-20;154.59
2021-08-27;166.16
2021-09-03;137.71
2021-09-10;229.43
2021-09-17;238.90
2021-09-24;134.51
2021-10-01;135.25
2021-10-08;25.63
2021-10-15;149.13
2021-10-22;148.97
2021-10-29;167.42
2021-11-05;24.67
2021-11-12;247.58
2021-11-19;53.05
2021-11-26;95.23
2021-12-03;117.00
2021-12-10;22.50
2021-12-17;80.75
2021-12-24;101.66
2021-12-31;42.01
2022-01-07;72.89
2022-01-14;132.85
2022-01-21;192.08
2022-01-28;76.88
2022-02-04;90.43
2022-02-11;43.91
2022-02-18;0.00
2022-02-25;184.95
2022-03-04;87.99
2022-03-11;98.77
2022-03-18;43.26
2022-03-25;175.73
2022-04-01;19.64
2022-04-08;74.77
2022-04-15;136.93
2022-04-22;103.64
2022-04-29;130.80
2022-05-06;121.71
2022-05-13;111.88
2022-05-20;102.70
2022-05-27;158.67
2022-06-03;111.85
2022-06-10;163.99
2022-06-17;120.06
2022-06-24;158.03
2022-07-01;26.47
2022-07-01;82.94
2022-07-08;68.27
2022-07-15;136.00
2022-07-22;161.42
2022-07-29;167.83
2022-08-05;121.18
2022-08-12;127.05
2022-08-19;54.31
2022-08-26;134.20
2022-09-02;16.37
2022-09-09;143.52
2022-09-16;65.00
2022-09-23;131.46
2022-09-30;46.84
2022-10-07;44.86
2022-10-14;46.43
2022-10-21;115.44
2022-10-28;165.93
2022-11-04;124.89
2022-11-11;165.87
2022-11-18;22.96
2022-11-25;129.54
2022-12-02;45.16
2022-12-09;87.36
2022-12-16;132.25
2022-12-23;106.69
2022-12-30;44.89
2023-01-06;47.14
2023-01-13;117.82
2023-01-20;139.20
2023-01-27;44.86
2023-02-03;89.45
2023-02-10;135.86
2023-02-17;55.71
2023-02-24;74.65
2023-03-03;363.43
2023-03-10;55.64
2023-03-17;121.88
2023-03-24;85.86
2023-03-31;99.14
2023-04-07;47.14
2023-04-14;198.25
2023-04-21;64.08
2023-04-28;85.76
2023-05-05;57.36
2023-05-12;123.88
2023-05-19;130.09
2023-05-26;127.89
2023-06-02;47.07
2023-06-09;101.35
2023-06-16;105.94
2023-06-23;159.84
2023-06-30;119.43
2023-07-07;35.86
2023-07-14;160.76
2023-07-21;86.36
2023-07-28;105.74
2023-08-04;97.84
2023-08-11;67.71
2023-08-18;105.39
2023-08-25;43.00
2023-09-01;134.49
2023-09-08;121.10
2023-09-15;54.88
2023-09-22;73.50
2023-09-29;90.98
2023-10-06;146.94
2023-10-13;152.65
2023-10-20;103.65
2023-10-27;117.06
2023-11-03;133.17
2023-11-10;45.37
2023-11-17;165.22
2023-11-24;100.24
2023-12-01;0.00
2023-12-08;93.72
2023-12-15;185.30
2023-12-22;56.67
2023-12-29;100.70
2024-01-05;42.21
2024-01-12;128.05
2024-01-19;113.77
2024-01-26;89.83
2024-02-02;106.40
2024-02-09;44.96
2024-02-16;136.61
2024-02-23;147.81
2024-03-01;44.88
2024-03-08;144.86
2024-03-15;42.06
2024-03-22;293.66
2024-03-29;67.82
2024-04-05;150.68
2024-04-12;77.58
2024-04-19;128.34
2024-04-26;116.76
2024-05-03;114.11
2024-05-10;46.65
2024-05-17;218.87
2024-05-24;134.12
2024-05-31;67.46
2024-06-07;59.98
2024-06-14;44.93
2024-06-21;255.91
2024-06-28;87.08
2024-07-05;59.77
2024-07-12;181.84
2024-07-19;199.60
2024-07-26;87.56
2024-08-02;46.68
2024-08-09;96.00
2024-08-16;232.53
2024-08-23;96.66
2024-08-30;158.22
2024-09-06;130.17
2024-09-13;106.36
2024-09-20;72.48
2024-09-27;72.85
2024-10-04;105.07
2024-10-11;231.15
2024-10-18;91.56
2024-10-25;89.86
2024-11-01;119.11
2024-11-08;52.64
2024-11-15;61.48
2024-11-22;162.22
2024-11-29;49.15
2024-12-06;225.17
2024-12-13;96.93
2024-12-20;65.59
2024-12-27;44.98
2025-01-03;130.43
2025-01-10;201.83
2025-01-17;60.70
2025-01-24;0.00
2025-01-31;162.94
2025-02-07;106.13
2025-02-14;53.48
2025-02-21;142.63
2025-02-28;130.75
2025-03-07;105.10
2025-03-14;72.98
2025-03-21;125.92
2025-03-28;161.66
2025-04-04;57.75
2025-04-11;120.30
2025-04-18;148.27
2025-04-25;194.70
2025-05-02;132.86
2025-05-09;173.77
2025-05-16;96.56
2025-05-23;133.44
2025-05-30;294.49
2025-06-06;32.85
2025-06-13;224.55
2025-06-20;122.34
2025-06-27;44.99
2025-07-04;138.86
2025-07-11;108.62
2025-07-18;207.21
2025-07-25;89.17
2025-08-01;0.00
2025-08-08;136.65
2025-08-15;110.15
2025-08-22;163.40
2025-08-29;58.18
2025-09-05;191.02
2025-09-12;144.17
2025-09-19;102.55
2025-09-26;93.74
2025-10-03;100.90
2025-10-10;155.44
2025-10-17;182.13
2025-10-24;76.55
2025-10-31;121.31
2025-11-07;143.77
2025-11-14;254.09
2025-11-21;88.95
2025-11-28;126.19
2025-12-05;172.33
2025-12-12;125.90
2025-12-19;246.73
2025-12-26;44.55
2025-12-26;44.55
2026-01-02;68.78
2026-01-09;120.08
2026-01-16;141.25
2026-01-23;38.96
2026-01-30;178.33
2026-02-06;49.39
2026-02-13;235.34
2026-02-20;57.84
2026-02-27;114.09
2026-03-06;79.57
2026-03-13;139.38
2026-03-20;100.88
2026-03-27;55.99
2026-04-03;112.18
2026-04-10;66.77
2026-04-17;104.02
2026-04-24;101.06
2026-05-01;12.51
2026-05-08;44.61
2026-05-15;78.81
2026-05-22;0.00
2026-05-29;85.47
2026-06-05;82.69
2026-06-12;42.86
2026-06-19;65.76
2026-06-26;28.25
2026-06-26;74.70
2026-07-03;74.50
2026-07-10;101.88
2026-07-17;64.17
2026-07-24;24.29
2026-07-31;59.76
2026-08-07;0.00
2026-08-14;0.00
2026-08-21;0.00
2026-08-28;0.00
