section,card,display_row,source_column,display_name,unit,scale,format,stock_flag,allowed_missing,direction,sort_order
CRUDE,Stocks,I,WCESTP11,I Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,1
CRUDE,Stocks,II,WCESTP21,II Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,2
CRUDE,Stocks,III,WCESTP31,III Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,3
CRUDE,Stocks,IV,WCESTP41,IV Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,4
CRUDE,Stocks,V,WCESTP51,V Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,5
CRUDE,Stocks,TOT,WCESTUS1,TOT Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,6
CRUDE,Stocks,CUSH,W_EPC0_SAX_YCUOK_MBBL,CUSH Stocks,Thousand Barrels,1000.0,mmb,true,false,lower_green,7
CRUDE,Production,TOT,WCRFPUS2,TOT Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,8
CRUDE,Crude Runs,I,WCRRIP12,I Runs,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,9
CRUDE,Crude Runs,II,WCRRIP22,II Runs,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,10
CRUDE,Crude Runs,III,WCRRIP32,III Runs,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,11
CRUDE,Crude Runs,IV,WCRRIP42,IV Runs,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,12
CRUDE,Crude Runs,V,WCRRIP52,V Runs,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,13
CRUDE,Crude Runs,TOT,WCRRIUS2,TOT Runs,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,14
CRUDE,Gross Inputs,I,WGIRIP12,I Inputs,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,15
CRUDE,Gross Inputs,II,WGIRIP22,II Inputs,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,16
CRUDE,Gross Inputs,III,WGIRIP32,III Inputs,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,17
CRUDE,Gross Inputs,IV,WGIRIP42,IV Inputs,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,18
CRUDE,Gross Inputs,V,WGIRIP52,V Inputs,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,19
CRUDE,Gross Inputs,TOT,WGIRIUS2,TOT Inputs,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,20
CRUDE,Utilization,I,W_NA_YUP_R10_PER,I Utilization,Percent,1.0,percent,false,false,higher_green,21
CRUDE,Utilization,II,W_NA_YUP_R20_PER,II Utilization,Percent,1.0,percent,false,false,higher_green,22
CRUDE,Utilization,III,W_NA_YUP_R30_PER,III Utilization,Percent,1.0,percent,false,false,higher_green,23
CRUDE,Utilization,V,W_NA_YUP_R50_PER,V Utilization,Percent,1.0,percent,false,false,higher_green,25
