source_column,series_name,region,subregion,product,metric,unit,period_type
WCRRIP12,weekly East Coast (PADD 1) Refiner Net Input of Crude Oil,East Coast,,(PADD 1) Refiner Net Input of Crude Oil,(PADD 1) Refiner Net Input of Crude Oil,Thousand Barrels per Day,weekly
WCRRIP22,weekly Midwest (PADD 2) Refiner Net Input of Crude Oil,Midwest,,(PADD 2) Refiner Net Input of Crude Oil,(PADD 2) Refiner Net Input of Crude Oil,Thousand Barrels per Day,weekly
WCRRIP32,weekly Gulf Coast (PADD 3) Refiner Net Input of Crude Oil,Gulf Coast,,(PADD 3) Refiner Net Input of Crude Oil,(PADD 3) Refiner Net Input of Crude Oil,Thousand Barrels per Day,weekly
WCRRIP42,weekly Rocky Mountain (PADD 4) Refiner Net Input of Crude Oil,Rocky Mountain,,(PADD 4) Refiner Net Input of Crude Oil,(PADD 4) Refiner Net Input of Crude Oil,Thousand Barrels per Day,weekly
WCRRIP52,weekly West Coast (PADD 5) Refiner Net Input of Crude Oil,West Coast,,(PADD 5) Refiner Net Input of Crude Oil,(PADD 5) Refiner Net Input of Crude Oil,Thousand Barrels per Day,weekly
WCRRIUS2,weekly U.S. Refiner Net Input of Crude Oil,U.S.,,Refiner Net Input of Crude Oil,Refiner Net Input of Crude Oil,Thousand Barrels per Day,weekly
WD0TP_NUS_2,"weekly U.S. Refiner and Blender Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur",U.S.,,"Refiner and Blender Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur","Refiner and Blender Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur",Thousand Barrels per Day,weekly
WD1TP_NUS_2,"weekly U.S. Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur",U.S.,,"Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur","Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur",Thousand Barrels per Day,weekly
WDGRPUS2,weekly U.S. Refiner and Blender Net Production of Distillate Fuel Oil Greater than 500 ppm Sulfur,U.S.,,Refiner and Blender Net Production of Distillate Fuel Oil Greater than 500 ppm Sulfur,Refiner and Blender Net Production of Distillate Fuel Oil Greater than 500 ppm Sulfur,Thousand Barrels per Day,weekly
WDIRPP12,weekly East Coast (PADD 1) Refiner and Blender Net Production of Distillate Fuel Oil,East Coast,,(PADD 1) Refiner and Blender Net Production of Distillate Fuel Oil,(PADD 1) Refiner and Blender Net Production of Distillate Fuel Oil,Thousand Barrels per Day,weekly
WDIRPP22,weekly Midwest (PADD 2) Refiner and Blender Net Production of Distillate Fuel Oil,Midwest,,(PADD 2) Refiner and Blender Net Production of Distillate Fuel Oil,(PADD 2) Refiner and Blender Net Production of Distillate Fuel Oil,Thousand Barrels per Day,weekly
WDIRPP32,weekly Gulf Coast (PADD 3) Refiner and Blender Net Production of Distillate Fuel Oil,Gulf Coast,,(PADD 3) Refiner and Blender Net Production of Distillate Fuel Oil,(PADD 3) Refiner and Blender Net Production of Distillate Fuel Oil,Thousand Barrels per Day,weekly
WDIRPP42,weekly Rocky Mountain (PADD 4) Refiner and Blender Net Production of Distillate Fuel Oil,Rocky Mountain,,(PADD 4) Refiner and Blender Net Production of Distillate Fuel Oil,(PADD 4) Refiner and Blender Net Production of Distillate Fuel Oil,Thousand Barrels per Day,weekly
WDIRPP52,weekly West Coast (PADD 5) Refiner and Blender Net Production of Distillate Fuel Oil,West Coast,,(PADD 5) Refiner and Blender Net Production of Distillate Fuel Oil,(PADD 5) Refiner and Blender Net Production of Distillate Fuel Oil,Thousand Barrels per Day,weekly
WDIRPUS2,weekly U.S. Refiner and Blender Net Production of Distillate Fuel Oil,U.S.,,Refiner and Blender Net Production of Distillate Fuel Oil,Refiner and Blender Net Production of Distillate Fuel Oil,Thousand Barrels per Day,weekly
WG4TP_NUS_2,weekly U.S. Refiner and Blender Net Production of Conventional Motor Gasoline,U.S.,,Refiner and Blender Net Production of Conventional Motor Gasoline,Refiner and Blender Net Production of Conventional Motor Gasoline,Thousand Barrels per Day,weekly
WGFRPP12,weekly East Coast (PADD 1) Refiner and Blender Net Production of Finished Motor Gasoline,East Coast,,(PADD 1) Refiner and Blender Net Production of Finished Motor Gasoline,(PADD 1) Refiner and Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WGFRPP22,weekly Midwest (PADD 2) Refiner and Blender Net Production of Finished Motor Gasoline,Midwest,,(PADD 2) Refiner and Blender Net Production of Finished Motor Gasoline,(PADD 2) Refiner and Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WGFRPP32,weekly Gulf Coast (PADD 3) Refiner and Blender Net Production of Finished Motor Gasoline,Gulf Coast,,(PADD 3) Refiner and Blender Net Production of Finished Motor Gasoline,(PADD 3) Refiner and Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WGFRPP42,weekly Rocky Mountain (PADD 4) Refiner and Blender Net Production of Finished Motor Gasoline,Rocky Mountain,,(PADD 4) Refiner and Blender Net Production of Finished Motor Gasoline,(PADD 4) Refiner and Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WGFRPP52,weekly West Coast (PADD 5) Refiner and Blender Net Production of Finished Motor Gasoline,West Coast,,(PADD 5) Refiner and Blender Net Production of Finished Motor Gasoline,(PADD 5) Refiner and Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WGFRPUS2,weekly U.S. Refiner and Blender Adjusted Net Production of Finished Motor Gasoline,U.S.,,Refiner and Blender Adjusted Net Production of Finished Motor Gasoline,Refiner and Blender Adjusted Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
WGIRIP12,weekly East Coast (PADD 1) Gross Inputs into Refineries,East Coast,,(PADD 1) Gross Inputs into Refineries,(PADD 1) Gross Inputs into Refineries,Thousand Barrels per Day,weekly
WGIRIP22,weekly Midwest (PADD 2) Gross Inputs into Refineries,Midwest,,(PADD 2) Gross Inputs into Refineries,(PADD 2) Gross Inputs into Refineries,Thousand Barrels per Day,weekly
WGIRIP32,weekly Gulf Coast (PADD 3) Gross Inputs into Refineries,Gulf Coast,,(PADD 3) Gross Inputs into Refineries,(PADD 3) Gross Inputs into Refineries,Thousand Barrels per Day,weekly
WGIRIP42,weekly Rocky Mountain (PADD 4) Gross Inputs into Refineries,Rocky Mountain,,(PADD 4) Gross Inputs into Refineries,(PADD 4) Gross Inputs into Refineries,Thousand Barrels per Day,weekly
WGIRIP52,weekly West Coast (PADD 5) Gross Inputs into Refineries,West Coast,,(PADD 5) Gross Inputs into Refineries,(PADD 5) Gross Inputs into Refineries,Thousand Barrels per Day,weekly
WGIRIUS2,weekly U.S. Gross Inputs into Refineries,U.S.,,Gross Inputs into Refineries,Gross Inputs into Refineries,Thousand Barrels per Day,weekly
WGRRPUS2,weekly U.S. Refiner and Blender Net Production of Reformulated Motor Gasoline,U.S.,,Refiner and Blender Net Production of Reformulated Motor Gasoline,Refiner and Blender Net Production of Reformulated Motor Gasoline,Thousand Barrels per Day,weekly
WKJRPP12,weekly East Coast (PADD 1) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,East Coast,,(PADD 1) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,(PADD 1) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,Thousand Barrels per Day,weekly
WKJRPP22,weekly Midwest (PADD 2) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,Midwest,,(PADD 2) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,(PADD 2) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,Thousand Barrels per Day,weekly
WKJRPP32,weekly Gulf Coast (PADD 3) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,Gulf Coast,,(PADD 3) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,(PADD 3) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,Thousand Barrels per Day,weekly
WKJRPP42,weekly Rocky Mountain (PADD 4) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,Rocky Mountain,,(PADD 4) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,(PADD 4) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,Thousand Barrels per Day,weekly
WKJRPP52,weekly West Coast (PADD 5) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,West Coast,,(PADD 5) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,(PADD 5) Refiner and Blender Net Production of Kerosene-Type Jet Fuel,Thousand Barrels per Day,weekly
WKJRPUS2,weekly U.S. Refiner and Blender Net Production of Kerosene-Type Jet Fuel,U.S.,,Refiner and Blender Net Production of Kerosene-Type Jet Fuel,Refiner and Blender Net Production of Kerosene-Type Jet Fuel,Thousand Barrels per Day,weekly
WOCLEUS2,weekly Total U. S. Operable Crude Oil Distillation Capacity,Total,,U. S. Operable Crude Oil Distillation Capacity,U. S. Operable Crude Oil Distillation Capacity,Thousand Barrels per Calendar Day,weekly
WPRNPP12,"weekly East Coast (PADD 1) Refiner, Blender, and Gas Plant Net Production of Propane and Propylene",East Coast,,"(PADD 1) Refiner, Blender, and Gas Plant Net Production of Propane and Propylene","(PADD 1) Refiner, Blender, and Gas Plant Net Production of Propane and Propylene",Thousand Barrels per Day,weekly
WPRNPP22,"weekly Midwest (PADD 2) Refiner, Blender, and Gas Plant Net Production of Propane and Propylene",Midwest,,"(PADD 2) Refiner, Blender, and Gas Plant Net Production of Propane and Propylene","(PADD 2) Refiner, Blender, and Gas Plant Net Production of Propane and Propylene",Thousand Barrels per Day,weekly
WPRNPP32,"weekly Gulf Coast (PADD 3) Refiner, Blender, and Gas Plant Net Production of Propane and Propylene",Gulf Coast,,"(PADD 3) Refiner, Blender, and Gas Plant Net Production of Propane and Propylene","(PADD 3) Refiner, Blender, and Gas Plant Net Production of Propane and Propylene",Thousand Barrels per Day,weekly
WPRTP_NUS_2,"weekly U.S. Refiner, Blender, and Gas Plant Net Production of Propane and Propylene",U.S.,,"Refiner, Blender, and Gas Plant Net Production of Propane and Propylene","Refiner, Blender, and Gas Plant Net Production of Propane and Propylene",Thousand Barrels per Day,weekly
WPULEUS3,weekly U.S. Percent Utilization of Refinery Operable Capacity,U.S.,,Percent Utilization of Refinery Operable Capacity,Percent Utilization of Refinery Operable Capacity,Percent,weekly
WRERPP12,weekly East Coast (PADD 1) Refiner and Blender Net Production of Residual Fuel Oil,East Coast,,(PADD 1) Refiner and Blender Net Production of Residual Fuel Oil,(PADD 1) Refiner and Blender Net Production of Residual Fuel Oil,Thousand Barrels per Day,weekly
WRERPP22,weekly Midwest (PADD 2) Refiner and Blender Net Production of Residual Fuel Oil,Midwest,,(PADD 2) Refiner and Blender Net Production of Residual Fuel Oil,(PADD 2) Refiner and Blender Net Production of Residual Fuel Oil,Thousand Barrels per Day,weekly
WRERPP32,weekly Gulf Coast (PADD 3) Refiner and Blender Net Production of Residual Fuel Oil,Gulf Coast,,(PADD 3) Refiner and Blender Net Production of Residual Fuel Oil,(PADD 3) Refiner and Blender Net Production of Residual Fuel Oil,Thousand Barrels per Day,weekly
WRERPP42,weekly Rocky Mountain (PADD 4) Refiner and Blender Net Production of Residual Fuel Oil,Rocky Mountain,,(PADD 4) Refiner and Blender Net Production of Residual Fuel Oil,(PADD 4) Refiner and Blender Net Production of Residual Fuel Oil,Thousand Barrels per Day,weekly
WRERPP52,weekly West Coast (PADD 5) Refiner and Blender Net Production of Residual Fuel Oil,West Coast,,(PADD 5) Refiner and Blender Net Production of Residual Fuel Oil,(PADD 5) Refiner and Blender Net Production of Residual Fuel Oil,Thousand Barrels per Day,weekly
WRERPUS2,weekly U.S. Refiner and Blender Net Production of Residual Fuel Oil,U.S.,,Refiner and Blender Net Production of Residual Fuel Oil,Refiner and Blender Net Production of Residual Fuel Oil,Thousand Barrels per Day,weekly
W_EPLLPZ_YPT_R4N5_MBBLD,"weekly Rocky Mountain (PADD 4) and West Coast (PADD 5) Refiner, Blender, and Gas Plant Net Production of Propane and Propylene",Rocky Mountain,,"(PADD 4) and West Coast (PADD 5) Refiner, Blender, and Gas Plant Net Production of Propane and Propylene","(PADD 4) and West Coast (PADD 5) Refiner, Blender, and Gas Plant Net Production of Propane and Propylene",Thousand Barrels per Day,weekly
W_EPM0F_VUA_NUS_MBBLD,weekly U.S. Supply Adjustment of Finished Motor Gasoline,U.S.,,Supply Adjustment of Finished Motor Gasoline,Supply Adjustment of Finished Motor Gasoline,Thousand Barrels per Day,weekly
W_EPM0F_YPR_NUS_MBBLD,weekly U.S. Refiner and Blender Net Production of Finished Motor Gasoline,U.S.,,Refiner and Blender Net Production of Finished Motor Gasoline,Refiner and Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
W_EPOOXE_YOP_NUS_MBBLD,weekly U.S. Oxygenate Plant Production of Fuel Ethanol,U.S.,,Oxygenate Plant Production of Fuel Ethanol,Oxygenate Plant Production of Fuel Ethanol,Thousand Barrels per Day,weekly
W_EPOOXE_YOP_R10_MBBLD,weekly East Coast (PADD 1) Oxygenate Plant Production of Fuel Ethanol,East Coast,,(PADD 1) Oxygenate Plant Production of Fuel Ethanol,(PADD 1) Oxygenate Plant Production of Fuel Ethanol,Thousand Barrels per Day,weekly
W_EPOOXE_YOP_R20_MBBLD,weekly Midwest (PADD 2) Oxygenate Plant Production of Fuel Ethanol,Midwest,,(PADD 2) Oxygenate Plant Production of Fuel Ethanol,(PADD 2) Oxygenate Plant Production of Fuel Ethanol,Thousand Barrels per Day,weekly
W_EPOOXE_YOP_R30_MBBLD,weekly Gulf Coast (PADD 3) Oxygenate Plant Production of Fuel Ethanol,Gulf Coast,,(PADD 3) Oxygenate Plant Production of Fuel Ethanol,(PADD 3) Oxygenate Plant Production of Fuel Ethanol,Thousand Barrels per Day,weekly
W_EPOOXE_YOP_R40_MBBLD,weekly Rocky Mountain (PADD 4) Oxygenate Plant Production of Fuel Ethanol,Rocky Mountain,,(PADD 4) Oxygenate Plant Production of Fuel Ethanol,(PADD 4) Oxygenate Plant Production of Fuel Ethanol,Thousand Barrels per Day,weekly
W_EPOOXE_YOP_R50_MBBLD,weekly West Coast (PADD 5) Oxygenate Plant Production of Fuel Ethanol,West Coast,,(PADD 5) Oxygenate Plant Production of Fuel Ethanol,(PADD 5) Oxygenate Plant Production of Fuel Ethanol,Thousand Barrels per Day,weekly
W_NA_YRL_R10_MBBLD,weekly East Coast (PADD 1) Operable Crude Oil Distillation Capacity,East Coast,,(PADD 1) Operable Crude Oil Distillation Capacity,(PADD 1) Operable Crude Oil Distillation Capacity,Thousand Barrels per Calendar Day,weekly
W_NA_YRL_R20_MBBLD,weekly Midwest (PADD 2) Operable Crude Oil Distillation Capacity,Midwest,,(PADD 2) Operable Crude Oil Distillation Capacity,(PADD 2) Operable Crude Oil Distillation Capacity,Thousand Barrels per Calendar Day,weekly
W_NA_YRL_R30_MBBLD,weekly Gulf Coast (PADD 3) Operable Crude Oil Distillation Capacity,Gulf Coast,,(PADD 3) Operable Crude Oil Distillation Capacity,(PADD 3) Operable Crude Oil Distillation Capacity,Thousand Barrels per Calendar Day,weekly
W_NA_YRL_R40_MBBLD,weekly Rocky Mountain s (PADD 4) Operable Crude Oil Distillation Capacity,Rocky Mountain,,s (PADD 4) Operable Crude Oil Distillation Capacity,s (PADD 4) Operable Crude Oil Distillation Capacity,Thousand Barrels per Calendar Day,weekly
W_NA_YRL_R50_MBBLD,weekly West Coast (PADD 5) Operable Crude Oil Distillation Capacity,West Coast,,(PADD 5) Operable Crude Oil Distillation Capacity,(PADD 5) Operable Crude Oil Distillation Capacity,Thousand Barrels per Calendar Day,weekly
W_NA_YUP_R10_PER,weekly East Coast (PADD 1) Percent Utilization of Refinery Operable Capacity,East Coast,,(PADD 1) Percent Utilization of Refinery Operable Capacity,(PADD 1) Percent Utilization of Refinery Operable Capacity,Percent,weekly
W_NA_YUP_R20_PER,weekly Midwest (PADD 2) Percent Utilization of Refinery Operable Capacity,Midwest,,(PADD 2) Percent Utilization of Refinery Operable Capacity,(PADD 2) Percent Utilization of Refinery Operable Capacity,Percent,weekly
W_NA_YUP_R30_PER,weekly Gulf Coast (PADD 3) Percent Utilization of Refinery Operable Capacity,Gulf Coast,,(PADD 3) Percent Utilization of Refinery Operable Capacity,(PADD 3) Percent Utilization of Refinery Operable Capacity,Percent,weekly
W_NA_YUP_R40_PER,weekly Rocky Mountain s (PADD 4) Percent Utilization of Refinery Operable Capacity,Rocky Mountain,,s (PADD 4) Percent Utilization of Refinery Operable Capacity,s (PADD 4) Percent Utilization of Refinery Operable Capacity,Percent,weekly
W_NA_YUP_R50_PER,weekly West Coast (PADD 5) Percent Utilization of Refinery Operable Capacity,West Coast,,(PADD 5) Percent Utilization of Refinery Operable Capacity,(PADD 5) Percent Utilization of Refinery Operable Capacity,Percent,weekly
W_EPD00H_YPB_NUS_MBBLD,"weekly U.S. Blender Net Production of Distillate Fuel Oil, Greater Than 500 ppm Sulfur",U.S.,,"Blender Net Production of Distillate Fuel Oil, Greater Than 500 ppm Sulfur","Blender Net Production of Distillate Fuel Oil, Greater Than 500 ppm Sulfur",Thousand Barrels per Day,weekly
W_EPD00H_YPY_NUS_MBBLD,"weekly U.S. Refiner Net Production of Distillate Fuel Oil, Greater Than 500 ppm Sulfur",U.S.,,"Refiner Net Production of Distillate Fuel Oil, Greater Than 500 ppm Sulfur","Refiner Net Production of Distillate Fuel Oil, Greater Than 500 ppm Sulfur",Thousand Barrels per Day,weekly
W_EPD0_YPB_NUS_MBBLD,weekly U.S. Blender Net Production of Distillate Fuel Oil,U.S.,,Blender Net Production of Distillate Fuel Oil,Blender Net Production of Distillate Fuel Oil,Thousand Barrels per Day,weekly
W_EPD0_YPY_NUS_MBBLD,weekly U.S. Refiner Net Production of Distillate Fuel Oil,U.S.,,Refiner Net Production of Distillate Fuel Oil,Refiner Net Production of Distillate Fuel Oil,Thousand Barrels per Day,weekly
W_EPDM10_YPB_NUS_MBBLD,"weekly U.S. Blender Net Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur",U.S.,,"Blender Net Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur","Blender Net Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur",Thousand Barrels per Day,weekly
W_EPDM10_YPY_NUS_MBBLD,"weekly U.S. Refiner Net Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur",U.S.,,"Refiner Net Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur","Refiner Net Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur",Thousand Barrels per Day,weekly
W_EPDXL0_YPB_NUS_MBBLD,"weekly U.S. Blender Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur",U.S.,,"Blender Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur","Blender Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur",Thousand Barrels per Day,weekly
W_EPDXL0_YPY_NUS_MBBLD,"weekly U.S. Refiner Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur",U.S.,,"Refiner Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur","Refiner Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur",Thousand Barrels per Day,weekly
W_EPJK_YPB_NUS_MBBLD,weekly U.S. Blender Net Production of Kerosene-Type Jet Fuel,U.S.,,Blender Net Production of Kerosene-Type Jet Fuel,Blender Net Production of Kerosene-Type Jet Fuel,Thousand Barrels per Day,weekly
W_EPJK_YPY_NUS_MBBLD,weekly U.S. Refiner Net Production of Kerosene-Type Jet Fuel,U.S.,,Refiner Net Production of Kerosene-Type Jet Fuel,Refiner Net Production of Kerosene-Type Jet Fuel,Thousand Barrels per Day,weekly
W_EPM0CAG55_YPB_NUS_MBBLD,"weekly U.S. Blender Net Production of Motor Gasoline, Finished, Conventional, Greater Than Ed55",U.S.,,"Blender Net Production of Motor Gasoline, Finished, Conventional, Greater Than Ed55","Blender Net Production of Motor Gasoline, Finished, Conventional, Greater Than Ed55",Thousand Barrels per Day,weekly
W_EPM0CAG55_YPY_NUS_MBBLD,"weekly U.S. Refiner Net Production of Finished Conventional Motor Gasoline, Greater than Ed 55",U.S.,,"Refiner Net Production of Finished Conventional Motor Gasoline, Greater than Ed 55","Refiner Net Production of Finished Conventional Motor Gasoline, Greater than Ed 55",Thousand Barrels per Day,weekly
W_EPM0CAL55_YPB_NUS_MBBLD,"weekly U.S. Blender Net Production of Motor Gasoline, Finished, Conventional, Ed55 and Lower",U.S.,,"Blender Net Production of Motor Gasoline, Finished, Conventional, Ed55 and Lower","Blender Net Production of Motor Gasoline, Finished, Conventional, Ed55 and Lower",Thousand Barrels per Day,weekly
W_EPM0CAL55_YPY_NUS_MBBLD,"weekly U.S. Refiner Net Production of Motor Gasoline, Finished, Conventional, Ed55 and Lower",U.S.,,"Refiner Net Production of Motor Gasoline, Finished, Conventional, Ed55 and Lower","Refiner Net Production of Motor Gasoline, Finished, Conventional, Ed55 and Lower",Thousand Barrels per Day,weekly
W_EPM0CA_YPB_NUS_MBBLD,weekly U.S. Blender Net Production of Conventional Motor Gasoline with Fuel Ethanol,U.S.,,Blender Net Production of Conventional Motor Gasoline with Fuel Ethanol,Blender Net Production of Conventional Motor Gasoline with Fuel Ethanol,Thousand Barrels per Day,weekly
W_EPM0CA_YPY_NUS_MBBLD,weekly U.S. Refiner Net Production of Conventional Motor Gasoline with Fuel Ethanol,U.S.,,Refiner Net Production of Conventional Motor Gasoline with Fuel Ethanol,Refiner Net Production of Conventional Motor Gasoline with Fuel Ethanol,Thousand Barrels per Day,weekly
W_EPM0CO_YPB_NUS_MBBLD,weekly U.S. Blender Net Production of Other Conventional Motor Gasoline,U.S.,,Blender Net Production of Other Conventional Motor Gasoline,Blender Net Production of Other Conventional Motor Gasoline,Thousand Barrels per Day,weekly
W_EPM0CO_YPY_NUS_MBBLD,weekly U.S. Refiner Net Production of Other Conventional Motor Gasoline,U.S.,,Refiner Net Production of Other Conventional Motor Gasoline,Refiner Net Production of Other Conventional Motor Gasoline,Thousand Barrels per Day,weekly
W_EPM0C_YPB_NUS_MBBLD,weekly U.S. Blender Net Production of Conventional Motor Gasoline,U.S.,,Blender Net Production of Conventional Motor Gasoline,Blender Net Production of Conventional Motor Gasoline,Thousand Barrels per Day,weekly
W_EPM0C_YPY_NUS_MBBLD,weekly U.S. Refiner Net Production of Conventional Motor Gasoline,U.S.,,Refiner Net Production of Conventional Motor Gasoline,Refiner Net Production of Conventional Motor Gasoline,Thousand Barrels per Day,weekly
W_EPM0F_YPB_NUS_MBBLD,weekly U.S. Blender Net Production of Finished Motor Gasoline,U.S.,,Blender Net Production of Finished Motor Gasoline,Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
W_EPM0F_YPB_R10_MBBLD,weekly East Coast (PADD 1) Blender Net Production of Finished Motor Gasoline,East Coast,,(PADD 1) Blender Net Production of Finished Motor Gasoline,(PADD 1) Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
W_EPM0F_YPB_R20_MBBLD,weekly Midwest (PADD 2) Blender Net Production of Finished Motor Gasoline,Midwest,,(PADD 2) Blender Net Production of Finished Motor Gasoline,(PADD 2) Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
W_EPM0F_YPB_R30_MBBLD,weekly Gulf Coast (PADD 3) Blender Net Production of Finished Motor Gasoline,Gulf Coast,,(PADD 3) Blender Net Production of Finished Motor Gasoline,(PADD 3) Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
W_EPM0F_YPB_R40_MBBLD,weekly Rocky Mountain (PADD 4) Blender Net Production of Finished Motor Gasoline,Rocky Mountain,,(PADD 4) Blender Net Production of Finished Motor Gasoline,(PADD 4) Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
W_EPM0F_YPB_R50_MBBLD,weekly West Coast (PADD 5) Blender Net Production of Finished Motor Gasoline,West Coast,,(PADD 5) Blender Net Production of Finished Motor Gasoline,(PADD 5) Blender Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
W_EPM0F_YPY_NUS_MBBLD,weekly U.S. Refiner Net Production of Finished Motor Gasoline,U.S.,,Refiner Net Production of Finished Motor Gasoline,Refiner Net Production of Finished Motor Gasoline,Thousand Barrels per Day,weekly
