source_table,source_sheet,source_column,series_name,region,subregion,product,metric,unit,period_type
NUS,Data 1,WCRFPUS2,weekly U.S. Field Production of Crude Oil,U.S.,,Field Production of Crude Oil,Field Production of Crude Oil,Thousand Barrels per Day,weekly
NUS,Data 10,WCRNTUS2,weekly U.S. Net Imports of Crude Oil,U.S.,,Net Imports of Crude Oil,Net Imports of Crude Oil,Thousand Barrels per Day,weekly
NUS,Data 10,WRPNTUS2,weekly U.S. Net Imports of Total Petroleum Products,U.S.,,Net Imports of Total Petroleum Products,Net Imports of Total Petroleum Products,Thousand Barrels per Day,weekly
NUS,Data 10,WTTNTUS2,weekly U.S. Net Imports of Crude Oil and Petroleum Products,U.S.,,Net Imports of Crude Oil and Petroleum Products,Net Imports of Crude Oil and Petroleum Products,Thousand Barrels per Day,weekly
NUS,Data 11,WDIUPUS2,weekly U.S. Product Supplied of Distillate Fuel Oil,U.S.,,Product Supplied of Distillate Fuel Oil,Product Supplied of Distillate Fuel Oil,Thousand Barrels per Day,weekly
NUS,Data 11,WGFUPUS2,weekly U.S. Product Supplied of Finished Motor Gasoline,U.S.,,Product Supplied of Finished Motor Gasoline,Product Supplied of Finished Motor Gasoline,Thousand Barrels per Day,weekly
NUS,Data 11,WKJUPUS2,weekly U.S. Product Supplied of Kerosene-Type Jet Fuel,U.S.,,Product Supplied of Kerosene-Type Jet Fuel,Product Supplied of Kerosene-Type Jet Fuel,Thousand Barrels per Day,weekly
NUS,Data 11,WPRUP_NUS_2,weekly U.S. Product Supplied of Propane and Propylene,U.S.,,Product Supplied of Propane and Propylene,Product Supplied of Propane and Propylene,Thousand Barrels per Day,weekly
NUS,Data 11,WREUPUS2,weekly U.S. Product Supplied of Residual Fuel Oil,U.S.,,Product Supplied of Residual Fuel Oil,Product Supplied of Residual Fuel Oil,Thousand Barrels per Day,weekly
NUS,Data 11,WRPUPUS2,weekly U.S. Product Supplied of Petroleum Products,U.S.,,Product Supplied of Petroleum Products,Product Supplied of Petroleum Products,Thousand Barrels per Day,weekly
NUS,Data 11,WWOUP_NUS_2,weekly U.S. Product Supplied of Other Oils,U.S.,,Product Supplied of Other Oils,Product Supplied of Other Oils,Thousand Barrels per Day,weekly
NUS,Data 12,W_EPDM10_VUA_NUS_2,"weekly U.S. Supply Adjustment of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur",U.S.,,"Supply Adjustment of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur","Supply Adjustment of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur",Thousand Barrels per Day,weekly
NUS,Data 2,WCRRIUS2,weekly U.S. Refiner Net Input of Crude Oil,U.S.,,Refiner Net Input of Crude Oil,Refiner Net Input of Crude Oil,Thousand Barrels per Day,weekly
NUS,Data 2,WGIRIUS2,weekly U.S. Gross Inputs into Refineries,U.S.,,Gross Inputs into Refineries,Gross Inputs into Refineries,Thousand Barrels per Day,weekly
NUS,Data 2,WOCLEUS2,weekly U. S. Operable Crude Oil Distillation Capacity,,,U. S. Operable Crude Oil Distillation Capacity,U. S. Operable Crude Oil Distillation Capacity,Thousand Barrels per Calendar Day,weekly
NUS,Data 2,WPULEUS3,weekly U.S. Percent Utilization of Refinery Operable Capacity,U.S.,,Percent Utilization of Refinery Operable Capacity,Percent Utilization of Refinery Operable Capacity,Percent,weekly
NUS,Data 3,WBCRI_NUS_2,weekly U.S. Refiner and Blender Net Input of Gasoline Blending Components,U.S.,,Refiner and Blender Net Input of Gasoline Blending Components,Refiner and Blender Net Input of Gasoline Blending Components,Thousand Barrels per Day,weekly
NUS,Data 3,WO6RI_NUS_2,weekly U.S. Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,U.S.,,Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,Refiner and Blender Net Input of Conventional CBOB Gasoline Blending Components,Thousand Barrels per Day,weekly
NUS,Data 3,WO7RI_NUS_2,weekly U.S. Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,U.S.,,Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,Refiner and Blender Net Input of Conventional GTAB Gasoline Blending Components,Thousand Barrels per Day,weekly
NUS,Data 3,WO9RI_NUS_2,weekly U.S. Refiner and Blender Net Input of Conventional Other Gasoline Blending Components,U.S.,,Refiner and Blender Net Input of Conventional Other Gasoline Blending Components,Refiner and Blender Net Input of Conventional Other Gasoline Blending Components,Thousand Barrels per Day,weekly
NUS,Data 3,W_EPOBGRR_YIR_NUS_MBBLD,"weekly U.S. Refiner and Blender Net Input of Motor Gasoline Blending Components, RBOB",U.S.,,"Refiner and Blender Net Input of Motor Gasoline Blending Components, RBOB","Refiner and Blender Net Input of Motor Gasoline Blending Components, RBOB",Thousand Barrels per Day,weekly
NUS,Data 3,W_EPOOXE_YIR_NUS_MBBLD,weekly U.S. Refiner and Blender Net Input of Fuel Ethanol,U.S.,,Refiner and Blender Net Input of Fuel Ethanol,Refiner and Blender Net Input of Fuel Ethanol,Thousand Barrels per Day,weekly
NUS,Data 4,WD0TP_NUS_2,"weekly U.S. Refiner and Blender Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur",U.S.,,"Refiner and Blender Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur","Refiner and Blender Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur",Thousand Barrels per Day,weekly
NUS,Data 4,WD1TP_NUS_2,"weekly U.S. Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur",U.S.,,"Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur","Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur",Thousand Barrels per Day,weekly
