period_month,northeast_share,southeast_share,source
2010-01-01,0.64813324,0.35186676,prime_supplier_actual
2010-02-01,0.64415116,0.35584884,prime_supplier_actual
2010-03-01,0.57599334,0.42400666,prime_supplier_actual
2010-04-01,0.52335302,0.47664698,prime_supplier_actual
2010-05-01,0.51507744,0.48492256,prime_supplier_actual
2010-06-01,0.51079977,0.48920023,prime_supplier_actual
2010-07-01,0.50186468,0.49813532,prime_supplier_actual
2010-08-01,0.50849418,0.49150582,prime_supplier_actual
2010-09-01,0.52688100,0.47311900,prime_supplier_actual
2010-10-01,0.54615886,0.45384114,prime_supplier_actual
2010-11-01,0.58296090,0.41703910,prime_supplier_actual
2010-12-01,0.64383147,0.35616853,prime_supplier_actual
2011-01-01,0.66553633,0.33446367,prime_supplier_actual
2011-02-01,0.64489986,0.35510014,prime_supplier_actual
2011-03-01,0.60031737,0.39968263,prime_supplier_actual
2011-04-01,0.55303696,0.44696304,prime_supplier_actual
2011-05-01,0.49807236,0.50192764,prime_supplier_actual
2011-06-01,0.50260423,0.49739577,prime_supplier_actual
2011-07-01,0.51699308,0.48300692,prime_supplier_actual
2011-08-01,0.50177709,0.49822291,prime_supplier_actual
2011-09-01,0.54287487,0.45712513,prime_supplier_actual
2011-10-01,0.55825209,0.44174791,prime_supplier_actual
2011-11-01,0.59077223,0.40922777,prime_supplier_actual
2011-12-01,0.61838407,0.38161593,prime_supplier_actual
2012-01-01,0.62568569,0.37431431,prime_supplier_actual
2012-02-01,0.60286457,0.39713543,prime_supplier_actual
2012-03-01,0.55630040,0.44369960,prime_supplier_actual
2012-04-01,0.52405335,0.47594665,prime_supplier_actual
2012-05-01,0.51140529,0.48859471,prime_supplier_actual
2012-06-01,0.50139540,0.49860460,prime_supplier_actual
2012-07-01,0.50060641,0.49939359,prime_supplier_actual
2012-08-01,0.49126797,0.50873203,prime_supplier_actual
2012-09-01,0.51306072,0.48693928,prime_supplier_actual
2012-10-01,0.53196493,0.46803507,prime_supplier_actual
2012-11-01,0.57619003,0.42380997,prime_supplier_actual
2012-12-01,0.62377383,0.37622617,prime_supplier_actual
2013-01-01,0.64406456,0.35593544,prime_supplier_actual
2013-02-01,0.64061372,0.35938628,prime_supplier_actual
2013-03-01,0.59369847,0.40630153,prime_supplier_actual
2013-04-01,0.56159539,0.43840461,prime_supplier_actual
2013-05-01,0.50966779,0.49033221,prime_supplier_actual
2013-06-01,0.49731421,0.50268579,prime_supplier_actual
2013-07-01,0.50658689,0.49341311,prime_supplier_actual
2013-08-01,0.50852163,0.49147837,prime_supplier_actual
2013-09-01,0.53022386,0.46977614,prime_supplier_actual
2013-10-01,0.54553767,0.45446233,prime_supplier_actual
2013-11-01,0.58747023,0.41252977,prime_supplier_actual
2013-12-01,0.63523439,0.36476561,prime_supplier_actual
2014-01-01,0.65678230,0.34321770,prime_supplier_actual
2014-02-01,0.63610148,0.36389852,prime_supplier_actual
2014-03-01,0.60777706,0.39222294,prime_supplier_actual
