month_start,daily_rows,padd1_ne_oil_mwh,estimated_dfo_consumption,source_method
2026-07-01,3,240728.000000,276838.500959,annual_recalibrated_2018_forward_global_ratio
2026-06-01,30,495893.000000,570279.629936,annual_recalibrated_2018_forward_global_ratio
2026-05-01,31,446900.000000,513937.415166,annual_recalibrated_2018_forward_global_ratio
2026-04-01,30,420283.000000,483327.721322,annual_recalibrated_2018_forward_global_ratio
2026-03-01,31,276225.000000,317660.242794,annual_recalibrated_2018_forward_global_ratio
2026-02-01,28,1185685.000000,1363544.157761,annual_recalibrated_2018_forward_global_ratio
2026-01-01,31,1982076.000000,2279398.111673,annual_recalibrated_2018_forward_global_ratio
2025-12-01,10,249959.000000,287477.009770,annual_recalibrated_2018_forward_global_ratio
2025-11-01,5,62071.000000,71387.649468,annual_recalibrated_2018_forward_global_ratio
2025-10-01,31,408565.000000,469889.239823,annual_recalibrated_2018_forward_global_ratio
2025-09-01,30,450786.000000,518447.470691,annual_recalibrated_2018_forward_global_ratio
2025-08-01,31,521452.000000,599720.200909,annual_recalibrated_2018_forward_global_ratio
2025-07-01,31,1008575.000000,1159958.733744,annual_recalibrated_2018_forward_global_ratio
2025-06-01,30,649037.000000,746455.282627,annual_recalibrated_2018_forward_global_ratio
2025-05-01,31,282014.000000,324343.358041,annual_recalibrated_2018_forward_global_ratio
2025-04-01,30,314958.000000,362232.142246,annual_recalibrated_2018_forward_global_ratio
2025-03-01,31,200247.000000,230303.404861,annual_recalibrated_2018_forward_global_ratio
2025-02-01,28,410543.000000,472164.131005,annual_recalibrated_2018_forward_global_ratio
2025-01-01,31,1137783.000000,1308560.422334,annual_recalibrated_2018_forward_global_ratio
2024-12-01,31,449495.000000,517095.273004,annual_recalibrated_2018_forward_global_ratio
2024-11-01,30,249667.000000,287214.820021,annual_recalibrated_2018_forward_global_ratio
2024-10-01,31,325598.000000,374565.204727,annual_recalibrated_2018_forward_global_ratio
2024-09-01,30,330067.000000,379706.304797,annual_recalibrated_2018_forward_global_ratio
2024-08-01,31,519189.000000,597270.665294,annual_recalibrated_2018_forward_global_ratio
2024-07-01,31,842089.000000,968732.113483,annual_recalibrated_2018_forward_global_ratio
2024-06-01,30,452937.000000,521054.920897,annual_recalibrated_2018_forward_global_ratio
2024-05-01,31,467215.000000,537480.212185,annual_recalibrated_2018_forward_global_ratio
2024-04-01,30,223200.000000,256767.405499,annual_recalibrated_2018_forward_global_ratio
2024-03-01,31,177072.000000,203702.141695,annual_recalibrated_2018_forward_global_ratio
2024-02-01,29,134115.000000,154284.769661,annual_recalibrated_2018_forward_global_ratio
2024-01-01,31,343664.000000,395348.179406,annual_recalibrated_2018_forward_global_ratio
2023-12-01,31,185856.000000,213807.181524,annual_recalibrated_2018_forward_global_ratio
2023-11-01,30,115426.000000,132785.101018,annual_recalibrated_2018_forward_global_ratio
2023-10-01,31,201591.000000,231908.593380,annual_recalibrated_2018_forward_global_ratio
2023-09-01,30,244692.000000,281491.621802,annual_recalibrated_2018_forward_global_ratio
2023-08-01,31,279468.000000,321497.640143,annual_recalibrated_2018_forward_global_ratio
2023-07-01,31,399276.000000,459323.757157,annual_recalibrated_2018_forward_global_ratio
2023-06-01,30,252790.000000,290807.492990,annual_recalibrated_2018_forward_global_ratio
2023-05-01,31,296963.000000,341623.741215,annual_recalibrated_2018_forward_global_ratio
2023-04-01,30,212988.000000,245019.606463,annual_recalibrated_2018_forward_global_ratio
2023-03-01,31,237023.000000,272669.268608,annual_recalibrated_2018_forward_global_ratio
