fuel2002,fuel2002TypeDescription,fuelType,fuelTypeDescription,period,plantCode,plantName,primeMover,state,stateDescription,total-consumption,total-consumption-units
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,544,Devon Station,ALL,CT,Connecticut,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,544,Devon Station,GT,CT,Connecticut,0,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,544,Devon Station,ALL,CT,Connecticut,0,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,544,Devon Station,GT,CT,Connecticut,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,546,Montville Station,ALL,CT,Connecticut,304,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,546,Montville Station,IC,CT,Connecticut,197,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,546,Montville Station,ST,CT,Connecticut,107,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,546,Montville Station,ALL,CT,Connecticut,119796,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,546,Montville Station,ST,CT,Connecticut,119796,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,557,Tunnel,ALL,CT,Connecticut,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,557,Tunnel,GT,CT,Connecticut,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,562,Middletown,ALL,CT,Connecticut,48,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,562,Middletown,ST,CT,Connecticut,48,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,562,Middletown,ALL,CT,Connecticut,130381,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,562,Middletown,ST,CT,Connecticut,130381,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,568,Bridgeport Station,ALL,CT,Connecticut,2563,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,568,Bridgeport Station,ST,CT,Connecticut,2563,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,568,Bridgeport Station,ALL,CT,Connecticut,0,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,568,Bridgeport Station,ST,CT,Connecticut,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,581,North Main Street,ALL,CT,Connecticut,479,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,581,North Main Street,GT,CT,Connecticut,479,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,589,J C McNeil,ALL,VT,Vermont,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,589,J C McNeil,ST,VT,Vermont,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,591,Christiana,ALL,DE,Delaware,1818,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,591,Christiana,GT,DE,Delaware,1818,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,592,Delaware City 10,ALL,DE,Delaware,104,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,592,Delaware City 10,GT,DE,Delaware,104,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,593,Edge Moor,ALL,DE,Delaware,160,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,593,Edge Moor,GT,DE,Delaware,89,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,593,Edge Moor,ST,DE,Delaware,71,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,593,Edge Moor,ALL,DE,Delaware,102388,barrels
RFO,Residual Fuel Oil,RFO,Residual Fuel Oil,2018-01,593,Edge Moor,ST,DE,Delaware,102388,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,594,Indian River Generating Station,ALL,DE,Delaware,3566,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,594,Indian River Generating Station,GT,DE,Delaware,2182,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,594,Indian River Generating Station,ST,DE,Delaware,1384,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,597,West Station (DE),ALL,DE,Delaware,716,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,597,West Station (DE),GT,DE,Delaware,716,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,599,McKee Run,ALL,DE,Delaware,7388,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,599,McKee Run,ST,DE,Delaware,7388,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,602,Brandon Shores,ALL,MD,Maryland,2843,barrels
