period,hour_utc,weekday_utc,mida_ne_actual_demand_mwh,mida_ne_dayahead_demand_forecast_mwh,mida_ne_oil_generation_mwh,estimated_dfo_generation
2025-04-11T18,18,4,0.000000,0.000000,274.000000,315.101481
2025-04-11T19,19,4,0.000000,0.000000,230.000000,264.501243
2025-04-11T20,20,4,0.000000,0.000000,231.000000,265.651248
2025-04-11T21,21,4,0.000000,0.000000,231.000000,265.651248
2025-04-11T22,22,4,0.000000,0.000000,249.000000,286.351346
2025-04-11T23,23,4,0.000000,0.000000,248.000000,285.201340
2025-04-12T00,0,5,0.000000,0.000000,247.000000,284.051335
2025-04-12T01,1,5,0.000000,0.000000,247.000000,284.051335
2025-04-12T02,2,5,0.000000,0.000000,249.000000,286.351346
2025-04-12T03,3,5,0.000000,0.000000,251.000000,288.651356
2025-04-12T04,4,5,0.000000,0.000000,250.000000,287.501351
2025-04-12T05,5,5,0.000000,0.000000,822.000000,945.304442
2025-04-12T06,6,5,0.000000,0.000000,684.000000,786.603697
2025-04-12T07,7,5,0.000000,0.000000,254.000000,292.101373
2025-04-12T08,8,5,0.000000,0.000000,214.000000,246.101157
2025-04-12T09,9,5,0.000000,0.000000,215.000000,247.251162
2025-04-12T10,10,5,0.000000,0.000000,213.000000,244.951151
2025-04-12T11,11,5,0.000000,0.000000,211.000000,242.651140
2025-04-12T12,12,5,0.000000,0.000000,211.000000,242.651140
2025-04-12T13,13,5,0.000000,0.000000,210.000000,241.501135
2025-04-12T14,14,5,0.000000,0.000000,208.000000,239.201124
2025-04-12T15,15,5,0.000000,0.000000,207.000000,238.051119
2025-04-12T16,16,5,0.000000,0.000000,207.000000,238.051119
2025-04-12T17,17,5,0.000000,0.000000,206.000000,236.901113
2025-04-12T18,18,5,0.000000,0.000000,206.000000,236.901113
2025-04-12T19,19,5,0.000000,0.000000,206.000000,236.901113
2025-04-12T20,20,5,0.000000,0.000000,205.000000,235.751108
2025-04-12T21,21,5,0.000000,0.000000,205.000000,235.751108
2025-04-12T22,22,5,0.000000,0.000000,205.000000,235.751108
2025-04-12T23,23,5,0.000000,0.000000,205.000000,235.751108
2025-04-13T00,0,6,0.000000,0.000000,203.000000,233.451097
2025-04-13T01,1,6,0.000000,0.000000,203.000000,233.451097
2025-04-13T02,2,6,0.000000,0.000000,203.000000,233.451097
2025-04-13T03,3,6,0.000000,0.000000,206.000000,236.901113
2025-04-13T04,4,6,0.000000,0.000000,249.000000,286.351346
2025-04-13T05,5,6,0.000000,0.000000,238.000000,273.701286
2025-04-13T06,6,6,0.000000,0.000000,237.000000,272.551281
2025-04-13T07,7,6,0.000000,0.000000,237.000000,272.551281
2025-04-13T08,8,6,0.000000,0.000000,237.000000,272.551281
2025-04-13T09,9,6,0.000000,0.000000,236.000000,271.401275
2025-04-13T10,10,6,0.000000,0.000000,237.000000,272.551281
2025-04-13T11,11,6,0.000000,0.000000,236.000000,271.401275
2025-04-13T12,12,6,0.000000,0.000000,235.000000,270.251270
2025-04-13T13,13,6,0.000000,0.000000,234.000000,269.101265
2025-04-13T14,14,6,0.000000,0.000000,233.000000,267.951259
2025-04-13T15,15,6,0.000000,0.000000,234.000000,269.101265
2025-04-13T16,16,6,0.000000,0.000000,236.000000,271.401275
2025-04-13T17,17,6,0.000000,0.000000,236.000000,271.401275
2025-04-13T18,18,6,0.000000,0.000000,183.000000,210.450989
2025-04-13T19,19,6,0.000000,0.000000,173.000000,198.950935
2025-04-13T20,20,6,0.000000,0.000000,174.000000,200.100940
