fueltype,period,respondent,respondent-name,type-name,value,value-units
OIL,2026-07-08T03,MIDA,Mid-Atlantic,Petroleum,505,megawatthours
OIL,2026-07-08T02,MIDA,Mid-Atlantic,Petroleum,1876,megawatthours
OIL,2026-07-08T01,MIDA,Mid-Atlantic,Petroleum,2089,megawatthours
OIL,2026-07-08T00,MIDA,Mid-Atlantic,Petroleum,2026,megawatthours
OIL,2026-07-07T23,MIDA,Mid-Atlantic,Petroleum,1868,megawatthours
OIL,2026-07-07T22,MIDA,Mid-Atlantic,Petroleum,1691,megawatthours
OIL,2026-07-07T21,MIDA,Mid-Atlantic,Petroleum,974,megawatthours
OIL,2026-07-07T20,MIDA,Mid-Atlantic,Petroleum,979,megawatthours
OIL,2026-07-07T19,MIDA,Mid-Atlantic,Petroleum,753,megawatthours
OIL,2026-07-07T18,MIDA,Mid-Atlantic,Petroleum,321,megawatthours
OIL,2026-07-07T17,MIDA,Mid-Atlantic,Petroleum,331,megawatthours
OIL,2026-07-07T16,MIDA,Mid-Atlantic,Petroleum,331,megawatthours
OIL,2026-07-07T15,MIDA,Mid-Atlantic,Petroleum,326,megawatthours
OIL,2026-07-07T14,MIDA,Mid-Atlantic,Petroleum,267,megawatthours
OIL,2026-07-07T13,MIDA,Mid-Atlantic,Petroleum,223,megawatthours
OIL,2026-07-07T12,MIDA,Mid-Atlantic,Petroleum,222,megawatthours
OIL,2026-07-07T11,MIDA,Mid-Atlantic,Petroleum,226,megawatthours
OIL,2026-07-07T10,MIDA,Mid-Atlantic,Petroleum,228,megawatthours
OIL,2026-07-07T09,MIDA,Mid-Atlantic,Petroleum,228,megawatthours
OIL,2026-07-07T08,MIDA,Mid-Atlantic,Petroleum,225,megawatthours
OIL,2026-07-07T07,MIDA,Mid-Atlantic,Petroleum,221,megawatthours
OIL,2026-07-07T06,MIDA,Mid-Atlantic,Petroleum,219,megawatthours
OIL,2026-07-07T05,MIDA,Mid-Atlantic,Petroleum,217,megawatthours
OIL,2026-07-07T04,MIDA,Mid-Atlantic,Petroleum,688,megawatthours
OIL,2026-07-07T03,MIDA,Mid-Atlantic,Petroleum,1082,megawatthours
OIL,2026-07-07T02,MIDA,Mid-Atlantic,Petroleum,1866,megawatthours
OIL,2026-07-07T01,MIDA,Mid-Atlantic,Petroleum,2188,megawatthours
OIL,2026-07-07T00,MIDA,Mid-Atlantic,Petroleum,2291,megawatthours
