period,respondent,respondent-name,type,type-name,value,value-units
2026-09-22T04,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,82010,megawatthours
2026-09-22T04,NE,New England,DF,Day-ahead demand forecast,10670,megawatthours
2026-09-22T03,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,85562,megawatthours
2026-09-22T03,NE,New England,DF,Day-ahead demand forecast,11620,megawatthours
2026-09-22T02,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,90956,megawatthours
2026-09-22T02,NE,New England,DF,Day-ahead demand forecast,12630,megawatthours
2026-09-22T01,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,96371,megawatthours
2026-09-22T01,NE,New England,DF,Day-ahead demand forecast,13570,megawatthours
2026-09-22T00,MIDA,Mid-Atlantic,D,Demand,101176,megawatthours
2026-09-22T00,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,99607,megawatthours
2026-09-22T00,NE,New England,D,Demand,14208,megawatthours
2026-09-22T00,NE,New England,DF,Day-ahead demand forecast,14300,megawatthours
2026-09-21T23,MIDA,Mid-Atlantic,D,Demand,101075,megawatthours
2026-09-21T23,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,100857,megawatthours
2026-09-21T23,NE,New England,D,Demand,14007,megawatthours
2026-09-21T23,NE,New England,DF,Day-ahead demand forecast,14210,megawatthours
2026-09-21T22,MIDA,Mid-Atlantic,D,Demand,101716,megawatthours
2026-09-21T22,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,102148,megawatthours
2026-09-21T22,NE,New England,D,Demand,13177,megawatthours
2026-09-21T22,NE,New England,DF,Day-ahead demand forecast,13500,megawatthours
2026-09-21T21,MIDA,Mid-Atlantic,D,Demand,101470,megawatthours
2026-09-21T21,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,102757,megawatthours
2026-09-21T21,NE,New England,D,Demand,11898,megawatthours
2026-09-21T21,NE,New England,DF,Day-ahead demand forecast,12100,megawatthours
2026-09-21T20,MIDA,Mid-Atlantic,D,Demand,101291,megawatthours
2026-09-21T20,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,102054,megawatthours
2026-09-21T20,NE,New England,D,Demand,10685,megawatthours
2026-09-21T20,NE,New England,DF,Day-ahead demand forecast,10990,megawatthours
2026-09-21T19,MIDA,Mid-Atlantic,D,Demand,101173,megawatthours
2026-09-21T19,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,101320,megawatthours
2026-09-21T19,NE,New England,D,Demand,9747,megawatthours
2026-09-21T19,NE,New England,DF,Day-ahead demand forecast,10390,megawatthours
2026-09-21T18,MIDA,Mid-Atlantic,D,Demand,100961,megawatthours
2026-09-21T18,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,100797,megawatthours
2026-09-21T18,NE,New England,D,Demand,9522,megawatthours
2026-09-21T18,NE,New England,DF,Day-ahead demand forecast,10240,megawatthours
2026-09-21T17,MIDA,Mid-Atlantic,D,Demand,99441,megawatthours
2026-09-21T17,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,100114,megawatthours
2026-09-21T17,NE,New England,D,Demand,9208,megawatthours
2026-09-21T17,NE,New England,DF,Day-ahead demand forecast,10210,megawatthours
2026-09-21T16,MIDA,Mid-Atlantic,D,Demand,97863,megawatthours
2026-09-21T16,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,98775,megawatthours
2026-09-21T16,NE,New England,D,Demand,9356,megawatthours
2026-09-21T16,NE,New England,DF,Day-ahead demand forecast,10430,megawatthours
2026-09-21T15,MIDA,Mid-Atlantic,D,Demand,96320,megawatthours
2026-09-21T15,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,97525,megawatthours
2026-09-21T15,NE,New England,D,Demand,9888,megawatthours
2026-09-21T15,NE,New England,DF,Day-ahead demand forecast,10780,megawatthours
2026-09-21T14,MIDA,Mid-Atlantic,D,Demand,94773,megawatthours
2026-09-21T14,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,96379,megawatthours
2026-09-21T14,NE,New England,D,Demand,10569,megawatthours
2026-09-21T14,NE,New England,DF,Day-ahead demand forecast,11210,megawatthours
2026-09-21T13,MIDA,Mid-Atlantic,D,Demand,93748,megawatthours
2026-09-21T13,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,95113,megawatthours
2026-09-21T13,NE,New England,D,Demand,11805,megawatthours
2026-09-21T13,NE,New England,DF,Day-ahead demand forecast,11800,megawatthours
2026-09-21T12,MIDA,Mid-Atlantic,D,Demand,91844,megawatthours
2026-09-21T12,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,93992,megawatthours
2026-09-21T12,NE,New England,D,Demand,12557,megawatthours
2026-09-21T12,NE,New England,DF,Day-ahead demand forecast,12160,megawatthours
2026-09-21T11,MIDA,Mid-Atlantic,D,Demand,89296,megawatthours
2026-09-21T11,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,92445,megawatthours
2026-09-21T11,NE,New England,D,Demand,11817,megawatthours
2026-09-21T11,NE,New England,DF,Day-ahead demand forecast,11580,megawatthours
2026-09-21T10,MIDA,Mid-Atlantic,D,Demand,85901,megawatthours
2026-09-21T10,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,88656,megawatthours
2026-09-21T10,NE,New England,D,Demand,10607,megawatthours
2026-09-21T10,NE,New England,DF,Day-ahead demand forecast,10290,megawatthours
2026-09-21T09,MIDA,Mid-Atlantic,D,Demand,83588,megawatthours
2026-09-21T09,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,83250,megawatthours
2026-09-21T09,NE,New England,D,Demand,9943,megawatthours
2026-09-21T09,NE,New England,DF,Day-ahead demand forecast,9630,megawatthours
2026-09-21T08,MIDA,Mid-Atlantic,D,Demand,83241,megawatthours
2026-09-21T08,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,80050,megawatthours
2026-09-21T08,NE,New England,D,Demand,10021,megawatthours
2026-09-21T08,NE,New England,DF,Day-ahead demand forecast,9440,megawatthours
2026-09-21T07,MIDA,Mid-Atlantic,D,Demand,84651,megawatthours
2026-09-21T07,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,79487,megawatthours
2026-09-21T07,NE,New England,D,Demand,10075,megawatthours
2026-09-21T07,NE,New England,DF,Day-ahead demand forecast,9500,megawatthours
2026-09-21T06,MIDA,Mid-Atlantic,D,Demand,86788,megawatthours
2026-09-21T06,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,80624,megawatthours
2026-09-21T06,NE,New England,D,Demand,10210,megawatthours
2026-09-21T06,NE,New England,DF,Day-ahead demand forecast,9720,megawatthours
2026-09-21T05,MIDA,Mid-Atlantic,D,Demand,89835,megawatthours
2026-09-21T05,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,82919,megawatthours
2026-09-21T05,NE,New England,D,Demand,10484,megawatthours
2026-09-21T05,NE,New England,DF,Day-ahead demand forecast,10130,megawatthours
2026-09-21T04,MIDA,Mid-Atlantic,D,Demand,92682,megawatthours
2026-09-21T04,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,85388,megawatthours
2026-09-21T04,NE,New England,D,Demand,11017,megawatthours
2026-09-21T04,NE,New England,DF,Day-ahead demand forecast,10530,megawatthours
2026-09-21T03,MIDA,Mid-Atlantic,D,Demand,96787,megawatthours
2026-09-21T03,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,90312,megawatthours
2026-09-21T03,MIDA,Mid-Atlantic,NG,Net generation,100947,megawatthours
2026-09-21T03,MIDA,Mid-Atlantic,TI,Total interchange,328,megawatthours
2026-09-21T03,NE,New England,D,Demand,11722,megawatthours
2026-09-21T03,NE,New England,DF,Day-ahead demand forecast,11330,megawatthours
2026-09-21T03,NE,New England,NG,Net generation,12550,megawatthours
2026-09-21T03,NE,New England,TI,Total interchange,828,megawatthours
2026-09-21T02,MIDA,Mid-Atlantic,D,Demand,102067,megawatthours
2026-09-21T02,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,95733,megawatthours
2026-09-21T02,MIDA,Mid-Atlantic,NG,Net generation,106560,megawatthours
