fueltype,period,respondent,respondent-name,timezone,timezone-description,type-name,value,value-units
OIL,2019-01-01,MIDA,Mid-Atlantic,Central,Central,Petroleum,2967,megawatthours
OIL,2019-01-01,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-01-02,MIDA,Mid-Atlantic,Central,Central,Petroleum,3140,megawatthours
OIL,2019-01-02,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-01-03,MIDA,Mid-Atlantic,Central,Central,Petroleum,5196,megawatthours
OIL,2019-01-03,NE,New England,Central,Central,Petroleum,2,megawatthours
OIL,2019-01-04,MIDA,Mid-Atlantic,Central,Central,Petroleum,5138,megawatthours
OIL,2019-01-04,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-01-05,MIDA,Mid-Atlantic,Central,Central,Petroleum,2076,megawatthours
OIL,2019-01-05,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-01-06,MIDA,Mid-Atlantic,Central,Central,Petroleum,1967,megawatthours
OIL,2019-01-06,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-01-07,MIDA,Mid-Atlantic,Central,Central,Petroleum,2007,megawatthours
OIL,2019-01-07,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-01-08,MIDA,Mid-Atlantic,Central,Central,Petroleum,5883,megawatthours
OIL,2019-01-08,NE,New England,Central,Central,Petroleum,176,megawatthours
OIL,2019-01-09,MIDA,Mid-Atlantic,Central,Central,Petroleum,5687,megawatthours
OIL,2019-01-09,NE,New England,Central,Central,Petroleum,34,megawatthours
OIL,2019-01-10,MIDA,Mid-Atlantic,Central,Central,Petroleum,6306,megawatthours
OIL,2019-01-10,NE,New England,Central,Central,Petroleum,114,megawatthours
OIL,2019-01-11,MIDA,Mid-Atlantic,Central,Central,Petroleum,5169,megawatthours
OIL,2019-01-11,NE,New England,Central,Central,Petroleum,441,megawatthours
OIL,2019-01-12,MIDA,Mid-Atlantic,Central,Central,Petroleum,5106,megawatthours
OIL,2019-01-12,NE,New England,Central,Central,Petroleum,92,megawatthours
OIL,2019-01-13,MIDA,Mid-Atlantic,Central,Central,Petroleum,5201,megawatthours
OIL,2019-01-13,NE,New England,Central,Central,Petroleum,1,megawatthours
OIL,2019-01-14,MIDA,Mid-Atlantic,Central,Central,Petroleum,5127,megawatthours
OIL,2019-01-14,NE,New England,Central,Central,Petroleum,1301,megawatthours
OIL,2019-01-15,MIDA,Mid-Atlantic,Central,Central,Petroleum,5238,megawatthours
OIL,2019-01-15,NE,New England,Central,Central,Petroleum,239,megawatthours
OIL,2019-01-16,MIDA,Mid-Atlantic,Central,Central,Petroleum,5215,megawatthours
